target,k_calibration_trials,n_repeats,pooled_rmse_mean,pooled_lift_vs_zero_mean,pooled_lift_vs_zero_p10,pooled_lift_vs_zero_p90,subject_lift_mean_over_repeats
arousal,1,500,2.370959048121633,-0.42675406600503707,-0.5496280650078496,-0.29998180988222295,-0.3481037070474671
arousal,2,500,2.068559133497712,-0.12435415138111629,-0.20660326953166844,-0.051480492149004374,-0.09409356177518512
arousal,4,500,1.8844279095216345,0.05977707259496134,0.012090687831787239,0.10691369605608529,0.06160775532486011
arousal,8,500,1.7892714521347364,0.15493352998185947,0.12195226423033596,0.18575558266638076,0.14597286768473056
arousal,16,500,1.7423322145474425,0.20187276756915357,0.16855644393608168,0.23926858198124704,0.18954162888004136
valence,1,500,1.7242485463574295,-0.46647485168357145,-0.5648308582113443,-0.3713736960251384,-0.39130450906314734
valence,2,500,1.4921480482304132,-0.23437435355655517,-0.2953366560719823,-0.17795138597449733,-0.20113457263647583
valence,4,500,1.3611895698098173,-0.1034158751359594,-0.1382419936484531,-0.06936828318489294,-0.09065085437996429
valence,8,500,1.2912241682360728,-0.0334504735622149,-0.05738360959272091,-0.009567256197205791,-0.02889215495612919
valence,16,500,1.2539120578367124,0.003861636837145584,-0.02199624988842241,0.029286305178664044,0.005527126794400774
