target,method,adaptation,k_calibration,n_repeats,n_eval,subjects_eval,zero_rmse,model_rmse,lift_vs_zero,pearson,sign_acc,fixed_rmse_same_eval,lift_vs_fixed_same_eval,mean_subject_improvement_zero_minus_model,ci95_low_mean_subject_improvement,ci95_high_mean_subject_improvement,signflip_p_one_sided_mean_gt_zero,wins_vs_zero,losses_vs_zero,win_margin_vs_zero,mean_subject_repeat_improvement_zero_minus_model,ci95_low_subject_repeat_improvement,ci95_high_subject_repeat_improvement,signflip_p_subject_repeat_mean_gt_zero,wins_vs_zero_subject_repeats,losses_vs_zero_subject_repeats,win_margin_vs_zero_subject_repeats,passes_zero_gate,passes_practical_gate,passes_fixed_reference_gate
arousal,zero_residual,none_pure_loso,0,1,508,63,3.24013921212341,3.24013921212341,0.0,,0.0,3.168414411105795,-0.07172480101761503,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,False,False,False
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,1,508,63,3.24013921212341,3.168414411105795,0.07172480101761503,0.21297239622809705,0.5570866141732284,3.168414411105795,0.0,0.09958803303877056,0.013074783221035856,0.19416361042542274,0.01899366877707431,35.0,28.0,7.0,,,,,,,,True,True,False
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,1,508,63,3.24013921212341,3.2316948001946013,0.008444411928808737,0.17359652406685014,0.5767716535433071,3.168414411105795,-0.06328038908880629,0.030924248510485457,-0.14555664522074824,0.18559629749153472,0.3615461512829057,33.0,30.0,3.0,,,,,,,,False,False,False
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,1,508,63,3.24013921212341,3.742446454332222,-0.5023072422088117,0.1144925688181906,0.547244094488189,3.168414411105795,-0.5740320432264268,-0.25566836949948946,-0.7218121051160155,0.03494288970213236,0.9130289903365545,28.0,35.0,-7.0,,,,,,,,False,False,False
arousal,raw_summary_ridge_alpha1000,none_pure_loso,0,1,508,63,3.24013921212341,3.181991645731257,0.05814756639215313,0.1894402773859793,0.5866141732283464,3.168414411105795,-0.013577234625461898,0.09014682481878475,-0.01960256043040569,0.19916217147817,0.05998000666444518,38.0,25.0,13.0,,,,,,,,False,False,False
arousal,trialz_summary_ridge_alpha1000,none_pure_loso,0,1,508,63,3.24013921212341,3.3663989231452636,-0.12625971102185352,0.11429945000647561,0.5255905511811023,3.168414411105795,-0.19798451203946854,-0.08871162192557426,-0.2969096186970551,0.056566915080922854,0.7520826391202933,26.0,37.0,-11.0,,,,,,,,False,False,False
arousal,kshot_subject_mean_only,labelled_kshot_bias_correction,4,150,66722,63,3.240613751068251,2.739010069916446,0.501603681151805,0.5383884620495618,0.7262971733461228,3.168498669193517,0.42948859927707117,,,,,,,,0.46061667293475117,0.4433137561930914,0.47794905525899994,0.0003332222592469177,6189.0,3215.0,2974.0,False,True,True
arousal,fixed_eeg_bandpower_ridge_from_05aj_plus_kshot_bias,labelled_kshot_bias_correction,4,150,66620,63,3.238704968064572,2.762325091200842,0.47637987686372973,0.523082711243674,0.7211197838486941,3.1673299155008676,0.4050048243000255,,,,,,,,0.45070381439551577,0.4336949667215174,0.46743525940759834,0.0003332222592469177,6002.0,3411.0,2591.0,False,True,True
arousal,raw_summary_ridge_alpha100_plus_kshot_bias,labelled_kshot_bias_correction,4,150,66556,63,3.2397379900682712,2.869111802714131,0.3706261873541403,0.4681151654097926,0.6948133902277781,3.1679170275206787,0.2988052248065478,,,,,,,,0.3473363799632022,0.3289293601669481,0.365993938930585,0.0003332222592469177,5587.0,3825.0,1762.0,False,True,True
arousal,trialz_summary_ridge_alpha100_plus_kshot_bias,labelled_kshot_bias_correction,4,150,66649,63,3.2428977404192194,3.1418934927130446,0.10100424770617478,0.36287423762291743,0.6782397335293853,3.172019468297339,0.030125975584294196,,,,,,,,0.16870009346324583,0.14054965727865545,0.19723325698646987,0.0003332222592469177,5134.0,4278.0,856.0,False,True,True
arousal,raw_summary_ridge_alpha1000_plus_kshot_bias,labelled_kshot_bias_correction,4,150,66464,63,3.2423996971640903,2.788210347159809,0.45418935000428107,0.5099354993253881,0.7164329561868079,3.170191748894644,0.38198140173483486,,,,,,,,0.4514113588746719,0.43450138443240643,0.46875256086202366,0.0003332222592469177,6062.0,3343.0,2719.0,False,True,True
arousal,trialz_summary_ridge_alpha1000_plus_kshot_bias,labelled_kshot_bias_correction,4,150,66673,63,3.2399201806736184,2.9069208070138606,0.33299937365975785,0.44803020466337523,0.699398557137072,3.1663419228775336,0.259421115863673,,,,,,,,0.319907656308885,0.2992878356016266,0.34002375810819346,0.0003332222592469177,5501.0,3910.0,1591.0,False,True,True
arousal,kshot_subject_mean_only,labelled_kshot_bias_correction,8,150,57293,63,3.242508803471757,2.6752820049366584,0.5672267985350987,0.5882201604293001,0.7521861309409527,3.1697159035526976,0.49443389861603926,,,,,,,,0.500027844031961,0.4847253733746837,0.5162157634314576,0.0003332222592469177,6527.0,2796.0,3731.0,False,True,True
arousal,fixed_eeg_bandpower_ridge_from_05aj_plus_kshot_bias,labelled_kshot_bias_correction,8,150,57183,63,3.2411726746429403,2.687601427039271,0.5535712476036694,0.577234360947499,0.7462882325166571,3.1689303305766314,0.48132890353736046,,,,,,,,0.49647543667402794,0.48073906534314464,0.512910631337023,0.0003332222592469177,6473.0,2889.0,3584.0,False,True,True
arousal,raw_summary_ridge_alpha100_plus_kshot_bias,labelled_kshot_bias_correction,8,150,57159,63,3.239432417585096,2.7908951112185276,0.4485373063665685,0.5079925862785627,0.7128536188526741,3.1696088847704535,0.3787137735519259,,,,,,,,0.40029152629380493,0.38368461596555303,0.41739725144496653,0.0003332222592469177,5983.0,3374.0,2609.0,False,True,True
arousal,trialz_summary_ridge_alpha100_plus_kshot_bias,labelled_kshot_bias_correction,8,150,57170,63,3.2428393815874674,3.0407622510495735,0.2020771305378939,0.39495753399941963,0.6971313626027636,3.1717901809119313,0.13102792986235778,,,,,,,,0.2343152532993306,0.2056473652968372,0.26106727522929807,0.0003332222592469177,5560.0,3800.0,1760.0,False,True,True
arousal,raw_summary_ridge_alpha1000_plus_kshot_bias,labelled_kshot_bias_correction,8,150,57069,63,3.240808747159845,2.7147103380850592,0.5260984090747858,0.5556902238882181,0.7351802204349122,3.1703335005379327,0.4556231624528735,,,,,,,,0.49696486134822826,0.4817249131592332,0.5131718731332767,0.0003332222592469177,6486.0,2873.0,3613.0,False,True,True
arousal,trialz_summary_ridge_alpha1000_plus_kshot_bias,labelled_kshot_bias_correction,8,150,57014,63,3.242031309602584,2.8277985629537126,0.41423274664887133,0.48758737044013817,0.7204370856280914,3.1698676777824577,0.34206911482874514,,,,,,,,0.37762687437764164,0.35844704685951734,0.39768043152717936,0.0003332222592469177,5963.0,3395.0,2568.0,False,True,True
arousal,kshot_subject_mean_only,labelled_kshot_bias_correction,16,150,38116,63,3.242083171590929,2.6269943511801244,0.6150888204108047,0.6286770183810692,0.7706474971140729,3.1715050725004366,0.5445107213203122,,,,,,,,0.5359833220705468,0.5200317244637512,0.5522337216086612,0.0003332222592469177,6636.0,2471.0,4165.0,False,True,True
arousal,fixed_eeg_bandpower_ridge_from_05aj_plus_kshot_bias,labelled_kshot_bias_correction,16,150,38009,63,3.239258353154708,2.6440342506838994,0.5952241024708087,0.6095062785795211,0.7643979057591623,3.166851742809017,0.5228174921251174,,,,,,,,0.5435520982641763,0.5281484267540918,0.559456523841735,0.0003332222592469177,6617.0,2477.0,4140.0,False,True,True
