target,method,adaptation,k_calibration,subject,n_eval,zero_rmse,model_rmse,improvement_zero_minus_model
arousal,zero_residual,none_pure_loso,0,1,9,3.054269797486409,3.054269797486409,0.0
arousal,zero_residual,none_pure_loso,0,2,16,3.606356125027074,3.606356125027074,0.0
arousal,zero_residual,none_pure_loso,0,3,6,3.1081918773532426,3.1081918773532426,0.0
arousal,zero_residual,none_pure_loso,0,5,8,2.909100239585122,2.909100239585122,0.0
arousal,zero_residual,none_pure_loso,0,6,22,4.3794514632224235,4.3794514632224235,0.0
arousal,zero_residual,none_pure_loso,0,7,7,2.661457891666245,2.661457891666245,0.0
arousal,zero_residual,none_pure_loso,0,8,10,2.7801792140109836,2.7801792140109836,0.0
arousal,zero_residual,none_pure_loso,0,9,10,3.5470415337347743,3.5470415337347743,0.0
arousal,zero_residual,none_pure_loso,0,10,7,2.8355134918213976,2.8355134918213976,0.0
arousal,zero_residual,none_pure_loso,0,11,9,3.2928911542907464,3.2928911542907464,0.0
arousal,zero_residual,none_pure_loso,0,12,3,2.313940020466014,2.313940020466014,0.0
arousal,zero_residual,none_pure_loso,0,13,13,3.3718165315100426,3.3718165315100426,0.0
arousal,zero_residual,none_pure_loso,0,14,7,2.819840671424436,2.819840671424436,0.0
arousal,zero_residual,none_pure_loso,0,15,5,3.0078115434576906,3.0078115434576906,0.0
arousal,zero_residual,none_pure_loso,0,16,4,2.809613069149392,2.809613069149392,0.0
arousal,zero_residual,none_pure_loso,0,17,5,2.636975926993294,2.636975926993294,0.0
arousal,zero_residual,none_pure_loso,0,18,12,3.2156493316824264,3.2156493316824264,0.0
arousal,zero_residual,none_pure_loso,0,19,9,3.1007945080426795,3.1007945080426795,0.0
arousal,zero_residual,none_pure_loso,0,20,6,3.0205246562064842,3.0205246562064842,0.0
arousal,zero_residual,none_pure_loso,0,21,5,3.029623082988045,3.029623082988045,0.0
arousal,zero_residual,none_pure_loso,0,22,12,3.0969141993441154,3.0969141993441154,0.0
arousal,zero_residual,none_pure_loso,0,23,4,2.6671489765011622,2.6671489765011622,0.0
arousal,zero_residual,none_pure_loso,0,24,5,2.2763202136079914,2.2763202136079914,0.0
arousal,zero_residual,none_pure_loso,0,25,9,3.5687587265633103,3.5687587265633103,0.0
arousal,zero_residual,none_pure_loso,0,26,11,2.9441278102436135,2.9441278102436135,0.0
arousal,zero_residual,none_pure_loso,0,27,5,2.9825890882075416,2.9825890882075416,0.0
arousal,zero_residual,none_pure_loso,0,28,9,2.7827242350099874,2.7827242350099874,0.0
arousal,zero_residual,none_pure_loso,0,29,6,2.585923701009687,2.585923701009687,0.0
arousal,zero_residual,none_pure_loso,0,30,1,2.467741935483871,2.467741935483871,0.0
arousal,zero_residual,none_pure_loso,0,31,13,3.312745930483647,3.312745930483647,0.0
arousal,zero_residual,none_pure_loso,0,32,3,2.362816065037091,2.362816065037091,0.0
arousal,zero_residual,none_pure_loso,0,33,5,2.9890974279743703,2.9890974279743703,0.0
arousal,zero_residual,none_pure_loso,0,34,3,2.3030465880094124,2.3030465880094124,0.0
arousal,zero_residual,none_pure_loso,0,35,5,3.0611186599954463,3.0611186599954463,0.0
arousal,zero_residual,none_pure_loso,0,36,5,2.7350863222989212,2.7350863222989212,0.0
arousal,zero_residual,none_pure_loso,0,37,4,3.14414789298227,3.14414789298227,0.0
arousal,zero_residual,none_pure_loso,0,38,5,2.6995394065069838,2.6995394065069838,0.0
arousal,zero_residual,none_pure_loso,0,39,10,3.051462009499944,3.051462009499944,0.0
arousal,zero_residual,none_pure_loso,0,40,17,3.798886123284371,3.798886123284371,0.0
arousal,zero_residual,none_pure_loso,0,41,13,3.6109835160373875,3.6109835160373875,0.0
arousal,zero_residual,none_pure_loso,0,42,14,3.685245633578947,3.685245633578947,0.0
arousal,zero_residual,none_pure_loso,0,43,8,2.7786910280461976,2.7786910280461976,0.0
arousal,zero_residual,none_pure_loso,0,44,12,3.665941340298544,3.665941340298544,0.0
arousal,zero_residual,none_pure_loso,0,45,5,3.072434591397889,3.072434591397889,0.0
arousal,zero_residual,none_pure_loso,0,46,9,3.3049607618920334,3.3049607618920334,0.0
arousal,zero_residual,none_pure_loso,0,47,13,3.523931629971603,3.523931629971603,0.0
arousal,zero_residual,none_pure_loso,0,48,3,2.7659605265456344,2.7659605265456344,0.0
arousal,zero_residual,none_pure_loso,0,49,12,3.440254272923092,3.440254272923092,0.0
arousal,zero_residual,none_pure_loso,0,50,3,2.50815527270708,2.50815527270708,0.0
arousal,zero_residual,none_pure_loso,0,52,8,3.337034019273049,3.337034019273049,0.0
arousal,zero_residual,none_pure_loso,0,53,1,2.3870967741935485,2.3870967741935485,0.0
arousal,zero_residual,none_pure_loso,0,54,7,2.668103274889568,2.668103274889568,0.0
arousal,zero_residual,none_pure_loso,0,55,16,3.0956714266352208,3.0956714266352208,0.0
arousal,zero_residual,none_pure_loso,0,56,4,2.4152922880323433,2.4152922880323433,0.0
arousal,zero_residual,none_pure_loso,0,57,9,3.447972320495683,3.447972320495683,0.0
arousal,zero_residual,none_pure_loso,0,58,5,2.9292471855207736,2.9292471855207736,0.0
arousal,zero_residual,none_pure_loso,0,59,9,3.5060771777803468,3.5060771777803468,0.0
arousal,zero_residual,none_pure_loso,0,60,13,3.364229198692733,3.364229198692733,0.0
arousal,zero_residual,none_pure_loso,0,61,7,2.9657501831664757,2.9657501831664757,0.0
arousal,zero_residual,none_pure_loso,0,62,8,3.4774105646546394,3.4774105646546394,0.0
arousal,zero_residual,none_pure_loso,0,63,12,3.156342133584165,3.156342133584165,0.0
arousal,zero_residual,none_pure_loso,0,64,2,3.751967919296454,3.751967919296454,0.0
arousal,zero_residual,none_pure_loso,0,65,10,2.7879768249170787,2.7879768249170787,0.0
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,1,9,3.054269797486409,2.884494348606377,0.16977544888003182
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,2,16,3.606356125027074,3.1296495978585073,0.47670652716856665
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,3,6,3.1081918773532426,1.313560151238015,1.7946317261152276
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,5,8,2.909100239585122,2.4183355453792794,0.49076469420584257
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,6,22,4.3794514632224235,4.515881708134815,-0.13643024491239153
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,7,7,2.661457891666245,2.685593899952458,-0.024136008286212984
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,8,10,2.7801792140109836,3.1039043503096995,-0.3237251362987159
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,9,10,3.5470415337347743,2.6568503926468154,0.8901911410879588
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,10,7,2.8355134918213976,2.789545328119362,0.045968163702035714
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,11,9,3.2928911542907464,3.025219575739384,0.26767157855136237
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,12,3,2.313940020466014,2.3099975842873306,0.003942436178683284
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,13,13,3.3718165315100426,2.4585381263235027,0.9132784051865399
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,14,7,2.819840671424436,2.3133968570270262,0.5064438143974099
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,15,5,3.0078115434576906,3.076593738673039,-0.06878219521534845
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,16,4,2.809613069149392,2.406583254315001,0.40302981483439115
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,17,5,2.636975926993294,2.8303165913860213,-0.19334066439272712
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,18,12,3.2156493316824264,2.8779237453320596,0.33772558635036676
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,19,9,3.1007945080426795,3.19647894398986,-0.09568443594718046
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,20,6,3.0205246562064842,3.0113134939274984,0.009211162278985885
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,21,5,3.029623082988045,3.1394451078992707,-0.10982202491122584
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,22,12,3.0969141993441154,3.194804145215014,-0.09788994587089883
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,23,4,2.6671489765011622,2.50467475507435,0.16247422142681245
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,24,5,2.2763202136079914,2.328400274144077,-0.052080060536085604
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,25,9,3.5687587265633103,3.646450288401033,-0.07769156183772274
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,26,11,2.9441278102436135,2.8808483609922386,0.06327944925137485
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,27,5,2.9825890882075416,2.782250993812693,0.20033809439484873
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,28,9,2.7827242350099874,2.434711152837386,0.3480130821726015
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,29,6,2.585923701009687,2.7149702613512305,-0.1290465603415436
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,30,1,2.467741935483871,2.7475730641020206,-0.2798311286181496
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,31,13,3.312745930483647,3.2122248571662193,0.10052107331742777
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,32,3,2.362816065037091,2.9169660625968064,-0.5541499975597155
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,33,5,2.9890974279743703,2.4813299509629125,0.5077674770114577
