method,subject_id,n_high,zero_rmse_high,model_rmse_high,improvement_zero_minus_model,pearson_high,sign_acc_high
gaussian_0p10,1,9,3.0402310991603514,3.052446658619278,-0.012215559458926606,0.13173066296304875,0.4444444444444444
gaussian_0p10,2,15,3.676105404383153,3.9518346674855627,-0.27572926310240975,-0.11082954236434261,0.5333333333333333
gaussian_0p10,3,6,3.0784190512442287,3.2139078763227027,-0.13548882507847404,-0.17199168371189355,0.3333333333333333
gaussian_0p10,5,8,2.9168179622526837,2.8697508893286585,0.04706707292402523,-0.0368767006356431,0.625
gaussian_0p10,6,23,4.323165902373108,4.080142566010825,0.2430233363622829,0.038821230318379134,0.9130434782608695
gaussian_0p10,7,7,2.6604029788570656,4.1371072047565765,-1.476704225899511,-0.3767323386197313,0.0
gaussian_0p10,8,10,2.7860654738747637,2.5803147093388015,0.2057507645359622,0.44053874266425075,0.8
gaussian_0p10,9,10,3.562978183755555,3.6707887864553235,-0.1078106026997685,-0.08918755529011387,0.2
gaussian_0p10,10,6,2.9146001315728727,2.9782443341743394,-0.06364420260146675,-0.320112916325264,0.5
gaussian_0p10,11,9,3.2769074888207648,3.751459085164228,-0.47455159634346344,-0.5103575752781072,0.1111111111111111
gaussian_0p10,12,3,2.2916641715743884,2.3051956526991306,-0.013531481124742228,-0.34638133812065824,0.3333333333333333
gaussian_0p10,13,13,3.3811572686269438,3.2295218630582925,0.1516354055686513,-0.31219005552231555,0.9230769230769231
gaussian_0p10,14,7,2.8113405305598347,2.636914353465303,0.1744261770945319,-0.3437575868617401,0.5714285714285714
gaussian_0p10,15,5,3.0089626751669365,3.0918776271895703,-0.08291495202263377,-0.15856556061917873,0.4
gaussian_0p10,16,3,2.973215019232652,2.246177189490003,0.727037829742649,0.9736008746813657,1.0
gaussian_0p10,17,5,2.6388758409210604,2.510293353800743,0.1285824871203176,0.6938792470240576,0.8
gaussian_0p10,18,12,3.2231115942329307,3.0566755278223607,0.16643606641056996,0.2885207725240127,0.75
gaussian_0p10,19,9,3.1255444936516277,3.2277294272689163,-0.10218493361728864,0.03052328155526009,0.3333333333333333
gaussian_0p10,20,6,2.984026870907779,2.8605214200352576,0.1235054508725213,-0.1730154769411825,0.6666666666666666
gaussian_0p10,21,4,3.2120795798002044,3.028516856582361,0.18356272321784362,0.3963527859145968,0.75
gaussian_0p10,22,12,3.1083663742697603,3.21165620149241,-0.10328982722264968,-0.20513284993680914,0.3333333333333333
gaussian_0p10,23,4,2.6189903952513975,2.7521363996396184,-0.13314600438822088,-0.12322313062642397,0.25
gaussian_0p10,24,3,2.329369266170047,2.091900368721743,0.23746889744830435,0.7542223586753134,1.0
gaussian_0p10,25,9,3.5642576529999963,3.6643281059501573,-0.10007045295016104,-0.4339568449131132,0.3333333333333333
gaussian_0p10,26,11,2.9575845326180645,2.8880960201742516,0.06948851244381293,-0.25221378707826436,0.45454545454545453
gaussian_0p10,27,6,2.855840866672471,2.837084344808185,0.01875652186428578,0.4139051836959283,0.5
gaussian_0p10,28,9,2.810363962102163,2.3234366603733068,0.48692730172885623,0.17589327825214757,0.8888888888888888
gaussian_0p10,29,5,2.64114588391102,2.605893921489833,0.03525196242118689,-0.6714774894937813,0.6
gaussian_0p10,30,1,2.426229476928711,2.285181924700737,0.14104755222797394,,1.0
gaussian_0p10,31,13,3.3125739826208096,3.3424624891622376,-0.02988850654142805,-0.11601609859554333,0.46153846153846156
gaussian_0p10,32,2,2.4178521630474767,2.527850531976493,-0.10999836892901627,,0.5
gaussian_0p10,33,5,2.9884125408874294,2.8849198533119575,0.10349268757547181,-0.29809765719292186,0.6
gaussian_0p10,34,3,2.3085476450382987,2.220802230957224,0.08774541408107472,0.8143775400112384,0.6666666666666666
gaussian_0p10,35,5,3.060107391024241,3.3474507030573997,-0.28734331203315877,-0.8460911791391239,0.0
gaussian_0p10,36,5,2.745644719630628,2.492599334708957,0.25304538492167117,-0.024257495168925086,1.0
gaussian_0p10,37,4,3.120594154358899,3.0764292269108497,0.04416492744804934,0.4752523884992743,0.75
gaussian_0p10,38,5,2.6890243993052745,2.475597726134548,0.2134266731707264,0.8475501345155227,0.6
gaussian_0p10,39,10,3.0536191906636514,3.06121190929982,-0.007592718636168616,-0.3728888996558555,0.6
gaussian_0p10,40,16,3.865262544374532,4.3680887766664735,-0.5028262322919415,-0.16159646946809367,0.375
gaussian_0p10,41,13,3.6325840602139525,3.0673185125524767,0.5652655476614759,0.31160416506272165,1.0
