method,subject_id,n_high,zero_rmse_high,model_rmse_high,improvement_zero_minus_model,pearson_high,sign_acc_high
gaussian_0p10,1,9,3.0402310991603514,3.0525373411348653,-0.01230624197451391,0.1317221546657951,0.4444444444444444
gaussian_0p10,2,15,3.676105404383153,3.950726823325212,-0.27462141894205905,-0.11092023504327649,0.5333333333333333
gaussian_0p10,3,6,3.0784190512442287,3.21388798754177,-0.1354689362975412,-0.17198620584674207,0.3333333333333333
gaussian_0p10,5,8,2.9168179622526837,2.869595376810916,0.047222585441767606,-0.03688823812076948,0.625
gaussian_0p10,6,23,4.323165902373108,4.472264806240291,-0.14909890386718327,0.007730476881112216,0.21739130434782608
gaussian_0p10,7,7,2.6604029788570656,2.906292013713651,-0.24588903485658564,-0.38886918427528955,0.2857142857142857
none_noaug_control,1,9,3.0402310991603514,3.04761480404982,-0.00738370488946849,0.14126656428881293,0.5555555555555556
none_noaug_control,2,15,3.676105404383153,3.935709463663787,-0.2596040592806341,0.02576391160303286,0.13333333333333333
none_noaug_control,3,6,3.0784190512442287,3.2978107668200924,-0.2193917155758638,-0.009107329360713264,0.0
none_noaug_control,5,8,2.9168179622526837,2.6934417976923397,0.22337616456034404,-0.03330865709903014,1.0
none_noaug_control,6,23,4.323165902373108,4.36873099415946,-0.04556509178635171,-0.22219181259293203,0.30434782608695654
none_noaug_control,7,7,2.6604029788570656,3.017124035518261,-0.3567210566611956,0.2356048361523964,0.0
