method,subject_id,n_high,zero_rmse_high,model_rmse_high,improvement_zero_minus_model,pearson_high,sign_acc_high
neural_noaug_anchor,1,9,3.054269790649414,3.1959900856018066,-0.14172029495239258,-0.6332936360612164,0.3333333333333333
neural_noaug_anchor,2,15,3.6806721687316895,3.639749050140381,0.040923118591308594,0.287901522620535,0.6666666666666666
neural_noaug_anchor,3,6,3.108191967010498,3.0265283584594727,0.08166360855102539,0.4017843974538692,0.8333333333333334
neural_noaug_anchor,5,8,2.909100294113159,2.9065604209899902,0.0025398731231689453,0.06543430550217398,0.75
neural_noaug_anchor,6,22,4.379451274871826,4.368895053863525,0.010556221008300781,0.19853010155258022,0.5
neural_noaug_anchor,7,7,2.6614577770233154,2.5703649520874023,0.09109282493591309,-0.18902102183427938,1.0
neural_gaussian_0p10_anchor,1,9,3.054269790649414,3.0119545459747314,0.04231524467468262,0.3100546229602988,0.6666666666666666
neural_gaussian_0p10_anchor,2,15,3.6806721687316895,3.7096941471099854,-0.0290219783782959,-0.04797494600878427,0.2
neural_gaussian_0p10_anchor,3,6,3.108191967010498,2.9285082817077637,0.17968368530273438,-0.0794083736759248,0.6666666666666666
neural_gaussian_0p10_anchor,5,8,2.909100294113159,2.8731184005737305,0.03598189353942871,-0.1976838447145101,0.75
neural_gaussian_0p10_anchor,6,22,4.379451274871826,4.499082565307617,-0.11963129043579102,0.12820113223603927,0.0
neural_gaussian_0p10_anchor,7,7,2.6614577770233154,2.6459243297576904,0.015533447265625,-0.27486048101389265,0.7142857142857143
