source,path,method,n_eval,n_high,high_threshold,zero_rmse_high,model_rmse_high,lift_vs_zero_high,fixed_rmse_same_eval_high,lift_vs_fixed_same_eval_high,locked_bridge_rmse_05ak,lift_vs_locked_bridge_rmse,pearson_high,sign_acc_high,target,k_calibration,n_repeats,n_eval_repeated,subjects,zero_rmse,candidate_rmse,lift_vs_zero,fixed_rmse_same_eval,lift_vs_fixed_same_eval,candidate_minus_locked_bridge_rmse,pearson,sign_acc,mean_repeat_subject_improvement_zero_minus_candidate,ci95_low_repeat_subject_improvement,ci95_high_repeat_subject_improvement,signflip_p_mean_improvement_gt_zero,wins_vs_zero_repeat_subject,losses_vs_zero_repeat_subject,win_margin_vs_zero_repeat_subject,passes_zero_gate,passes_fixed_reference_gate,passes_locked_bridge_gate
06a5b_gaussian10_locked_rerun,docs/roca/idare_06a5b_gaussian10_locked_gate_rerun_current_method_metrics.csv,none_noaug_control,2016.0,495.0,2.2096774193548385,3.261633663266336,3.2609287381060668,0.000704925160269,,,2.622267149339945,-0.6386615887661216,0.096780842746061,0.5494949494949495,,,,,,,,,,,,,,,,,,,,,,,
06a5b_gaussian10_locked_rerun,docs/roca/idare_06a5b_gaussian10_locked_gate_rerun_current_method_metrics.csv,gaussian_0p10,2016.0,495.0,2.2096774193548385,3.261633663266336,3.2802487769043016,-0.0186151136379657,,,2.622267149339945,-0.6579816275643564,0.0574435561322926,0.5555555555555556,,,,,,,,,,,,,,,,,,,,,,,
06a6_neural_anchor,docs/roca/idare_06a6_neural_anchor_fixed_bandpower_current_method_metrics.csv,neural_noaug_anchor,2016.0,496.0,,3.261037826538086,3.275527238845825,-0.0144894123077392,3.194120407104492,-0.081406831741333,2.622267149339945,-0.65326008950588,0.0363287935925056,0.4677419354838709,,,,,,,,,,,,,,,,,,,,,,,
06a6_neural_anchor,docs/roca/idare_06a6_neural_anchor_fixed_bandpower_current_method_metrics.csv,neural_gaussian_0p10_anchor,2016.0,496.0,,3.261037826538086,3.3108763694763184,-0.0498385429382324,3.194120407104492,-0.1167559623718261,2.622267149339945,-0.6886092201363732,-0.0271953223905618,0.4939516129032258,,,,,,,,,,,,,,,,,,,,,,,
06a4b_locked_bridge_confirm,docs/roca/idare_06a4b_kshot_calibration_locked_bridge_confirm_current_method_metrics.csv,kshot_subject_mean_only,,,,,,,,,2.622267149339945,-0.0085343967620765,,,arousal,16.0,1000.0,254119.0,63.0,3.241351317496056,2.6308015461020218,0.6105497713940342,3.1699985241388213,0.5391969780367996,0.0085343967620765,0.6258680100520532,0.7695685879450179,0.5388541080236992,0.532656562284815,0.544821528935773,0.0001999600079984,44308.0,16333.0,27975.0,True,True,False
06a4b_locked_bridge_confirm,docs/roca/idare_06a4b_kshot_calibration_locked_bridge_confirm_current_method_metrics.csv,fixed_eeg_bandpower_plus_kshot_bias,,,,,,,,,2.622267149339945,-0.0271477696038369,,,arousal,16.0,1000.0,253845.0,63.0,3.241825523038633,2.649414918943782,0.5924106040948507,3.16993279090652,0.5205178719627375,0.0271477696038369,0.6085015844613975,0.7633398333628789,0.5376821423479154,0.5316467895371452,0.5435924466002776,0.0001999600079984,44103.0,16655.0,27448.0,True,True,False
06a4b_locked_bridge_confirm,docs/roca/idare_06a4b_kshot_calibration_locked_bridge_confirm_current_method_metrics.csv,kshot_subject_mean_only,,,,,,,,,2.622267149339945,-0.0441002038337052,,,arousal,8.0,1000.0,381169.0,63.0,3.2403059396255025,2.6663673531736505,0.573938586451852,3.168189913363286,0.5018225601896353,0.0441002038337052,0.5916339313799881,0.7529914552337676,0.5022881231410306,0.4958674414420652,0.5083024429064933,0.0001999600079984,43669.0,18652.0,25017.0,True,True,False
06a4b_locked_bridge_confirm,docs/roca/idare_06a4b_kshot_calibration_locked_bridge_confirm_current_method_metrics.csv,fixed_eeg_bandpower_plus_kshot_bias,,,,,,,,,2.622267149339945,-0.0621935737521583,,,arousal,8.0,1000.0,380965.0,63.0,3.2402542958287586,2.684460723092104,0.555793572736655,3.1681356720947487,0.483674949002645,0.0621935737521583,0.5769886337704607,0.7463835260456997,0.5020814801228447,0.495928324304851,0.5082592353003441,0.0001999600079984,43194.0,19183.0,24011.0,True,True,False
06a4b_locked_bridge_confirm,docs/roca/idare_06a4b_kshot_calibration_locked_bridge_confirm_current_method_metrics.csv,kshot_subject_mean_only,,,,,,,,,2.622267149339945,-0.1146797951540232,,,arousal,4.0,1000.0,444307.0,63.0,3.239948237320364,2.7369469444939685,0.5030012928263954,3.1685165363877164,0.4315695918937479,0.1146797951540232,0.5378494592599552,0.7275667500174429,0.4566365364831646,0.4498895511535782,0.4633573972805489,0.0001999600079984,40981.0,21682.0,19299.0,True,True,False
06a4b_locked_bridge_confirm,docs/roca/idare_06a4b_kshot_calibration_locked_bridge_confirm_current_method_metrics.csv,fixed_eeg_bandpower_plus_kshot_bias,,,,,,,,,2.622267149339945,-0.1378269009935979,,,arousal,4.0,1000.0,443976.0,63.0,3.240364110587501,2.760094050333543,0.4802700602539578,3.1686248463834485,0.4085307960499054,0.1378269009935979,0.5244692050934081,0.7206110240193163,0.4540248572032463,0.4470775798649188,0.4606781893962841,0.0001999600079984,40324.0,22400.0,17924.0,True,True,False
