branch,rank,file,recommended_action
origin/idare/postwave1/data-augmentation-track,1,docs/idare_cross_subject_failure_root_cause_triage_objective.md,KEEP_EVIDENCE_CHERRY_PICK_ONLY
origin/idare/postwave1/data-augmentation-track,2,docs/idare_data_augmentation_best_policy_report.md,KEEP_EVIDENCE_CHERRY_PICK_ONLY
origin/idare/postwave1/data-augmentation-track,3,docs/idare_label_task_protocol_target_policy_decision_matrix.md,KEEP_EVIDENCE_CHERRY_PICK_ONLY
origin/idare/postwave1/data-augmentation-track,4,docs/idare_label_task_protocol_target_policy_decision_package.md,KEEP_EVIDENCE_CHERRY_PICK_ONLY
origin/idare/postwave1/data-augmentation-track,5,docs/idare_post_strict_ntd_smoke_synthesis_and_pivot_decision.md,KEEP_EVIDENCE_CHERRY_PICK_ONLY
origin/idare/postwave1/data-augmentation-track,6,docs/idare_data_augmentation_closeout_report.md,KEEP_EVIDENCE_CHERRY_PICK_ONLY
origin/idare/postwave1/data-augmentation-track,7,docs/idare_data_augmentation_fold_level_report.md,KEEP_EVIDENCE_CHERRY_PICK_ONLY
origin/idare/postwave1/data-augmentation-track,8,docs/idare_data_augmentation_option_a_implementation_report.md,KEEP_EVIDENCE_CHERRY_PICK_ONLY
origin/idare/postwave1/data-augmentation-track,9,docs/idare_data_augmentation_validation_report.md,KEEP_EVIDENCE_CHERRY_PICK_ONLY
origin/idare/postwave1/data-augmentation-track,10,docs/idare_deap_cross_subject_data_augmentation_objective.md,KEEP_EVIDENCE_CHERRY_PICK_ONLY
origin/idare/postwave1/data-augmentation-track,11,docs/idare_label_task_protocol_final_decision_matrix.md,KEEP_EVIDENCE_CHERRY_PICK_ONLY
origin/idare/postwave1/data-augmentation-track,12,docs/idare_label_task_protocol_final_decision_objective.md,KEEP_EVIDENCE_CHERRY_PICK_ONLY
origin/idare/postwave1/data-augmentation-track,13,docs/idare_prior_best_cell_confirmation_authorization_package.md,KEEP_EVIDENCE_CHERRY_PICK_ONLY
origin/idare/postwave1/data-augmentation-track,14,docs/idare_prior_best_cell_confirmation_matrix.md,KEEP_EVIDENCE_CHERRY_PICK_ONLY
origin/idare/postwave1/data-augmentation-track,15,docs/idare_prior_best_confirmation_status_update.md,KEEP_EVIDENCE_CHERRY_PICK_ONLY
origin/idare/postwave1/data-augmentation-track,16,docs/idare_root_cause_triage_execution_authorization_package.md,KEEP_EVIDENCE_CHERRY_PICK_ONLY
origin/idare/postwave1/data-augmentation-track,17,docs/idare_strict_ntd_norm_dg_candidate_spec.md,KEEP_EVIDENCE_CHERRY_PICK_ONLY
origin/idare/postwave1/data-augmentation-track,18,docs/idare_strict_ntd_norm_dg_leakage_review.md,KEEP_EVIDENCE_CHERRY_PICK_ONLY
origin/idare/control-tower,1,docs/idare_cross_subject_failure_root_cause_triage_objective.md,KEEP_EVIDENCE_CHERRY_PICK_ONLY
origin/idare/control-tower,2,docs/idare_label_task_protocol_target_policy_decision_matrix.md,KEEP_EVIDENCE_CHERRY_PICK_ONLY
origin/idare/control-tower,3,docs/idare_label_task_protocol_target_policy_decision_package.md,KEEP_EVIDENCE_CHERRY_PICK_ONLY
origin/idare/control-tower,4,docs/idare_post_strict_ntd_smoke_synthesis_and_pivot_decision.md,KEEP_EVIDENCE_CHERRY_PICK_ONLY
