target,k_calibration,model,rmse,residual_rmse,lift_vs_stimulus_rmse,lift_vs_stimulus_residual_rmse,pearson,ccc,subjects,mean_improvement_stimulus_minus_model,median_improvement_stimulus_minus_model,ci95_low_mean_improvement,ci95_high_mean_improvement,signflip_p_one_sided_mean_gt_zero,wins,losses,ties,win_margin,sign_test_p_one_sided_wins_gt_losses,passes_confirmatory_metric
arousal,0,stimulus_only,2.4114416891992563,2.4114416891992563,0.0,0.0,0.3201727423777643,0.2675339998368259,,,,,,,,,,,,
arousal,0,stimulus_plus_fewshot_bias,2.4114416891992563,2.4114416891992563,0.0,0.0,0.3201727423777643,0.2675339998368259,,,,,,,,,,,,
arousal,0,stimulus_plus_fewshot_bias_shrink4,2.4114416891992563,2.4114416891992563,0.0,0.0,0.3201727423777643,0.2675339998368259,,,,,,,,,,,,
arousal,1,stimulus_only,2.4090455907532853,2.4090455907532853,0.0,0.0,0.3220764465512738,0.2690423595398087,8.0,0.0024139738507153174,0.0030457827299399387,-0.00017025030043288708,0.004776592041744188,0.05398920215956809,6.0,2.0,0.0,4.0,0.14453125,False
arousal,1,stimulus_plus_fewshot_bias,2.4149605034136807,2.4149605034136807,-0.0059149126603954,-0.0059149126603954,0.5651364867866827,0.563359932613707,8.0,-0.02136367604658418,-0.010593724386300574,-0.468134662399265,0.4687884171559906,0.5570885822835433,4.0,4.0,0.0,0.0,0.63671875,False
arousal,1,stimulus_plus_fewshot_bias_shrink4,2.195793572740438,2.195793572740438,0.2132520180128474,0.2132520180128474,0.4720995814609061,0.3999585450956465,8.0,0.18979657551428675,0.23401416775164896,0.05680964924981321,0.3218785082078373,0.029394121175764846,5.0,3.0,0.0,2.0,0.36328125,False
arousal,2,stimulus_only,2.413335964218508,2.413335964218508,0.0,0.0,0.3189240155728803,0.2665435667187537,8.0,-0.001663234254552226,-0.002683860548114314,-0.005944098772376533,0.0031357321846413877,0.74625074985003,2.0,6.0,0.0,-4.0,0.96484375,False
arousal,2,stimulus_plus_fewshot_bias,2.073218028379378,2.073218028379378,0.3401179358391295,0.3401179358391295,0.6250137707883585,0.6230643875294394,8.0,0.3227198280697178,0.3753496639959104,-0.13798555318152855,0.7763237834207943,0.1247750449910018,5.0,3.0,0.0,2.0,0.36328125,False
arousal,2,stimulus_plus_fewshot_bias_shrink4,2.094399047367648,2.094399047367648,0.31893691685086,0.31893691685086,0.5367316570007113,0.4628217058616203,8.0,0.2839596548316018,0.32911841846956325,0.09802983468987338,0.486525385433425,0.028194361127774445,6.0,2.0,0.0,4.0,0.14453125,True
arousal,4,stimulus_only,2.4063933308945487,2.4063933308945487,0.0,0.0,0.3229115677857153,0.2705862802964889,8.0,0.00418072654476187,0.005158433946732988,-0.003349072023587052,0.012139798464148062,0.17476504699060189,5.0,3.0,0.0,2.0,0.36328125,False
arousal,4,stimulus_plus_fewshot_bias,1.9033739894544577,1.9033739894544577,0.503019341440091,0.503019341440091,0.6733268852526267,0.6680385896005565,8.0,0.4834639383856978,0.5553636915838137,0.0757660205028235,0.9011462170160246,0.038592281543691265,5.0,3.0,0.0,2.0,0.36328125,False
arousal,4,stimulus_plus_fewshot_bias_shrink4,1.942827540947208,1.942827540947208,0.4635657899473411,0.4635657899473411,0.6203680891477518,0.5556153988833102,8.0,0.4322229860591745,0.5199270691952773,0.1504467939740805,0.7141275687045481,0.030393921215756847,5.0,3.0,0.0,2.0,0.36328125,False
arousal,8,stimulus_only,2.4138995711205102,2.4138995711205102,0.0,0.0,0.3118403916719451,0.2618872339992906,8.0,-0.0022673019607324374,-0.0012250827939679354,-0.012994553516721906,0.0077745513329209055,0.6590681863627275,4.0,4.0,0.0,0.0,0.63671875,False
arousal,8,stimulus_plus_fewshot_bias,1.7980353950597732,1.7980353950597734,0.6158641760607371,0.6158641760607368,0.6991229197173278,0.6883974676642026,8.0,0.5878677854183718,0.6506141538822797,0.1929185778545317,0.9870071687050918,0.033193361327734455,5.0,3.0,0.0,2.0,0.36328125,False
