target,k_calibration,model,label_policy,binary_n,accuracy,balanced_accuracy,macro_f1,auroc,n_low,n_high,true_high_rate,pred_high_rate,lift_vs_stimulus_accuracy,lift_vs_stimulus_balanced_accuracy,lift_vs_stimulus_macro_f1,lift_vs_stimulus_auroc
arousal,0,stimulus_only,midpoint_as_low,256,0.61328125,0.6067317317317318,0.6059150067640062,0.6110798298298298,148,108,0.421875,0.44140625,0.0,0.0,0.0,0.0
arousal,0,stimulus_only,midpoint_as_high,256,0.6171875,0.6190476190476191,0.6169770992366412,0.6518124579742038,123,133,0.51953125,0.45703125,0.0,0.0,0.0,0.0
arousal,0,stimulus_only,discard_midpoint,231,0.6320346320346321,0.6279358626919602,0.6280193236714975,0.6447229750075278,123,108,0.4675324675324675,0.42857142857142855,0.0,0.0,0.0,0.0
arousal,0,stimulus_plus_fewshot_bias,midpoint_as_low,256,0.61328125,0.6067317317317318,0.6059150067640062,0.6110798298298298,148,108,0.421875,0.44140625,0.0,0.0,0.0,0.0
arousal,0,stimulus_plus_fewshot_bias,midpoint_as_high,256,0.6171875,0.6190476190476191,0.6169770992366412,0.6518124579742038,123,133,0.51953125,0.45703125,0.0,0.0,0.0,0.0
arousal,0,stimulus_plus_fewshot_bias,discard_midpoint,231,0.6320346320346321,0.6279358626919602,0.6280193236714975,0.6447229750075278,123,108,0.4675324675324675,0.42857142857142855,0.0,0.0,0.0,0.0
arousal,0,stimulus_plus_fewshot_bias_shrink4,midpoint_as_low,256,0.61328125,0.6067317317317318,0.6059150067640062,0.6110798298298298,148,108,0.421875,0.44140625,0.0,0.0,0.0,0.0
arousal,0,stimulus_plus_fewshot_bias_shrink4,midpoint_as_high,256,0.6171875,0.6190476190476191,0.6169770992366412,0.6518124579742038,123,133,0.51953125,0.45703125,0.0,0.0,0.0,0.0
arousal,0,stimulus_plus_fewshot_bias_shrink4,discard_midpoint,231,0.6320346320346321,0.6279358626919602,0.6280193236714975,0.6447229750075278,123,108,0.4675324675324675,0.42857142857142855,0.0,0.0,0.0,0.0
arousal,1,stimulus_only,midpoint_as_low,12400,0.614516129032258,0.6079217199048945,0.6071319679194007,0.6131100537740244,7167,5233,0.42201612903225805,0.4408870967741935,0.0,0.0,0.0,0.0
arousal,1,stimulus_only,midpoint_as_high,12400,0.6183064516129032,0.6201011530817762,0.618072344565576,0.6523945104612661,5968,6432,0.5187096774193548,0.45653225806451614,0.0,0.0,0.0,0.0
arousal,1,stimulus_only,discard_midpoint,11201,0.633068476028926,0.6289164063232455,0.62901378309301,0.6461158025297286,5968,5233,0.46719042942594413,0.42826533345237033,0.0,0.0,0.0,0.0
arousal,1,stimulus_plus_fewshot_bias,midpoint_as_low,12400,0.7087096774193549,0.7035355449850288,0.7026371315748632,0.7827231079151208,7167,5233,0.42201612903225805,0.4350806451612903,0.09419354838709681,0.09561382508013427,0.09550516365546247,0.1696130541410964
arousal,1,stimulus_plus_fewshot_bias,midpoint_as_high,12400,0.694274193548387,0.6962842039800995,0.6940400892459657,0.7741147880945474,5968,6432,0.5187096774193548,0.4536290322580645,0.07596774193548383,0.07618305089832333,0.07596774468038969,0.1217202776332813
arousal,1,stimulus_plus_fewshot_bias,discard_midpoint,11201,0.7208284974555843,0.7177207992278329,0.7183153327676886,0.8008067838972002,5968,5233,0.46719042942594413,0.4383537184179984,0.08776002142665829,0.08880439290458741,0.08930154967467852,0.1546909813674716
