target,k_calibration,model,subjects,rmse_wins,rmse_losses,rmse_ties,rmse_win_margin,mean_delta_rmse_model_minus_stimulus,median_delta_rmse_model_minus_stimulus,worst_regression_delta_rmse,best_gain_delta_rmse,residual_rmse_wins,residual_rmse_losses,residual_rmse_win_margin
arousal,0,stimulus_plus_fewshot_bias,8,0,0,8,0,0.0,0.0,0.0,0.0,0,0,0
arousal,0,stimulus_plus_fewshot_bias_shrink4,8,0,0,8,0,0.0,0.0,0.0,0.0,0,0,0
arousal,1,stimulus_plus_fewshot_bias,8,4,4,0,0,0.023777649897299524,0.01458786409179802,0.8325956208514826,-1.057002508241622,4,4,0
arousal,1,stimulus_plus_fewshot_bias_shrink4,8,5,3,0,2,-0.18738260166357135,-0.23002002804615151,0.04580163547019511,-0.5296114407908634,5,3,2
arousal,2,stimulus_plus_fewshot_bias,8,5,3,0,2,-0.3243830623242699,-0.38034853595584495,0.6601385853573789,-1.457579419906469,5,3,2
arousal,2,stimulus_plus_fewshot_bias_shrink4,8,6,2,0,4,-0.28562288908615396,-0.3341172904294978,0.06917150739710065,-0.7937434615702066,6,2,4
arousal,4,stimulus_plus_fewshot_bias,8,5,3,0,2,-0.47928321184093603,-0.5391948918155184,0.20569760690989058,-1.45873946892277,5,3,2
arousal,4,stimulus_plus_fewshot_bias_shrink4,8,5,3,0,2,-0.42804225951441266,-0.503758269426982,0.04591711496084905,-1.1218470020645808,5,3,2
arousal,8,stimulus_plus_fewshot_bias,8,5,3,0,2,-0.5901350873791043,-0.6612205779254857,0.10069599925353812,-1.5920419840613609,5,3,2
arousal,8,stimulus_plus_fewshot_bias_shrink4,8,6,2,0,4,-0.5430002273553504,-0.6087779715592745,0.03328918110495094,-1.4211829108510359,6,2,4
arousal,16,stimulus_plus_fewshot_bias,8,6,2,0,4,-0.6285937249663459,-0.6621507197368328,0.057950288494151625,-1.6447126414600226,6,2,4
arousal,16,stimulus_plus_fewshot_bias_shrink4,8,7,1,0,6,-0.6131434190174785,-0.6620711266750114,0.033693985333633325,-1.586453761968071,7,1,6
valence,0,stimulus_plus_fewshot_bias,8,0,0,8,0,0.0,0.0,0.0,0.0,0,0,0
valence,0,stimulus_plus_fewshot_bias_shrink4,8,0,0,8,0,0.0,0.0,0.0,0.0,0,0,0
valence,1,stimulus_plus_fewshot_bias,8,0,8,0,-8,0.5262459220499643,0.527981080928715,0.6391550117595082,0.39539635391714945,0,8,-8
valence,1,stimulus_plus_fewshot_bias_shrink4,8,0,8,0,-8,0.017318828075495563,0.02027759112199612,0.032050033134609635,0.0006973183878595801,0,8,-8
valence,2,stimulus_plus_fewshot_bias,8,0,8,0,-8,0.24802979264671401,0.24958542095778835,0.36145133570649945,0.10888082810567967,0,8,-8
valence,2,stimulus_plus_fewshot_bias_shrink4,8,2,6,0,-4,0.0160688474531214,0.019253582338528807,0.044580825828910875,-0.032098957748305734,2,6,-4
valence,4,stimulus_plus_fewshot_bias,8,0,8,0,-8,0.09966680197714209,0.08822482602281201,0.1642835053140257,0.03196597979804716,0,8,-8
valence,4,stimulus_plus_fewshot_bias_shrink4,8,3,5,0,-2,0.011753997271880229,0.01800782092856379,0.04529894614506502,-0.04754610733054676,3,5,-2
valence,8,stimulus_plus_fewshot_bias,8,3,5,0,-2,0.045288610171102,0.05963087817605117,0.12123073769387949,-0.02529020025712625,3,5,-2
valence,8,stimulus_plus_fewshot_bias_shrink4,8,3,5,0,-2,0.006334321571928231,0.020871107928812194,0.06088633800520249,-0.06736503725272924,3,5,-2
valence,16,stimulus_plus_fewshot_bias,8,3,5,0,-2,0.0012126717681526233,0.02049587932173491,0.06325226918425875,-0.10164887619342622,3,5,-2
valence,16,stimulus_plus_fewshot_bias_shrink4,8,4,4,0,0,-0.00891784564610637,0.009354526466607949,0.04683303460654331,-0.10339500293855663,4,4,0
