target,quantile,block,model,subjects,rmse_wins,rmse_losses,rmse_ties,rmse_win_margin,mean_delta_rmse_model_minus_stimulus,median_delta_rmse_model_minus_stimulus,worst_regression_delta_rmse,best_gain_delta_rmse
arousal,0.5,eeg_entropy_complexity,physio_eeg_entropy_complexity_ridge,63,38,25,0,13,-0.044373093940512975,-0.044218151441143494,0.41765347585498436,-0.7956326095094624
arousal,0.5,eeg_bandpower,physio_eeg_bandpower_ridge,63,33,30,0,3,-0.039438812902246115,-0.030147266890877766,0.4972119233712651,-0.8771157318091769
arousal,0.5,none,stimulus_only,63,0,0,63,0,0.0,0.0,0.0,0.0
arousal,0.5,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,63,31,32,0,-1,0.006029655217513239,0.0005943931780252321,0.24183849963384185,-0.11392055360524544
arousal,0.5,eeg_cov_riemannian,physio_eeg_cov_riemannian_ridge,63,30,33,0,-3,0.012110351327028557,0.03169997129549795,0.6944793626855661,-0.7430277959653246
arousal,0.5,eeg_directed_connectivity_experimental,physio_eeg_directed_connectivity_experimental_ridge,63,30,33,0,-3,-0.00362637244879175,0.00946659427749319,0.38940992887265446,-0.7227240993032384
arousal,0.5,emg_bsl_stats_22,physio_emg_bsl_stats_22_ridge,63,28,35,0,-7,0.3320797164187904,0.006768416915521769,20.475930695043925,-0.22721598952740152
arousal,0.5,emg_existing_22,physio_emg_existing_22_ridge,63,28,35,0,-7,0.5031759895243635,0.004071631855426805,31.261255435287623,-0.1505953098055628
arousal,0.5,emg_expanded_812,physio_emg_expanded_812_ridge,63,22,41,0,-19,38706.95305632556,0.042882131727013384,2437030.2077411045,-0.4113682785823287
arousal,0.75,eeg_entropy_complexity,physio_eeg_entropy_complexity_ridge,63,37,26,0,11,-0.09603898871664107,-0.03307104186239096,0.4865610528170481,-1.7836705170152425
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,63,35,28,0,7,-0.09958803303877056,-0.02077259111433971,0.5652863815604792,-1.794631726115228
arousal,0.75,eeg_cov_riemannian,physio_eeg_cov_riemannian_ridge,63,32,31,0,1,-0.031450826185375334,-0.02378171412481933,0.7496311621671023,-1.8159604184406328
arousal,0.75,none,stimulus_only,63,0,0,63,0,0.0,0.0,0.0,0.0
arousal,0.75,eeg_directed_connectivity_experimental,physio_eeg_directed_connectivity_experimental_ridge,63,30,33,0,-3,-0.013627193972773666,0.012753883669318178,0.7744056343509103,-1.2913881269063103
arousal,0.75,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,63,30,33,0,-3,0.010622131990969072,0.0005456094855267324,0.29550808701099074,-0.16352869348953813
arousal,0.75,emg_bsl_stats_22,physio_emg_bsl_stats_22_ridge,63,28,35,0,-7,0.41866813647705214,0.011623290681884502,25.584946115292876,-0.2753174905617155
arousal,0.75,emg_existing_22,physio_emg_existing_22_ridge,63,28,35,0,-7,0.01242062419750492,0.012866976283704368,0.4800383173734919,-0.247764890527034
arousal,0.75,emg_expanded_812,physio_emg_expanded_812_ridge,63,20,43,0,-23,59926.778771151476,0.06552893993547171,3773517.8529930487,-0.5179029241978326
arousal,0.9,eeg_bandpower,physio_eeg_bandpower_ridge,55,35,20,0,15,-0.18560877103251208,-0.05464867700010423,0.7734536197518103,-1.8498138960066361
arousal,0.9,eeg_cov_riemannian,physio_eeg_cov_riemannian_ridge,55,33,22,0,11,-0.1279717096222515,-0.07295936398273062,0.8646381646073302,-1.8240674612669041
arousal,0.9,eeg_entropy_complexity,physio_eeg_entropy_complexity_ridge,55,33,22,0,11,-0.18422255191673148,-0.13906165410809734,0.8769576517158004,-2.263788515655061
arousal,0.9,eeg_directed_connectivity_experimental,physio_eeg_directed_connectivity_experimental_ridge,55,28,27,0,1,-0.06844521323325023,-0.0037204825588594836,0.7554833037093536,-1.481299476681067
arousal,0.9,none,stimulus_only,55,0,0,55,0,0.0,0.0,0.0,0.0
arousal,0.9,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,55,27,28,0,-1,0.024214008575630268,0.002688138456732325,0.3828720523545135,-0.20182699057318
arousal,0.9,emg_existing_22,physio_emg_existing_22_ridge,55,23,32,0,-9,0.02266634894301769,0.0047533402570119065,0.221787320727441,-0.14677489326900384
arousal,0.9,emg_bsl_stats_22,physio_emg_bsl_stats_22_ridge,55,20,35,0,-15,0.6339164160004993,0.03611938857552843,33.04778030855535,-0.25030389261675356
arousal,0.9,emg_expanded_812,physio_emg_expanded_812_ridge,55,18,37,0,-19,43.38421135550465,0.0838974782457047,2379.0320207029354,-0.4739948141916557
valence,0.5,eeg_entropy_complexity,physio_eeg_entropy_complexity_ridge,63,33,30,0,3,0.015864552085869125,-0.004541919553423757,0.3203483973463346,-0.14054413141126232
valence,0.5,none,stimulus_only,63,0,0,63,0,0.0,0.0,0.0,0.0
valence,0.5,eeg_bandpower,physio_eeg_bandpower_ridge,63,28,35,0,-7,0.030134266044097257,0.011156074232040902,0.5943337825356783,-0.1357661140102404
valence,0.5,emg_bsl_stats_22,physio_emg_bsl_stats_22_ridge,63,28,35,0,-7,0.19841519252228995,0.001090980935413155,12.30426185968516,-0.10184716107638958
valence,0.5,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,63,28,35,0,-7,-0.0013139577524118335,0.0008388875654863348,0.04326347445477663,-0.08203434932813836
valence,0.5,eeg_directed_connectivity_experimental,physio_eeg_directed_connectivity_experimental_ridge,63,27,36,0,-9,0.023546046542119118,0.010341095346963813,0.4869706043698345,-0.11034703925670475
