target,quantile,feature_block,model,subject_id,baseline_residual_rmse,model_residual_rmse,improvement_baseline_minus_model,delta_rmse_model_minus_baseline
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,59,3.506077177780347,4.071363559340826,-0.5652863815604787,0.5652863815604787
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,32,2.362816065037091,2.9169660625968064,-0.5541499975597155,0.5541499975597155
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,56,2.4152922880323433,2.8881378361434886,-0.4728455481111453,0.4728455481111453
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,43,2.7786910280461976,3.1810416523773988,-0.40235062433120117,0.40235062433120117
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,41,3.6109835160373875,3.9410151886342266,-0.3300316725968391,0.3300316725968391
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,8,2.7801792140109836,3.1039043503096995,-0.3237251362987159,0.3237251362987159
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,62,3.4774105646546394,3.766788586960951,-0.2893780223063116,0.2893780223063116
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,30,2.467741935483871,2.7475730641020206,-0.2798311286181496,0.2798311286181496
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,50,2.50815527270708,2.76698403679848,-0.2588287640914002,0.2588287640914002
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,40,3.7988861232843716,4.014273343564564,-0.21538722028019208,0.21538722028019208
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,42,3.685245633578947,3.8811652390504463,-0.19591960547149911,0.19591960547149911
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,17,2.636975926993294,2.8303165913860213,-0.19334066439272712,0.19334066439272712
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,46,3.304960761892034,3.4622127469058532,-0.15725198501381943,0.15725198501381943
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,6,4.379451463222424,4.515881708134815,-0.13643024491239064,0.13643024491239064
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,29,2.5859237010096865,2.7149702613512305,-0.12904656034154405,0.12904656034154405
