binary_n,accuracy,balanced_accuracy,macro_f1,auroc,n_low,n_high,majority_accuracy,true_high_rate,pred_high_rate,target,label_policy,model,lift_vs_global_accuracy,lift_vs_global_balanced_accuracy,lift_vs_global_macro_f1,lift_vs_global_auroc
2016,0.5758928571428571,0.5,0.3654390934844193,0.4404586689232412,1161,855,0.5758928571428571,0.42410714285714285,0.0,valence,midpoint_as_low,global_train_mean,0.0,0.0,0.0,0.0
2016,0.8660714285714286,0.8795593635250918,0.8658039779535107,0.943285935194,1161,855,0.5758928571428571,0.42410714285714285,0.53125,valence,midpoint_as_low,stimulus_only,0.2901785714285715,0.3795593635250918,0.5003648844690914,0.5028272662707587
2016,0.4027777777777778,0.5,0.2871287128712871,0.45736706872003013,812,1204,0.5972222222222222,0.5972222222222222,0.0,valence,midpoint_as_high,global_train_mean,0.0,0.0,0.0,0.0
2016,0.8883928571428571,0.8973393286745333,0.8865198546473447,0.9531155385169304,812,1204,0.5972222222222222,0.5972222222222222,0.53125,valence,midpoint_as_high,stimulus_only,0.4856150793650793,0.39733932867453325,0.5993911417760576,0.4957484697969003
1667,0.4871025794841032,0.5,0.32755143202904397,0.4399259643361277,812,855,0.5128974205158968,0.5128974205158968,0.0,valence,discard_midpoint,global_train_mean,0.0,0.0,0.0,0.0
1667,0.9562087582483503,0.9558854031630801,0.9561480984993036,0.9818403768040792,812,855,0.5128974205158968,0.5128974205158968,0.5242951409718056,valence,discard_midpoint,stimulus_only,0.4691061787642471,0.4558854031630801,0.6285966664702596,0.5419144124679516
2016,0.6592261904761905,0.5,0.39730941704035877,0.30467523819224707,1329,687,0.6592261904761905,0.34077380952380953,0.0,arousal,midpoint_as_low,global_train_mean,0.0,0.0,0.0,0.0
2016,0.8010912698412699,0.7686230248306998,0.7739110736354597,0.816073636699185,1329,687,0.6592261904761905,0.34077380952380953,0.3125,arousal,midpoint_as_low,stimulus_only,0.14186507936507942,0.2686230248306998,0.376601656595101,0.5113983985069379
2016,0.5515873015873016,0.5,0.3554987212276215,0.30145794868529957,1112,904,0.5515873015873016,0.44841269841269843,0.0,arousal,midpoint_as_high,global_train_mean,0.0,0.0,0.0,0.0
2016,0.7599206349206349,0.743163875978863,0.7453650012578512,0.8100016115426243,1112,904,0.5515873015873016,0.44841269841269843,0.3125,arousal,midpoint_as_high,stimulus_only,0.20833333333333326,0.24316387597886302,0.3898662800302297,0.5085436628573248
1799,0.6181211784324625,0.5,0.38199931295087597,0.28388337365042465,1112,687,0.6181211784324625,0.3818788215675375,0.0,arousal,discard_midpoint,global_train_mean,0.0,0.0,0.0,0.0
1799,0.8143413007226237,0.7861211031175059,0.7952756388415673,0.8449886379106322,1112,687,0.6181211784324625,0.3818788215675375,0.3129516397998888,arousal,discard_midpoint,stimulus_only,0.19622012229016117,0.28612110311750594,0.4132763258906913,0.5611052642602075
