target,block,k_calibration,model,subjects,rmse_wins_vs_fewshot,rmse_losses_vs_fewshot,rmse_ties_vs_fewshot,rmse_win_margin_vs_fewshot,mean_delta_rmse_model_minus_fewshot,median_delta_rmse_model_minus_fewshot,worst_regression_delta_rmse,best_gain_delta_rmse
arousal,eeg_bandpower,0,stimulus_only,63,0,0,63,0,0.0,0.0,0.0,0.0
arousal,eeg_bandpower,0,stimulus_plus_fewshot_bias,63,0,0,63,0,0.0,0.0,0.0,0.0
arousal,eeg_bandpower,0,stimulus_plus_fewshot_bias_plus_physio,63,34,29,0,5,0.0030749263155670555,-0.0013510531923743851,0.2756385291615424,-0.3629292871680698
arousal,eeg_bandpower,0,stimulus_plus_fewshot_bias_shrink4_plus_physio,63,34,29,0,5,0.0030749263155670555,-0.0013510531923743851,0.2756385291615424,-0.3629292871680698
arousal,eeg_bandpower,0,stimulus_plus_physio,63,34,29,0,5,0.0030749263155670555,-0.0013510531923743851,0.2756385291615424,-0.3629292871680698
arousal,eeg_bandpower,1,stimulus_only,63,33,30,0,3,0.04555183765685577,-0.0040759470425788535,0.5461775525328183,-0.06253697923736823
arousal,eeg_bandpower,1,stimulus_plus_fewshot_bias,63,5,58,0,-53,0.49586181034872806,0.5331299653738777,0.9836780450453997,-0.6768463655566224
arousal,eeg_bandpower,1,stimulus_plus_fewshot_bias_plus_physio,63,5,58,0,-53,0.5084835343321262,0.5647260187202354,1.0052003416928903,-0.6498755235801335
arousal,eeg_bandpower,1,stimulus_plus_fewshot_bias_shrink4_plus_physio,63,30,33,0,-3,0.005855075860083975,0.0011624053411496416,0.250631184073862,-0.2633396963722696
arousal,eeg_bandpower,1,stimulus_plus_physio,63,35,28,0,7,0.04853164701657964,-0.008726603831293644,0.7263785201238857,-0.2231520102508635
arousal,eeg_bandpower,2,stimulus_only,63,31,32,0,-1,0.07644398497385033,0.0014777514148074378,0.8287274475753299,-0.08700907010254388
arousal,eeg_bandpower,2,stimulus_plus_fewshot_bias,63,9,54,0,-45,0.20368797549090603,0.25831690451083245,0.5792801947054791,-0.6752444762749179
arousal,eeg_bandpower,2,stimulus_plus_fewshot_bias_plus_physio,63,8,55,0,-47,0.2197761764935087,0.2748685768469943,0.6043627037437473,-0.6510831386793439
arousal,eeg_bandpower,2,stimulus_plus_fewshot_bias_shrink4_plus_physio,63,29,34,0,-5,0.00808451263173175,0.00487769595340759,0.22593031104744465,-0.17018934280053455
arousal,eeg_bandpower,2,stimulus_plus_physio,63,31,32,0,-1,0.07948513634231975,0.001281184110373479,1.0091252742119003,-0.10215230381921092
arousal,eeg_bandpower,4,stimulus_only,63,31,32,0,-1,0.11990415786854175,0.007153723721057936,1.237928025930911,-0.09034813497766958
arousal,eeg_bandpower,4,stimulus_plus_fewshot_bias,63,9,54,0,-45,0.07638234387009472,0.1171243782739837,0.2355699631513728,-0.4570652860226452
arousal,eeg_bandpower,4,stimulus_plus_fewshot_bias_plus_physio,63,9,54,0,-45,0.09110108009377346,0.11896636507180847,0.26904274285235363,-0.44203219774539404
arousal,eeg_bandpower,4,stimulus_plus_fewshot_bias_shrink4_plus_physio,63,29,34,0,-5,0.00975738802536559,0.004262032861432896,0.202359854607711,-0.11375918591193446
arousal,eeg_bandpower,4,stimulus_plus_physio,63,28,35,0,-7,0.12315116995228159,0.013081780389681663,1.4176581889055564,-0.10423182894770022
arousal,eeg_bandpower,8,stimulus_only,63,28,35,0,-7,0.16225988838879024,0.029840126392017385,1.587728373632482,-0.0935279256098891
arousal,eeg_bandpower,8,stimulus_plus_fewshot_bias,63,11,52,0,-41,0.023786777147599334,0.04069192424557988,0.08861106018907838,-0.2186951458530566
arousal,eeg_bandpower,8,stimulus_plus_fewshot_bias_plus_physio,63,10,53,0,-43,0.03890256018464895,0.053790824142826876,0.19674361821126318,-0.18275957112624752
