target,block,test_subject,k_calibration,repeat,alpha,calibration_n,eval_n,bias_raw,bias_shrink,physio_pred_std_eval
valence,emg_existing_22,1,0,0,1000.0,0,32,0.0,0.0,0.08468013226258812
valence,emg_existing_22,1,4,0,1000.0,4,28,-1.1666666666666665,-0.5833333333333333,0.07966213574399578
valence,emg_existing_22,1,4,1,1000.0,4,28,0.16666666666666674,0.08333333333333337,0.08614342675856093
valence,emg_existing_22,1,4,2,1000.0,4,28,0.9166666666666666,0.4583333333333333,0.08392179434754615
valence,emg_existing_22,1,4,3,1000.0,4,28,0.4166666666666666,0.2083333333333333,0.08725929424028726
valence,emg_existing_22,1,4,4,1000.0,4,28,-0.75,-0.375,0.08285767087701246
valence,emg_existing_22,1,4,5,1000.0,4,28,-0.41666666666666696,-0.20833333333333348,0.0884211640245118
valence,emg_existing_22,1,4,6,1000.0,4,28,0.6666666666666667,0.33333333333333337,0.0802089931168973
valence,emg_existing_22,1,4,7,1000.0,4,28,0.3333333333333336,0.1666666666666668,0.08829995504712605
valence,emg_existing_22,1,4,8,1000.0,4,28,-0.16666666666666685,-0.08333333333333343,0.08872040875671024
valence,emg_existing_22,1,4,9,1000.0,4,28,0.41666666666666663,0.20833333333333331,0.08391966862997144
valence,emg_existing_22,1,4,10,1000.0,4,28,-0.08333333333333343,-0.04166666666666671,0.08458343961390813
valence,emg_existing_22,1,4,11,1000.0,4,28,-0.08333333333333348,-0.04166666666666674,0.0831582807610116
valence,emg_existing_22,1,4,12,1000.0,4,28,-0.16666666666666674,-0.08333333333333337,0.0867344558369968
valence,emg_existing_22,1,4,13,1000.0,4,28,-0.08333333333333326,-0.04166666666666663,0.08936195911792594
valence,emg_existing_22,1,4,14,1000.0,4,28,-0.5833333333333334,-0.2916666666666667,0.08888781065409548
valence,emg_existing_22,1,4,15,1000.0,4,28,-1.0833333333333335,-0.5416666666666667,0.08872215870565951
valence,emg_existing_22,1,4,16,1000.0,4,28,-0.6666666666666667,-0.33333333333333337,0.08136181615057284
valence,emg_existing_22,1,4,17,1000.0,4,28,0.08333333333333337,0.041666666666666685,0.08563355773642192
valence,emg_existing_22,1,4,18,1000.0,4,28,-0.5000000000000002,-0.2500000000000001,0.08806580277978603
valence,emg_existing_22,1,4,19,1000.0,4,28,-1.1666666666666665,-0.5833333333333333,0.0850387340490244
valence,emg_existing_22,1,16,0,1000.0,16,16,-0.27083333333333337,-0.2166666666666667,0.06328654615932157
valence,emg_existing_22,1,16,1,1000.0,16,16,-0.6666666666666665,-0.5333333333333332,0.08388201629258239
valence,emg_existing_22,1,16,2,1000.0,16,16,-0.33333333333333337,-0.2666666666666667,0.09984812189399886
valence,emg_existing_22,1,16,3,1000.0,16,16,-0.2708333333333334,-0.21666666666666676,0.08357710199782943
valence,emg_existing_22,1,16,4,1000.0,16,16,-0.12499999999999999,-0.09999999999999999,0.09222204802338058
valence,emg_existing_22,1,16,5,1000.0,16,16,-0.5416666666666667,-0.4333333333333334,0.08205785383486147
valence,emg_existing_22,1,16,6,1000.0,16,16,-0.10416666666666674,-0.0833333333333334,0.08997117258418925
valence,emg_existing_22,1,16,7,1000.0,16,16,-0.6666666666666666,-0.5333333333333333,0.06382696435393369
valence,emg_existing_22,1,16,8,1000.0,16,16,-0.3541666666666667,-0.2833333333333334,0.08287803632868102
valence,emg_existing_22,1,16,9,1000.0,16,16,-0.35416666666666674,-0.2833333333333334,0.058683580770344995
valence,emg_existing_22,1,16,10,1000.0,16,16,-0.75,-0.6000000000000001,0.09497691507617201
valence,emg_existing_22,1,16,11,1000.0,16,16,-0.04166666666666671,-0.033333333333333375,0.08138568786613322
valence,emg_existing_22,1,16,12,1000.0,16,16,-0.4583333333333333,-0.3666666666666667,0.08574166202977568
valence,emg_existing_22,1,16,13,1000.0,16,16,-0.33333333333333337,-0.2666666666666667,0.051397611431963926
valence,emg_existing_22,1,16,14,1000.0,16,16,-0.4791666666666667,-0.38333333333333336,0.09497128182552393
valence,emg_existing_22,1,16,15,1000.0,16,16,-0.125,-0.1,0.09859616358788918
valence,emg_existing_22,1,16,16,1000.0,16,16,-0.24999999999999997,-0.19999999999999998,0.08207792243522484
valence,emg_existing_22,1,16,17,1000.0,16,16,-0.02083333333333337,-0.016666666666666698,0.09831010289378535
valence,emg_existing_22,1,16,18,1000.0,16,16,-0.5416666666666667,-0.4333333333333334,0.1009668571403425
valence,emg_existing_22,1,16,19,1000.0,16,16,-0.2916666666666667,-0.23333333333333336,0.09281072077184002
valence,emg_existing_22,2,0,0,1000.0,0,32,0.0,0.0,0.024275003792693546
valence,emg_existing_22,2,4,0,1000.0,4,28,-0.5833333333333335,-0.29166666666666674,0.025365960221016854
valence,emg_existing_22,2,4,1,1000.0,4,28,-0.08333333333333337,-0.041666666666666685,0.02114259076015622
valence,emg_existing_22,2,4,2,1000.0,4,28,-0.5000000000000002,-0.2500000000000001,0.025336961171941574
valence,emg_existing_22,2,4,3,1000.0,4,28,-1.0833333333333335,-0.5416666666666667,0.025176472107853905
valence,emg_existing_22,2,4,4,1000.0,4,28,1.0,0.5,0.0203650586225877
valence,emg_existing_22,2,4,5,1000.0,4,28,-0.41666666666666674,-0.20833333333333337,0.025131613284238432
valence,emg_existing_22,2,4,6,1000.0,4,28,-0.25000000000000006,-0.12500000000000003,0.025534040155762792
valence,emg_existing_22,2,4,7,1000.0,4,28,-0.5833333333333335,-0.29166666666666674,0.025037579171060437
valence,emg_existing_22,2,4,8,1000.0,4,28,-0.5,-0.25,0.025301509794027364
valence,emg_existing_22,2,4,9,1000.0,4,28,-0.2500000000000001,-0.12500000000000006,0.02568913737497517
valence,emg_existing_22,2,4,10,1000.0,4,28,-1.4166666666666667,-0.7083333333333334,0.02155177173912494
valence,emg_existing_22,2,4,11,1000.0,4,28,0.2500000000000001,0.12500000000000006,0.021137773236557363
valence,emg_existing_22,2,4,12,1000.0,4,28,-0.5833333333333334,-0.2916666666666667,0.025065030974918925
valence,emg_existing_22,2,4,13,1000.0,4,28,-1.0833333333333333,-0.5416666666666666,0.02458125638291467
