target,block,k_calibration,model,test_subject,n,mae,rmse,pearson,spearman,ccc,y_true_std,y_pred_std
arousal,eeg_entropy_complexity,0,stimulus_only,1,32,2.09375,2.4544460791705234,0.3649736314356434,0.38795030623262916,0.3312777028329158,2.4348944407304396,1.6791201399674904
arousal,eeg_entropy_complexity,0,stimulus_only,2,32,2.489583333333333,2.9005507139928524,0.6304858057954145,0.6362665848053127,0.3479547900968784,2.3048861143232218,1.5447252879647493
arousal,eeg_entropy_complexity,0,stimulus_only,3,32,2.447916666666667,2.7782638463616087,0.5673762146700769,0.5428498370956654,0.2851802725189919,1.5194057226429023,1.7860558949042502
arousal,eeg_entropy_complexity,0,stimulus_only,5,32,1.3645833333333335,1.673942452216722,0.6565598004473754,0.7032967328112067,0.6086561192944171,2.0832291640623697,1.5931371370663607
arousal,eeg_entropy_complexity,0,stimulus_plus_fewshot_bias,1,32,2.09375,2.4544460791705234,0.3649736314356434,0.38795030623262916,0.3312777028329158,2.4348944407304396,1.6791201399674904
arousal,eeg_entropy_complexity,0,stimulus_plus_fewshot_bias,2,32,2.489583333333333,2.9005507139928524,0.6304858057954145,0.6362665848053127,0.3479547900968784,2.3048861143232218,1.5447252879647493
arousal,eeg_entropy_complexity,0,stimulus_plus_fewshot_bias,3,32,2.447916666666667,2.7782638463616087,0.5673762146700769,0.5428498370956654,0.2851802725189919,1.5194057226429023,1.7860558949042502
arousal,eeg_entropy_complexity,0,stimulus_plus_fewshot_bias,5,32,1.3645833333333335,1.673942452216722,0.6565598004473754,0.7032967328112067,0.6086561192944171,2.0832291640623697,1.5931371370663607
arousal,eeg_entropy_complexity,0,stimulus_plus_fewshot_bias_plus_physio,1,32,2.0048607017462263,2.358210975962481,0.39762557108048674,0.42610833231985323,0.35596758641851173,2.4348944407304396,1.5873898590572484
arousal,eeg_entropy_complexity,0,stimulus_plus_fewshot_bias_plus_physio,2,32,2.533338753190405,2.9378460264260498,0.6456161086122598,0.6449993626318348,0.35083690791670297,2.3048861143232218,1.5673128364717397
arousal,eeg_entropy_complexity,0,stimulus_plus_fewshot_bias_plus_physio,3,32,2.388891735031548,2.7268244131885093,0.5324645901673222,0.4923522600833356,0.2904666127291908,1.5194057226429023,1.8812358489461287
arousal,eeg_entropy_complexity,0,stimulus_plus_fewshot_bias_plus_physio,5,32,1.3612242508900945,1.6500178306998372,0.6562270454563146,0.72206217703382,0.6159311989922406,2.0832291640623697,1.5969057348480136
arousal,eeg_entropy_complexity,0,stimulus_plus_fewshot_bias_shrink4,1,32,2.09375,2.4544460791705234,0.3649736314356434,0.38795030623262916,0.3312777028329158,2.4348944407304396,1.6791201399674904
arousal,eeg_entropy_complexity,0,stimulus_plus_fewshot_bias_shrink4,2,32,2.489583333333333,2.9005507139928524,0.6304858057954145,0.6362665848053127,0.3479547900968784,2.3048861143232218,1.5447252879647493
arousal,eeg_entropy_complexity,0,stimulus_plus_fewshot_bias_shrink4,3,32,2.447916666666667,2.7782638463616087,0.5673762146700769,0.5428498370956654,0.2851802725189919,1.5194057226429023,1.7860558949042502
