target,block,k_calibration,model,subjects,rmse_wins_vs_fewshot,rmse_losses_vs_fewshot,rmse_ties_vs_fewshot,rmse_win_margin_vs_fewshot,mean_delta_rmse_model_minus_fewshot,median_delta_rmse_model_minus_fewshot,worst_regression_delta_rmse,best_gain_delta_rmse
arousal,eeg_entropy_complexity,0,stimulus_only,4,0,0,4,0,0.0,0.0,0.0,0.0
arousal,eeg_entropy_complexity,0,stimulus_plus_fewshot_bias,4,0,0,4,0,0.0,0.0,0.0,0.0
arousal,eeg_entropy_complexity,0,stimulus_plus_fewshot_bias_plus_physio,4,3,1,0,2,-0.033575961366207274,-0.03768202734499215,0.03729531243319739,-0.09623510320804218
arousal,eeg_entropy_complexity,0,stimulus_plus_fewshot_bias_shrink4_plus_physio,4,3,1,0,2,-0.033575961366207274,-0.03768202734499215,0.03729531243319739,-0.09623510320804218
arousal,eeg_entropy_complexity,0,stimulus_plus_physio,4,3,1,0,2,-0.033575961366207274,-0.03768202734499215,0.03729531243319739,-0.09623510320804218
arousal,eeg_entropy_complexity,4,stimulus_only,4,1,3,0,-2,0.37115224298929034,0.37191774093901653,0.8134023545349147,-0.07262886445578642
arousal,eeg_entropy_complexity,4,stimulus_plus_fewshot_bias,4,2,2,0,0,0.01535236631592779,0.02829831674942196,0.18674491011776384,-0.1819320783528966
arousal,eeg_entropy_complexity,4,stimulus_plus_fewshot_bias_plus_physio,4,2,2,0,0,0.025798600588272602,0.025752781892299126,0.1832586452801952,-0.13156980671170304
arousal,eeg_entropy_complexity,4,stimulus_plus_fewshot_bias_shrink4_plus_physio,4,1,3,0,-2,-0.013452362963611963,0.006347988195101184,0.01752512755687885,-0.08403055580152907
arousal,eeg_entropy_complexity,4,stimulus_plus_physio,4,2,2,0,0,0.33801213113815975,0.377601463039118,0.7598412878959575,-0.1629956894215545
arousal,eeg_entropy_complexity,16,stimulus_only,4,1,3,0,-2,0.5372145528781366,0.5285973193899718,1.1077769201655259,-0.016113347432923142
arousal,eeg_entropy_complexity,16,stimulus_plus_fewshot_bias,4,2,2,0,0,-0.014946015876085572,-0.0125356923037796,0.017934235867502313,-0.0526469147642854
arousal,eeg_entropy_complexity,16,stimulus_plus_fewshot_bias_plus_physio,4,2,2,0,0,-0.01001233145008451,-0.024255621723164977,0.07156857257966132,-0.0631066549336694
arousal,eeg_entropy_complexity,16,stimulus_plus_fewshot_bias_shrink4_plus_physio,4,3,1,0,2,-0.003001720790238027,-0.005490735107655187,0.08315318266249538,-0.08417859560813712
arousal,eeg_entropy_complexity,16,stimulus_plus_physio,4,1,3,0,-2,0.5059754215950762,0.5360582821731217,1.0629046847664236,-0.11111956273236201
arousal,emg_existing_22,0,stimulus_only,4,0,0,4,0,0.0,0.0,0.0,0.0
arousal,emg_existing_22,0,stimulus_plus_fewshot_bias,4,0,0,4,0,0.0,0.0,0.0,0.0
arousal,emg_existing_22,0,stimulus_plus_fewshot_bias_plus_physio,4,2,2,0,0,0.01636997380944305,-0.004063021412423096,0.09397837461252356,-0.02037243654990517
arousal,emg_existing_22,0,stimulus_plus_fewshot_bias_shrink4_plus_physio,4,2,2,0,0,0.01636997380944305,-0.004063021412423096,0.09397837461252356,-0.02037243654990517
arousal,emg_existing_22,0,stimulus_plus_physio,4,2,2,0,0,0.01636997380944305,-0.004063021412423096,0.09397837461252356,-0.02037243654990517
arousal,emg_existing_22,4,stimulus_only,4,1,3,0,-2,0.3807205659480202,0.362538136815985,0.841426128394628,-0.04362013823451738
arousal,emg_existing_22,4,stimulus_plus_fewshot_bias,4,2,2,0,0,0.02169769716565989,0.04852477371704811,0.23167809946605278,-0.24193685823750943
arousal,emg_existing_22,4,stimulus_plus_fewshot_bias_plus_physio,4,2,2,0,0,0.0484093828324218,0.09921330788661098,0.22908827541228405,-0.2338773598558188
arousal,emg_existing_22,4,stimulus_plus_fewshot_bias_shrink4_plus_physio,4,2,2,0,0,0.020400424782254012,-0.0033226335272334984,0.09855525881064309,-0.010308292627160043
arousal,emg_existing_22,4,stimulus_plus_physio,4,1,3,0,-2,0.39455807568562995,0.3943476838418585,0.842816486496643,-0.053279551437840134
arousal,emg_existing_22,16,stimulus_only,4,1,3,0,-2,0.5242079552274792,0.5032191413642993,1.1235245784710963,-0.0331310402897782
arousal,emg_existing_22,16,stimulus_plus_fewshot_bias,4,2,2,0,0,-0.010090408137642726,0.0005329599466525892,0.029127735261512466,-0.07055528770538855
arousal,emg_existing_22,16,stimulus_plus_fewshot_bias_plus_physio,4,1,3,0,-2,0.029644946239286374,0.0145971049312279,0.1589732324527935,-0.0695876573581038
arousal,emg_existing_22,16,stimulus_plus_fewshot_bias_shrink4_plus_physio,4,1,3,0,-2,0.03716909263825763,0.004369395655980046,0.1464235827220075,-0.006486003480937086
arousal,emg_existing_22,16,stimulus_plus_physio,4,1,3,0,-2,0.551585958360868,0.5609176809551853,1.1264902167979394,-0.04198174526483811
arousal,emg_lagged_interaction_experimental,0,stimulus_only,4,0,0,4,0,0.0,0.0,0.0,0.0
arousal,emg_lagged_interaction_experimental,0,stimulus_plus_fewshot_bias,4,0,0,4,0,0.0,0.0,0.0,0.0
arousal,emg_lagged_interaction_experimental,0,stimulus_plus_fewshot_bias_plus_physio,4,3,1,0,2,-0.07499473530917261,-0.002097107173509971,0.000856021046096167,-0.29664074793576667
arousal,emg_lagged_interaction_experimental,0,stimulus_plus_fewshot_bias_shrink4_plus_physio,4,3,1,0,2,-0.07499473530917261,-0.002097107173509971,0.000856021046096167,-0.29664074793576667
arousal,emg_lagged_interaction_experimental,0,stimulus_plus_physio,4,3,1,0,2,-0.07499473530917261,-0.002097107173509971,0.000856021046096167,-0.29664074793576667
arousal,emg_lagged_interaction_experimental,4,stimulus_only,4,2,2,0,0,0.3515439823213253,0.34581861404407077,0.744276395565918,-0.029737694368758394
arousal,emg_lagged_interaction_experimental,4,stimulus_plus_fewshot_bias,4,2,2,0,0,-0.03628289525253092,-0.012035910266054217,0.19957102420034367,-0.3206307846783589
arousal,emg_lagged_interaction_experimental,4,stimulus_plus_fewshot_bias_plus_physio,4,2,2,0,0,-0.033270887033397534,-0.009042292021681053,0.20003385664764073,-0.31503282073786876
arousal,emg_lagged_interaction_experimental,4,stimulus_plus_fewshot_bias_shrink4_plus_physio,4,2,2,0,0,-0.05041395446356067,-0.0006384263320911021,0.001720495040485881,-0.20209946023054637
arousal,emg_lagged_interaction_experimental,4,stimulus_plus_physio,4,2,2,0,0,0.274768341927158,0.2157821353302357,0.6966063656249677,-0.029097268576807167
arousal,emg_lagged_interaction_experimental,16,stimulus_only,4,1,3,0,-2,0.5155460570128797,0.5242092593408375,1.080104739018413,-0.06633902964856953
arousal,emg_lagged_interaction_experimental,16,stimulus_plus_fewshot_bias,4,2,2,0,0,-0.007513034505633953,-0.01617357532281405,0.03933597063308758,-0.037040958009995295
arousal,emg_lagged_interaction_experimental,16,stimulus_plus_fewshot_bias_plus_physio,4,1,3,0,-2,0.01096372605501239,0.020179317707065603,0.03999387073638161,-0.03649760193046325
arousal,emg_lagged_interaction_experimental,16,stimulus_plus_fewshot_bias_shrink4_plus_physio,4,2,2,0,0,-0.008719618575106336,-0.00010422706137602766,0.004287647048693,-0.03895766722636629
arousal,emg_lagged_interaction_experimental,16,stimulus_plus_physio,4,1,3,0,-2,0.4401573285894405,0.41429330045185053,0.9975321366755734,-0.06548942322151241
valence,eeg_entropy_complexity,0,stimulus_only,4,0,0,4,0,0.0,0.0,0.0,0.0
valence,eeg_entropy_complexity,0,stimulus_plus_fewshot_bias,4,0,0,4,0,0.0,0.0,0.0,0.0
