target,feature_block,model,k_calibration,candidate_rmse,locked_B2_k16_rmse,pooled_delta_rmse_candidate_minus_locked_B2,pooled_lift_vs_locked_B2_rmse,subjects_with_pair,mean_delta_rmse_candidate_minus_locked_B2,median_delta_rmse_candidate_minus_locked_B2,ci95_low_mean_delta_candidate_minus_locked_B2,ci95_high_mean_delta_candidate_minus_locked_B2,wins_vs_locked_B2,losses_vs_locked_B2,ties_vs_locked_B2,win_margin_vs_locked_B2,subject_evidence_status,passes_sample_reduction_gate,reason
arousal,eeg_entropy_complexity,physio_residual_ridge1000,4,1.9407191366008123,1.6576672767528169,0.2830518598479954,-0.2830518598479954,63,0.2658822382971613,0.16453091621099536,0.18543816908215924,0.35904185147997714,9,54,0,-45,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,eeg_entropy_complexity,physio_residual_ridge1000,8,1.9444963709328384,1.6576672767528169,0.28682909418002156,-0.28682909418002156,63,0.26903200338351174,0.16768299429644618,0.1888884126794013,0.3625764314381277,8,55,0,-47,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,eeg_entropy_complexity,physio_residual_ridge1000,16,1.945350101034201,1.6576672767528169,0.28768282428138403,-0.28768282428138403,63,0.2704132004543665,0.16340256492149408,0.1896261244623043,0.3652260238770386,10,53,0,-43,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,emg_lagged_interaction_experimental,physio_residual_ridge1000,16,1.948178619492984,1.6576672767528169,0.2905113427401671,-0.2905113427401671,63,0.27564853719103305,0.15243779498354426,0.19261950729749427,0.368864108386798,8,55,0,-47,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,emg_lagged_interaction_experimental,physio_residual_ridge1000,8,1.9490477633411607,1.6576672767528169,0.2913804865883438,-0.2913804865883438,63,0.2760719828929313,0.1327867000744103,0.19122246724319228,0.37222830028104903,9,54,0,-45,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,emg_lagged_interaction_experimental,physio_residual_ridge1000,4,1.949913608330183,1.6576672767528169,0.292246331577366,-0.292246331577366,63,0.27657487712346973,0.1369075396475179,0.1934874462604388,0.3708520397926774,7,56,0,-49,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,emg_lagged_interaction_experimental,physio_residual_ridge100,16,1.9510109496143968,1.6576672767528169,0.2933436728615799,-0.2933436728615799,63,0.2787543495804101,0.1589268892185134,0.19432327174491576,0.37296966558812406,8,55,0,-47,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,emg_lagged_interaction_experimental,physio_context_ridge100,16,1.951683882439261,1.6576672767528169,0.29401660568644417,-0.29401660568644417,63,0.28045791727258657,0.16048398784813211,0.19943119259551037,0.37419407837500396,7,56,0,-49,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,emg_lagged_interaction_experimental,physio_residual_ridge100,8,1.9517139260119631,1.6576672767528169,0.29404664925914625,-0.29404664925914625,63,0.27905073624577176,0.1355227417772269,0.19441403597734616,0.37240447036796664,9,54,0,-45,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,emg_lagged_interaction_experimental,physio_context_ridge100,8,1.9522162743683715,1.6576672767528169,0.29454899761555464,-0.29454899761555464,63,0.2806166899574103,0.1586727001997057,0.19857777585840317,0.3735704537020396,8,55,0,-47,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,emg_lagged_interaction_experimental,physio_residual_ridge100,4,1.952678600623268,1.6576672767528169,0.29501132387045104,-0.29501132387045104,63,0.2796540602000747,0.13246814612608748,0.19872218376101475,0.3737474551624939,8,55,0,-47,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,emg_lagged_interaction_experimental,physio_context_ridge100,4,1.9531221160875476,1.6576672767528169,0.2954548393347307,-0.2954548393347307,63,0.2812023280338473,0.1602208866983157,0.20013964577323695,0.37133026751250875,6,57,0,-51,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,emg_lagged_interaction_experimental,physio_similarity_knn64,8,1.9538202003233416,1.6576672767528169,0.2961529235705247,-0.2961529235705247,63,0.2828312976599888,0.1784756066857165,0.19933681916147084,0.3777779169080756,9,54,0,-45,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,emg_lagged_interaction_experimental,physio_similarity_knn64,16,1.9540228000040305,1.6576672767528169,0.2963555232512136,-0.2963555232512136,63,0.28331992154447955,0.17362932335789338,0.19953008170840805,0.3774767637125567,10,53,0,-43,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,emg_lagged_interaction_experimental,physio_similarity_knn64,4,1.9546470846021864,1.6576672767528169,0.2969798078493695,-0.2969798078493695,63,0.2833170120010657,0.16847712363961853,0.19905741580337402,0.3766214713811424,9,54,0,-45,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,eeg_bandpower,physio_residual_ridge1000,16,1.954831556275796,1.6576672767528169,0.2971642795229792,-0.2971642795229792,63,0.2821050686738434,0.17394076236480993,0.20076536672533896,0.37700068431045936,9,54,0,-45,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,eeg_bandpower,physio_residual_ridge1000,4,1.96043575033572,1.6576672767528169,0.30276847358290304,-0.30276847358290304,63,0.28667707687152816,0.19843996813034792,0.20553608888270058,0.383777577839588,8,55,0,-47,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,eeg_bandpower,physio_similarity_knn64,16,1.9605708185336068,1.6576672767528169,0.30290354178078993,-0.30290354178078993,63,0.2880166092006533,0.18022643668834348,0.20838127963132141,0.3787267474608982,9,54,0,-45,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,eeg_bandpower,physio_residual_ridge1000,8,1.9625468670588408,1.6576672767528169,0.30487959030602396,-0.30487959030602396,63,0.2878496819791137,0.2005375604345725,0.20585853505650878,0.3834589406825909,7,56,0,-49,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
