target,block,k_calibration,model,subjects,rmse_wins_vs_locked,rmse_losses_vs_locked,rmse_ties_vs_locked,rmse_win_margin_vs_locked,mean_delta_rmse_model_minus_locked,median_delta_rmse_model_minus_locked,worst_regression_delta_rmse,best_gain_delta_rmse
arousal,eeg_bandpower,4,physio_context_ridge100,63,14,49,0,-35,0.23967713877409508,0.12828375405829684,2.087051021000546,-0.40558711173878415
arousal,eeg_bandpower,4,physio_context_ridge1000,63,14,49,0,-35,0.2189463691143973,0.21275440092072984,0.9867344882909173,-0.3566042256706825
arousal,eeg_bandpower,4,physio_residual_ridge100,63,14,49,0,-35,0.23617896801949917,0.1178738616741366,2.067701328868716,-0.36802679386564296
arousal,eeg_bandpower,4,physio_residual_ridge1000,63,17,46,0,-29,0.14126193016686667,0.06353318155639842,1.0967046167075387,-0.1485970575288713
arousal,eeg_bandpower,4,physio_similarity_knn64,63,14,49,0,-35,0.147004678268456,0.1034060708445339,1.0424878064142566,-0.10587842095600353
arousal,eeg_bandpower,8,physio_context_ridge100,63,9,54,0,-45,0.3135377295168902,0.18890097242270842,2.1053201748524373,-0.26502530912995836
arousal,eeg_bandpower,8,physio_context_ridge1000,63,10,53,0,-43,0.293313711406632,0.23765262787328134,1.427289374192478,-0.2170677213786507
arousal,eeg_bandpower,8,physio_residual_ridge100,63,8,55,0,-47,0.30982737684124384,0.1837437924329024,2.085871759586686,-0.2254572716283718
arousal,eeg_bandpower,8,physio_residual_ridge1000,63,11,52,0,-41,0.2144852925430122,0.14938617988488678,1.542408682077903,-0.1401832988797962
arousal,eeg_bandpower,8,physio_similarity_knn64,63,11,52,0,-41,0.2189012968688099,0.15685691701437543,1.4856553713643952,-0.10891082014318054
arousal,eeg_bandpower,16,physio_context_ridge100,63,5,58,0,-53,0.39073547949895787,0.2373344475333523,2.2661221486720335,-0.10829824607931604
arousal,eeg_bandpower,16,physio_context_ridge1000,63,7,56,0,-49,0.37241625749039264,0.2959144549834034,1.889984019624643,-0.15017995830517505
arousal,eeg_bandpower,16,physio_residual_ridge100,63,6,57,0,-51,0.38658705319137604,0.21697720181327496,2.2720693576135527,-0.11933891600440227
arousal,eeg_bandpower,16,physio_residual_ridge1000,63,7,56,0,-49,0.29038209391801384,0.19486947328432014,1.9827933763741634,-0.12577673075489937
arousal,eeg_bandpower,16,physio_similarity_knn64,63,8,55,0,-47,0.29629363444482376,0.18985319628306363,1.920907377231162,-0.10280215813821258
arousal,eeg_entropy_complexity,4,physio_context_ridge100,63,13,50,0,-37,0.21176035203968255,0.10525572824311569,1.566201283328439,-0.3395118318950743
arousal,eeg_entropy_complexity,4,physio_context_ridge1000,63,15,48,0,-33,0.201611282557717,0.210098068040943,0.8387750571261936,-0.33032791057866184
arousal,eeg_entropy_complexity,4,physio_residual_ridge100,63,14,49,0,-35,0.20817312085551343,0.09530380372976777,1.5146248688014412,-0.3042058984935938
arousal,eeg_entropy_complexity,4,physio_residual_ridge1000,63,15,48,0,-33,0.12497631305726772,0.05362568893824782,0.9838369040179971,-0.14500416091471435
arousal,eeg_entropy_complexity,4,physio_similarity_knn64,63,10,53,0,-43,0.1577756668334238,0.11911542577975176,1.024754852110748,-0.1175429925213003
arousal,eeg_entropy_complexity,8,physio_context_ridge100,63,11,52,0,-41,0.27954899199465405,0.1783430756315405,1.6231483718609434,-0.12947877111968387
arousal,eeg_entropy_complexity,8,physio_context_ridge1000,63,15,48,0,-33,0.2683911487727461,0.22747932056797548,1.247403519486864,-0.15386672198632878
arousal,eeg_entropy_complexity,8,physio_residual_ridge100,63,13,50,0,-37,0.27603138732933613,0.16056710141658437,1.6435821466967129,-0.12515677309496454
arousal,eeg_entropy_complexity,8,physio_residual_ridge1000,63,11,52,0,-41,0.1928635877658172,0.10950451964016894,1.398787693585036,-0.10323604176828893
arousal,eeg_entropy_complexity,8,physio_similarity_knn64,63,7,56,0,-49,0.22470173055895074,0.16373847930280228,1.43671888980912,-0.10030813180098974
arousal,eeg_entropy_complexity,16,physio_context_ridge100,63,7,56,0,-49,0.35756744958719894,0.21289781151764253,2.120628983579401,-0.08261253269212943
arousal,eeg_entropy_complexity,16,physio_context_ridge1000,63,9,54,0,-45,0.3454121649028473,0.2760517481112461,1.7281467289596386,-0.10375190614947849
arousal,eeg_entropy_complexity,16,physio_residual_ridge100,63,8,55,0,-47,0.3538795216684033,0.20163426755984015,2.1439138700588547,-0.08579278140231583
