target,block,k_calibration,model,label_policy,binary_n,accuracy,balanced_accuracy,macro_f1,n_low,n_high
valence,emg_existing_22,4,locked_kernel_residual_shrink4,midpoint_as_low,2240,0.884375,0.8905736019736843,0.88437313341514,1216,1024
valence,emg_existing_22,4,locked_kernel_residual_shrink4,midpoint_as_high,2240,0.9290178571428571,0.930197994210091,0.9283578486837143,992,1248
valence,emg_existing_22,4,locked_kernel_residual_shrink4,discard_midpoint,2016,0.9518849206349206,0.9517074092741935,0.9518516430227946,992,1024
valence,emg_existing_22,4,physio_residual_ridge100,midpoint_as_low,2240,0.8870535714285714,0.8929636101973684,0.887047065649309,1216,1024
valence,emg_existing_22,4,physio_residual_ridge100,midpoint_as_high,2240,0.9308035714285714,0.9324209057071959,0.9302075621473316,992,1248
valence,emg_existing_22,4,physio_residual_ridge100,discard_midpoint,2016,0.9543650793650794,0.9542433215725806,0.9543413077835821,992,1024
valence,emg_existing_22,4,physio_context_ridge100,midpoint_as_low,2240,0.8834821428571429,0.8890573601973684,0.8834676274049602,1216,1024
valence,emg_existing_22,4,physio_context_ridge100,midpoint_as_high,2240,0.9272321428571428,0.9292157775020677,0.9266532596732141,992,1248
valence,emg_existing_22,4,physio_context_ridge100,discard_midpoint,2016,0.9503968253968254,0.9503370715725806,0.9503791954931707,992,1024
valence,emg_existing_22,4,physio_residual_ridge1000,midpoint_as_low,2240,0.8870535714285714,0.8929636101973684,0.887047065649309,1216,1024
valence,emg_existing_22,4,physio_residual_ridge1000,midpoint_as_high,2240,0.9308035714285714,0.9324209057071959,0.9302075621473316,992,1248
valence,emg_existing_22,4,physio_residual_ridge1000,discard_midpoint,2016,0.9543650793650794,0.9542433215725806,0.9543413077835821,992,1024
valence,emg_existing_22,4,physio_context_ridge1000,midpoint_as_low,2240,0.8464285714285714,0.8480674342105263,0.8459865685960986,1216,1024
valence,emg_existing_22,4,physio_context_ridge1000,midpoint_as_high,2240,0.8848214285714285,0.8911548800661704,0.8845726118802009,992,1248
valence,emg_existing_22,4,physio_context_ridge1000,discard_midpoint,2016,0.90625,0.9068800403225806,0.9061899644356795,992,1024
valence,emg_existing_22,4,physio_similarity_knn64,midpoint_as_low,2240,0.8834821428571429,0.8890573601973684,0.8834676274049602,1216,1024
valence,emg_existing_22,4,physio_similarity_knn64,midpoint_as_high,2240,0.9272321428571428,0.9292157775020677,0.9266532596732141,992,1248
valence,emg_existing_22,4,physio_similarity_knn64,discard_midpoint,2016,0.9503968253968254,0.9503370715725806,0.9503791954931707,992,1024
valence,emg_existing_22,16,locked_kernel_residual_shrink4,midpoint_as_low,1280,0.87265625,0.8779538197003194,0.8726561722754957,690,590
valence,emg_existing_22,16,locked_kernel_residual_shrink4,midpoint_as_high,1280,0.92109375,0.9221296882418104,0.920382273477776,568,712
valence,emg_existing_22,16,locked_kernel_residual_shrink4,discard_midpoint,1158,0.9386873920552677,0.9385503700167104,0.9386489150622741,568,590
valence,emg_existing_22,16,physio_residual_ridge100,midpoint_as_low,1280,0.87578125,0.880852370424957,0.8757793545433737,690,590
valence,emg_existing_22,16,physio_residual_ridge100,midpoint_as_high,1280,0.92109375,0.9224857572400696,0.9204289255135221,568,712
valence,emg_existing_22,16,physio_residual_ridge100,discard_midpoint,1158,0.9404145077720207,0.9403109333969921,0.9403820971695263,568,590
valence,emg_existing_22,16,physio_context_ridge100,midpoint_as_low,1280,0.87109375,0.8757676246622452,0.8710842292430044,690,590
valence,emg_existing_22,16,physio_context_ridge100,midpoint_as_high,1280,0.91640625,0.9182722740940022,0.9157728499045865,568,712
valence,emg_existing_22,16,physio_context_ridge100,discard_midpoint,1158,0.9352331606217616,0.9352261876342802,0.9352118538809107,568,590
valence,emg_existing_22,16,physio_residual_ridge1000,midpoint_as_low,1280,0.87578125,0.880852370424957,0.8757793545433737,690,590
valence,emg_existing_22,16,physio_residual_ridge1000,midpoint_as_high,1280,0.92109375,0.9224857572400696,0.9204289255135221,568,712
