metric,subjects,mean_improvement_stimulus_minus_model,median_improvement_stimulus_minus_model,ci95_low_mean_improvement,ci95_high_mean_improvement,signflip_p_one_sided_mean_gt_zero,wins,losses,ties,win_margin,sign_test_p_one_sided_wins_gt_losses,passes_confirmatory_metric,pooled_rmse,pooled_dev_rmse,pooled_lift_vs_stimulus_rmse,pooled_lift_vs_stimulus_dev_rmse,pooled_dev_pearson,target,model
rmse,63,-0.016094505994347676,-0.007837403681314026,-0.06753714860942453,0.0356067412621056,0.7295635218239088,28,35,0,-7,0.8432484733517734,False,1.961104332506737,1.96244355736588,-0.0168993503901409,-0.0182385752492835,0.1254663304717308,arousal,physio_eeg_bandpower_ridge
dev_rmse,63,-0.017777163510683994,-0.007837403681314026,-0.0673417237446881,0.03322153172264699,0.7426128693565321,28,35,0,-7,0.8432484733517734,False,1.961104332506737,1.96244355736588,-0.0168993503901409,-0.0182385752492835,0.1254663304717308,arousal,physio_eeg_bandpower_ridge
rmse,63,-0.051483723226773144,-0.03244537764707034,-0.09794039205182874,-0.007943922017024596,0.9856007199640018,24,39,0,-15,0.9785217272378054,False,1.999370085359769,2.0030284901775666,-0.0551651032431725,-0.0588235080609704,0.0667696785930571,arousal,physio_eeg_cov_riemannian_ridge
dev_rmse,63,-0.05549657431711317,-0.03302095405967265,-0.10087927778011672,-0.011722948709934209,0.9914504274786261,23,40,0,-17,0.9887125136633713,False,1.999370085359769,2.0030284901775666,-0.0551651032431725,-0.0588235080609704,0.0667696785930571,arousal,physio_eeg_cov_riemannian_ridge
rmse,63,-0.024870497878654932,-0.022158671380434036,-0.049984624195468744,-0.0009444056061505044,0.9725513724313785,24,39,0,-15,0.9785217272378054,False,1.9658826070834112,1.9663756309576648,-0.0216776249668151,-0.0221706488410686,0.0651701548401878,arousal,physio_eeg_directed_connectivity_experimental_ridge
dev_rmse,63,-0.02538598855214518,-0.022158671380434036,-0.050842563304271574,-0.0011017862357351124,0.975851207439628,23,40,0,-17,0.9887125136633713,False,1.9658826070834112,1.9663756309576648,-0.0216776249668151,-0.0221706488410686,0.0651701548401878,arousal,physio_eeg_directed_connectivity_experimental_ridge
rmse,63,0.001379921470218159,-0.004714771547679408,-0.04706858072562953,0.050633283153692456,0.4862256887155642,31,32,0,-1,0.5993467537479668,False,1.946367855861422,1.9485175118232667,-0.002162873744826,-0.0043125297066706,0.1317467268746114,arousal,physio_eeg_entropy_complexity_ridge
dev_rmse,63,-0.001438632633530057,-0.004714771547679186,-0.048616643687391665,0.04715367725328357,0.5271236438178091,31,32,0,-1,0.5993467537479668,False,1.946367855861422,1.9485175118232667,-0.002162873744826,-0.0043125297066706,0.1317467268746114,arousal,physio_eeg_entropy_complexity_ridge
rmse,63,-0.007076770446826722,0.0014283881225820583,-0.02096892618985384,0.006083692785603622,0.8334083295835208,32,31,0,1,0.5,False,1.9524919414034765,3.038803962799144,-0.0082869592868801,-1.094598980682548,0.0498133566691429,arousal,physio_emg_bsl_stats_22_ridge
dev_rmse,63,-0.26568954832322605,-0.0011216796999784506,-0.7864764278304563,0.00012525765065486618,0.9573521323933804,31,32,0,-1,0.5993467537479668,False,1.9524919414034765,3.038803962799144,-0.0082869592868801,-1.094598980682548,0.0498133566691429,arousal,physio_emg_bsl_stats_22_ridge
rmse,63,-0.017415891508904657,-0.004148639586799563,-0.03179658270276845,-0.004616241440489023,0.9942502874856257,26,37,0,-11,0.9350410384887237,False,1.9618606315947305,3.393353589992773,-0.0176556494781341,-1.449148607876177,0.0221471273619853,arousal,physio_emg_existing_22_ridge
dev_rmse,63,-0.346622273713961,-0.004148639586799563,-1.0140490279817318,-0.00702776801375856,0.9944002799860007,26,37,0,-11,0.9350410384887237,False,1.9618606315947305,3.393353589992773,-0.0176556494781341,-1.449148607876177,0.0221471273619853,arousal,physio_emg_existing_22_ridge
rmse,63,-0.09948109629707785,-0.04808071590534979,-0.1753814584825781,-0.04293828793749857,1.0,19,44,0,-25,0.9995509764106659,False,2.0469107383556744,485887.2715143047,-0.1027057562390783,-485885.32730932254,0.014011982496978,arousal,physio_emg_expanded_812_ridge
dev_rmse,63,-61234.96649196206,-0.04808071590534979,-183685.8872482148,-0.05565108408496691,1.0,19,44,0,-25,0.9995509764106659,False,2.0469107383556744,485887.2715143047,-0.1027057562390783,-485885.32730932254,0.014011982496978,arousal,physio_emg_expanded_812_ridge
rmse,63,-0.010011582301851372,-0.0028397036446881074,-0.02380655067708261,0.0018540047404157203,0.9310034498275086,28,35,0,-7,0.8432484733517734,False,1.9540013901575088,1.9540013901575088,-0.0097964080409127,-0.0097964080409127,-0.0440718277369348,arousal,physio_emg_lagged_interaction_experimental_ridge
dev_rmse,63,-0.010011582301851368,-0.0028397036446881074,-0.023891788802595005,0.0018861029894145756,0.9251537423128844,28,35,0,-7,0.8432484733517734,False,1.9540013901575088,1.9540013901575088,-0.0097964080409127,-0.0097964080409127,-0.0440718277369348,arousal,physio_emg_lagged_interaction_experimental_ridge
rmse,63,-0.03396026916481246,-0.017701080557787296,-0.05556590035297927,-0.01575748968390478,0.99970001499925,23,40,0,-17,0.9887125136633713,False,1.2913515947270813,1.291436442406064,-0.0335779000532232,-0.033662747732206,-0.0348173763744119,valence,physio_eeg_bandpower_ridge
dev_rmse,63,-0.03402631515878012,-0.017701080557787296,-0.056321450263269346,-0.015713220613913084,0.999950002499875,23,40,0,-17,0.9887125136633713,False,1.2913515947270813,1.291436442406064,-0.0335779000532232,-0.033662747732206,-0.0348173763744119,valence,physio_eeg_bandpower_ridge
rmse,63,-0.04966155152447614,-0.02181581064713467,-0.09934789892653027,-0.013484264251114802,0.9974501274936253,19,44,0,-25,0.9995509764106659,False,1.3174330779301284,1.3226408131355183,-0.0596593832562704,-0.0648671184616602,-0.0222117484581996,valence,physio_eeg_cov_riemannian_ridge
dev_rmse,63,-0.05248599587627713,-0.02181581064713467,-0.1077721641417672,-0.013499158542062035,0.9979001049947502,19,44,0,-25,0.9995509764106659,False,1.3174330779301284,1.3226408131355183,-0.0596593832562704,-0.0648671184616602,-0.0222117484581996,valence,physio_eeg_cov_riemannian_ridge
rmse,63,-0.02349831220219121,-0.013432729316003256,-0.04316732959063342,-0.007807466033348031,0.99930003499825,23,40,0,-17,0.9887125136633713,False,1.2820152968304432,1.282021363726977,-0.0242416021565852,-0.024247669053119,-0.0426129533007703,valence,physio_eeg_directed_connectivity_experimental_ridge
dev_rmse,63,-0.023503347935115545,-0.013432729316003256,-0.04375868775495726,-0.007624625979344118,0.99950002499875,23,40,0,-17,0.9887125136633713,False,1.2820152968304432,1.282021363726977,-0.0242416021565852,-0.024247669053119,-0.0426129533007703,valence,physio_eeg_directed_connectivity_experimental_ridge
rmse,63,-0.021402542004336025,-0.003351468102489541,-0.03755991999823281,-0.006467490906306765,0.9968001599920004,24,39,0,-15,0.9785217272378054,False,1.278739365966272,1.2787530351121683,-0.020965671292414,-0.0209793404383105,-0.0096486515318048,valence,physio_eeg_entropy_complexity_ridge
dev_rmse,63,-0.02141429488374846,-0.003351468102489541,-0.03738387081481713,-0.0066334630474629095,0.9960501974901255,24,39,0,-15,0.9785217272378054,False,1.278739365966272,1.2787530351121683,-0.020965671292414,-0.0209793404383105,-0.0096486515318048,valence,physio_eeg_entropy_complexity_ridge
rmse,63,-0.004678498982003225,-0.0015541118837447687,-0.011415963968485038,0.0004932208086877187,0.9410529473526323,25,38,0,-13,0.9615370831951954,False,1.263147610785086,1.8399759271312892,-0.005373916111228,-0.5822022324574314,-0.02151107247212,valence,physio_emg_bsl_stats_22_ridge
