target,model,label_policy,binary_n,accuracy,balanced_accuracy,macro_f1,auroc,n_low,n_high
arousal,physio_eeg_entropy_complexity_ridge,midpoint_as_low,128,0.53125,0.5612578616352201,0.5283714075165806,0.5450314465408805,75,53
arousal,physio_eeg_entropy_complexity_ridge,midpoint_as_high,128,0.5546875,0.5496089931573802,0.5398297067171239,0.5621945259042033,62,66
arousal,physio_eeg_entropy_complexity_ridge,discard_midpoint,115,0.5478260869565217,0.561472915398661,0.54,0.5597991479001826,62,53
arousal,physio_emg_existing_22_ridge,midpoint_as_low,128,0.5625,0.5713207547169812,0.5615365793980915,0.6133333333333333,75,53
arousal,physio_emg_existing_22_ridge,midpoint_as_high,128,0.5859375,0.5847996089931573,0.5846954392408938,0.6402737047898338,62,66
arousal,physio_emg_existing_22_ridge,discard_midpoint,115,0.5826086956521739,0.5855143031040779,0.5825771324863884,0.6393791844187462,62,53
arousal,physio_emg_lagged_interaction_experimental_ridge,midpoint_as_low,128,0.578125,0.5846540880503144,0.5764705882352941,0.6031446540880503,75,53
arousal,physio_emg_lagged_interaction_experimental_ridge,midpoint_as_high,128,0.6015625,0.6009286412512219,0.6009536035209976,0.6286656891495601,62,66
arousal,physio_emg_lagged_interaction_experimental_ridge,discard_midpoint,115,0.6,0.6016433353621424,0.599727602905569,0.6307060255629945,62,53
arousal,stimulus_only,midpoint_as_low,128,0.6015625,0.5935849056603774,0.5925856581164576,0.6144654088050314,75,53
arousal,stimulus_only,midpoint_as_high,128,0.6015625,0.6014173998044966,0.6013435114503817,0.6423509286412512,62,66
arousal,stimulus_only,discard_midpoint,115,0.6260869565217392,0.6203590992087644,0.6204620462046204,0.6445526475958613,62,53
valence,physio_eeg_entropy_complexity_ridge,midpoint_as_low,128,0.828125,0.8284276729559749,0.8246575342465754,0.9169811320754717,75,53
valence,physio_eeg_entropy_complexity_ridge,midpoint_as_high,128,0.875,0.8783949106924394,0.8748778103616813,0.943724002936139,61,67
valence,physio_eeg_entropy_complexity_ridge,discard_midpoint,114,0.8947368421052632,0.8905041756882153,0.893125,0.9622641509433962,61,53
valence,physio_emg_existing_22_ridge,midpoint_as_low,128,0.828125,0.8367295597484277,0.8266009852216749,0.9089308176100629,75,53
valence,physio_emg_existing_22_ridge,midpoint_as_high,128,0.90625,0.9075116222167849,0.9062271062271062,0.9596280890628823,61,67
valence,physio_emg_existing_22_ridge,discard_midpoint,114,0.9122807017543859,0.9106093411691927,0.9116004962779156,0.9616455304670585,61,53
valence,physio_emg_lagged_interaction_experimental_ridge,midpoint_as_low,128,0.8359375,0.848930817610063,0.8351223701159296,0.8563522012578616,75,53
valence,physio_emg_lagged_interaction_experimental_ridge,midpoint_as_high,128,0.8984375,0.8985808661609983,0.8982822910935876,0.913139221923171,61,67
valence,physio_emg_lagged_interaction_experimental_ridge,discard_midpoint,114,0.9122807017543859,0.9130838230745437,0.912037037037037,0.9174141664089082,61,53
valence,stimulus_only,midpoint_as_low,128,0.84375,0.8555974842767295,0.8427904691721936,0.9122012578616352,75,53
valence,stimulus_only,midpoint_as_high,128,0.9296875,0.9298996819182774,0.9295800476801761,0.9634206019084903,61,67
valence,stimulus_only,discard_midpoint,114,0.9298245614035088,0.9294772656974946,0.9294772656974946,0.9737086297556449,61,53
