target,feature_block,test_subject,selected_alpha,inner_val_dev_rmse,train_n,test_n
valence,emg_existing_22,1,10.0,4.853125638897789,96,32
valence,emg_existing_22,2,10.0,4.949017484784622,96,32
valence,emg_existing_22,3,10.0,2.9398115886977405,96,32
valence,emg_existing_22,5,1000.0,4.888427550682914,96,32
arousal,emg_existing_22,1,1000.0,6.334984821457708,96,32
arousal,emg_existing_22,2,1000.0,7.1578532543166515,96,32
arousal,emg_existing_22,3,1000.0,8.647090484761268,96,32
arousal,emg_existing_22,5,1000.0,9.624590382563536,96,32
valence,eeg_entropy_complexity,1,1000.0,6.209205296216377,96,32
valence,eeg_entropy_complexity,2,1000.0,5.834687966685438,96,32
valence,eeg_entropy_complexity,3,1000.0,5.139922063910649,96,32
valence,eeg_entropy_complexity,5,1000.0,7.666661238475673,96,32
arousal,eeg_entropy_complexity,1,1000.0,5.038359571114734,96,32
arousal,eeg_entropy_complexity,2,1000.0,6.339803617496644,96,32
arousal,eeg_entropy_complexity,3,100.0,8.222739344685214,96,32
arousal,eeg_entropy_complexity,5,1000.0,9.103585672239577,96,32
valence,emg_lagged_interaction_experimental,1,1000.0,5.8396299251995085,96,32
valence,emg_lagged_interaction_experimental,2,1000.0,5.8792582899814,96,32
valence,emg_lagged_interaction_experimental,3,100.0,4.512323258544902,96,32
valence,emg_lagged_interaction_experimental,5,1000.0,4.889951520540538,96,32
arousal,emg_lagged_interaction_experimental,1,1000.0,6.155478393591275,96,32
arousal,emg_lagged_interaction_experimental,2,1000.0,6.98932483801817,96,32
arousal,emg_lagged_interaction_experimental,3,1000.0,8.607736886139955,96,32
arousal,emg_lagged_interaction_experimental,5,100.0,9.534077407003364,96,32
