target,model,n,rmse,lift_vs_stimulus_rmse,dev_rmse,lift_vs_stimulus_dev_rmse,pearson,spearman,ccc,dev_pearson,dev_sign_acc,pred_dev_std,true_dev_std
arousal,physio_emg_existing_22_ridge,256,2.575097648533712,-0.1636559593344553,2.5813754446860133,-0.169933755486757,0.2910628057157789,0.2957773687883576,0.2724441887651664,0.0717596148312309,0.50390625,1.1067892519902218,2.4114416891992563
arousal,physio_emg_bsl_stats_22_ridge,256,2.600287949172257,-0.1888462599730012,2.615755224703691,-0.2043135355044345,0.2953285298821778,0.2942058687670078,0.2764057969657379,0.0612074459228487,0.5546875,1.1258613739188368,2.4114416891992563
arousal,physio_eeg_entropy_complexity_ridge,256,2.6055692785233484,-0.1941275893240921,2.6827381168841224,-0.2712964276848661,0.3004731441416143,0.3134972501483278,0.2835601406862666,0.1089316281677472,0.453125,1.432561997839188,2.4114416891992563
arousal,physio_emg_lagged_interaction_experimental_ridge,256,2.6120051595696765,-0.2005634703704202,2.6147272707635194,-0.2032855815642631,0.2144286392847368,0.2373529022477787,0.1880642673855652,-0.1935352765873177,0.546875,0.6260242905962524,2.4114416891992563
arousal,physio_eeg_bandpower_ridge,256,3.200848595563893,-0.7894069063646363,3.46107391315058,-1.0496322239513236,0.0675359986602285,0.0738282290244183,0.0610306354586671,-0.188596518483456,0.46484375,1.836435025156465,2.4114416891992563
valence,physio_emg_lagged_interaction_experimental_ridge,256,1.31311699912901,-0.0231933342462813,1.3173642548679796,-0.027440589985251,0.8715627720813246,0.8412482891688237,0.8679169506931323,0.01190491745587,0.5590551181102362,0.2829766308692152,1.2899236648827286
valence,physio_emg_bsl_stats_22_ridge,256,1.3243405427188024,-0.0344168778360738,1.3248514930617363,-0.0349278281790077,0.8696134468252444,0.8443905536632962,0.8659853932966769,0.0250787646267369,0.531496062992126,0.3312800809420364,1.2899236648827286
valence,physio_emg_existing_22_ridge,256,1.3605132097909145,-0.0705895449081859,1.3605132097909145,-0.0705895449081859,0.8637173583872642,0.8301518177757831,0.8585547135146488,-0.1850014858091364,0.3858267716535433,0.2298158821338714,1.2899236648827286
valence,physio_eeg_entropy_complexity_ridge,256,1.4637004741416135,-0.1737768092588849,1.4991699539753014,-0.2092462890925728,0.8401742487908591,0.8121999203424539,0.8373672257073946,-0.086844449089727,0.5354330708661418,0.6593182903174155,1.2899236648827286
valence,physio_eeg_bandpower_ridge,256,1.5608366233232702,-0.2709129584405416,1.6594594249655856,-0.369535760082857,0.8207940978024498,0.7971162967192608,0.8180945466179804,-0.067856059135623,0.5393700787401575,0.9474546695450512,1.2899236648827286
