target,model,label_policy,binary_n,accuracy,balanced_accuracy,macro_f1,auroc,n_low,n_high
arousal,physio_eeg_bandpower_ridge,midpoint_as_low,256,0.51171875,0.5314064064064065,0.5108155621799282,0.5192692692692693,148,108
arousal,physio_eeg_bandpower_ridge,midpoint_as_high,256,0.5390625,0.5343847423436641,0.529763387297634,0.5382969619169876,123,133
arousal,physio_eeg_bandpower_ridge,discard_midpoint,231,0.5281385281385281,0.5360207768744354,0.5245746870338551,0.5305630834086119,123,108
arousal,physio_eeg_entropy_complexity_ridge,midpoint_as_low,256,0.58203125,0.5884634634634635,0.5809506325821898,0.6246246246246246,148,108
arousal,physio_eeg_entropy_complexity_ridge,midpoint_as_high,256,0.6171875,0.6162968396601259,0.6163445069733301,0.6580475579191882,123,133
arousal,physio_eeg_entropy_complexity_ridge,discard_midpoint,231,0.6103896103896104,0.6115627822944896,0.6102069896505176,0.6542833483890395,123,108
arousal,physio_emg_bsl_stats_22_ridge,midpoint_as_low,256,0.59765625,0.6007257257257257,0.595427694668201,0.6123623623623624,148,108
arousal,physio_emg_bsl_stats_22_ridge,midpoint_as_high,256,0.6328125,0.6328626444159178,0.6326106870229007,0.6348798826334128,123,133
arousal,physio_emg_bsl_stats_22_ridge,discard_midpoint,231,0.6277056277056277,0.6272583559168925,0.6268595041322313,0.6313610358325805,123,108
arousal,physio_emg_existing_22_ridge,midpoint_as_low,256,0.609375,0.607107107107107,0.6046454163577959,0.6121746746746747,148,108
arousal,physio_emg_existing_22_ridge,midpoint_as_high,256,0.61328125,0.6146769362430466,0.6132281349672655,0.6328626444159179,123,133
arousal,physio_emg_existing_22_ridge,discard_midpoint,231,0.6233766233766234,0.6214995483288166,0.6215610582807645,0.6323396567299007,123,108
arousal,physio_emg_lagged_interaction_experimental_ridge,midpoint_as_low,256,0.5546875,0.5573073073073074,0.5524750046003803,0.5589964964964965,148,108
arousal,physio_emg_lagged_interaction_experimental_ridge,midpoint_as_high,256,0.58984375,0.5896754080322758,0.5895368546429063,0.5849379546427044,123,133
arousal,physio_emg_lagged_interaction_experimental_ridge,discard_midpoint,231,0.5800865800865801,0.5797199638663053,0.579298173147331,0.5769346582354713,123,108
arousal,stimulus_only,midpoint_as_low,256,0.61328125,0.6067317317317318,0.6059150067640062,0.6110798298298298,148,108
arousal,stimulus_only,midpoint_as_high,256,0.6171875,0.6190476190476191,0.6169770992366412,0.6518124579742038,123,133
arousal,stimulus_only,discard_midpoint,231,0.6320346320346321,0.6279358626919602,0.6280193236714975,0.6447229750075278,123,108
valence,physio_eeg_bandpower_ridge,midpoint_as_low,256,0.84375,0.8504926108374384,0.8437404626747238,0.9092056650246305,140,116
valence,physio_eeg_bandpower_ridge,midpoint_as_high,256,0.8984375,0.8989374845564616,0.897536945812808,0.948295033358043,114,142
valence,physio_eeg_bandpower_ridge,discard_midpoint,230,0.9130434782608695,0.9129612825166364,0.9130171696543378,0.9540986085904416,114,116
valence,physio_eeg_entropy_complexity_ridge,midpoint_as_low,256,0.859375,0.8655172413793104,0.8593406593406594,0.9181034482758621,140,116
valence,physio_eeg_entropy_complexity_ridge,midpoint_as_high,256,0.8984375,0.8998023227081788,0.8976818545163869,0.9549975290338523,114,142
valence,physio_eeg_entropy_complexity_ridge,discard_midpoint,230,0.9217391304347826,0.9216575922565033,0.921715452688904,0.9625302480338778,114,116
valence,physio_emg_bsl_stats_22_ridge,midpoint_as_low,256,0.875,0.8812807881773399,0.874969474969475,0.9397783251231527,140,116
valence,physio_emg_bsl_stats_22_ridge,midpoint_as_high,256,0.921875,0.9235235977267111,0.9212937342433745,0.9675067951569063,114,142
valence,physio_emg_bsl_stats_22_ridge,discard_midpoint,230,0.9434782608695652,0.9434361766485179,0.9434686430583653,0.9747428917120388,114,116
valence,physio_emg_existing_22_ridge,midpoint_as_low,256,0.87890625,0.8855911330049261,0.8788896180200528,0.9355295566502463,140,116
valence,physio_emg_existing_22_ridge,midpoint_as_high,256,0.92578125,0.9270447244872746,0.9251772885996893,0.9680009883864591,114,142
valence,physio_emg_existing_22_ridge,discard_midpoint,230,0.9478260869565217,0.947746521476104,0.9478103017926027,0.9752722323049002,114,116
valence,physio_emg_lagged_interaction_experimental_ridge,midpoint_as_low,256,0.8828125,0.8891625615763546,0.8827838827838828,0.937192118226601,140,116
valence,physio_emg_lagged_interaction_experimental_ridge,midpoint_as_high,256,0.9296875,0.9314306893995552,0.9291643608190371,0.9681863108475414,114,142
valence,physio_emg_lagged_interaction_experimental_ridge,discard_midpoint,230,0.9521739130434783,0.9521324863883847,0.9521657748955399,0.9767090139140956,114,116
valence,stimulus_only,midpoint_as_low,256,0.8828125,0.8891625615763546,0.8827838827838828,0.9423029556650246,140,116
valence,stimulus_only,midpoint_as_high,256,0.9296875,0.9314306893995552,0.9291643608190371,0.9696071163825055,114,142
valence,stimulus_only,discard_midpoint,230,0.9521739130434783,0.9521324863883847,0.9521657748955399,0.9779189352692075,114,116
