target,feature_block,test_subject,selected_alpha,inner_val_dev_rmse,train_n,test_n
valence,emg_existing_22,1,10.0,5.087388714439543,224,32
valence,emg_existing_22,2,1.0,4.0974342697402095,224,32
valence,emg_existing_22,3,10.0,3.585048505930108,224,32
valence,emg_existing_22,5,100.0,4.475493813197491,224,32
valence,emg_existing_22,6,10.0,4.254701984674869,224,32
valence,emg_existing_22,7,100.0,5.2937982347808195,224,32
valence,emg_existing_22,8,1000.0,4.4680645793841824,224,32
valence,emg_existing_22,9,1000.0,4.840153314076372,224,32
arousal,emg_existing_22,1,1000.0,6.667953509251047,224,32
arousal,emg_existing_22,2,10.0,10.934813201788867,224,32
arousal,emg_existing_22,3,100.0,8.557433289723189,224,32
arousal,emg_existing_22,5,1.0,8.475904922934216,224,32
arousal,emg_existing_22,6,1000.0,6.701726894218734,224,32
arousal,emg_existing_22,7,1000.0,6.475581704141078,224,32
arousal,emg_existing_22,8,100.0,4.51123573144866,224,32
arousal,emg_existing_22,9,1000.0,2.8232575739666403,224,32
valence,emg_bsl_stats_22,1,10.0,5.520163141582036,224,32
valence,emg_bsl_stats_22,2,1000.0,4.905111912708837,224,32
valence,emg_bsl_stats_22,3,10.0,3.540976392028152,224,32
valence,emg_bsl_stats_22,5,1000.0,4.564835910468407,224,32
valence,emg_bsl_stats_22,6,100.0,3.0587104189946372,224,32
valence,emg_bsl_stats_22,7,10.0,5.555439720757968,224,32
valence,emg_bsl_stats_22,8,100.0,4.188658296722312,224,32
valence,emg_bsl_stats_22,9,1000.0,5.264387764174497,224,32
arousal,emg_bsl_stats_22,1,1000.0,6.6630405923637,224,32
arousal,emg_bsl_stats_22,2,1.0,11.240039407304659,224,32
arousal,emg_bsl_stats_22,3,1000.0,8.561262852990676,224,32
arousal,emg_bsl_stats_22,5,0.1,7.3302776293258844,224,32
arousal,emg_bsl_stats_22,6,1000.0,6.806868025335617,224,32
arousal,emg_bsl_stats_22,7,1000.0,6.484560064391353,224,32
arousal,emg_bsl_stats_22,8,10.0,3.879160275454,224,32
arousal,emg_bsl_stats_22,9,1000.0,2.674747409805818,224,32
valence,eeg_bandpower,1,1000.0,6.541411418527107,224,32
valence,eeg_bandpower,2,1000.0,4.9386682239510735,224,32
valence,eeg_bandpower,3,100.0,4.903014006132922,224,32
valence,eeg_bandpower,5,10.0,6.029651153893384,224,32
valence,eeg_bandpower,6,1000.0,4.8072990732737875,224,32
valence,eeg_bandpower,7,1000.0,6.567918302119496,224,32
valence,eeg_bandpower,8,100.0,5.628565269291292,224,32
valence,eeg_bandpower,9,10.0,4.466881112555674,224,32
arousal,eeg_bandpower,1,10.0,6.25451514919125,224,32
arousal,eeg_bandpower,2,1000.0,11.114649885681603,224,32
arousal,eeg_bandpower,3,1000.0,8.660210092794717,224,32
arousal,eeg_bandpower,5,1000.0,8.522830997903974,224,32
arousal,eeg_bandpower,6,1000.0,7.644497549952621,224,32
arousal,eeg_bandpower,7,10.0,6.7100853173580255,224,32
arousal,eeg_bandpower,8,0.1,4.438590471333657,224,32
arousal,eeg_bandpower,9,1000.0,2.7446615924489315,224,32
valence,eeg_entropy_complexity,1,1000.0,6.2650397073718285,224,32
valence,eeg_entropy_complexity,2,100.0,3.590846962546049,224,32
valence,eeg_entropy_complexity,3,1000.0,5.015239499478519,224,32
valence,eeg_entropy_complexity,5,1000.0,5.994908323843339,224,32
valence,eeg_entropy_complexity,6,1000.0,5.771683244698876,224,32
valence,eeg_entropy_complexity,7,1000.0,6.342853788881094,224,32
valence,eeg_entropy_complexity,8,100.0,3.536925863206041,224,32
valence,eeg_entropy_complexity,9,10.0,4.0943002896712,224,32
arousal,eeg_entropy_complexity,1,1000.0,6.946330820762023,224,32
arousal,eeg_entropy_complexity,2,1000.0,11.11225781532123,224,32
arousal,eeg_entropy_complexity,3,100.0,8.338045771935652,224,32
arousal,eeg_entropy_complexity,5,1000.0,8.65513112121927,224,32
arousal,eeg_entropy_complexity,6,1000.0,6.061197325683704,224,32
arousal,eeg_entropy_complexity,7,1000.0,6.769840689775764,224,32
arousal,eeg_entropy_complexity,8,1000.0,4.894999084812275,224,32
arousal,eeg_entropy_complexity,9,10.0,2.5096769711469977,224,32
valence,emg_lagged_interaction_experimental,1,0.1,5.675409764790649,224,32
valence,emg_lagged_interaction_experimental,2,0.1,3.840625174632376,224,32
valence,emg_lagged_interaction_experimental,3,100.0,4.380342757853943,224,32
valence,emg_lagged_interaction_experimental,5,1000.0,4.545389151049702,224,32
valence,emg_lagged_interaction_experimental,6,1000.0,5.6723165460246205,224,32
valence,emg_lagged_interaction_experimental,7,0.1,5.821978480996272,224,32
valence,emg_lagged_interaction_experimental,8,1000.0,4.573593484959516,224,32
valence,emg_lagged_interaction_experimental,9,100.0,2.6609585918439005,224,32
arousal,emg_lagged_interaction_experimental,1,100.0,6.5189293041854555,224,32
arousal,emg_lagged_interaction_experimental,2,0.1,10.750175270689118,224,32
arousal,emg_lagged_interaction_experimental,3,1000.0,8.619270163960802,224,32
arousal,emg_lagged_interaction_experimental,5,1000.0,8.947493591272938,224,32
arousal,emg_lagged_interaction_experimental,6,1000.0,6.5553444445022455,224,32
arousal,emg_lagged_interaction_experimental,7,100.0,6.310782148908988,224,32
arousal,emg_lagged_interaction_experimental,8,100.0,3.775639670925374,224,32
arousal,emg_lagged_interaction_experimental,9,1000.0,2.8046327019271535,224,32
