target,model,n,mae,rmse,pearson,spearman,ccc,y_true_std,y_pred_std,dev_mae,dev_rmse,dev_pearson,dev_spearman,dev_sign_acc,true_dev_std,pred_dev_std,lift_vs_stimulus_mae,lift_vs_stimulus_rmse,lift_vs_stimulus_pearson,lift_vs_stimulus_spearman,lift_vs_stimulus_ccc,lift_vs_stimulus_dev_mae,lift_vs_stimulus_dev_rmse,lift_vs_stimulus_dev_pearson,lift_vs_stimulus_dev_spearman,lift_vs_stimulus_dev_sign_acc,lift_vs_stimulus_pred_dev_std,rmse_wins,rmse_losses,mean_delta_rmse_model_minus_stimulus,median_delta_rmse_model_minus_stimulus,worst_regression_delta_rmse,best_gain_delta_rmse
arousal,physio_eeg_entropy_complexity_ridge,2016,1.572280221706451,1.946367855861422,0.6349201546520523,0.620546870889088,0.5910524262350471,2.514611055537069,1.7147005460143407,1.5739308184380465,1.9485175118232667,0.1317467268746114,0.1332095097468497,0.5615079365079365,1.944204982116596,0.5429364671808452,0.0076448935009221,-0.002162873744826,0.0005446600215628,0.0220469047113676,0.0116711263547744,0.0059942967693269,-0.0043125297066706,,,0.5615079365079365,0.5429364671808452,31,32,-0.0013799214702181,0.0047147715476794,0.4782462827939997,-0.6368568522914473
arousal,physio_emg_bsl_stats_22_ridge,2016,1.582032183755827,1.9524919414034765,0.6306485786327654,0.6080520474131956,0.5781468618189847,2.514611055537069,1.647278958748834,1.6333992615421904,3.038803962799144,0.0498133566691429,-0.0296558067401082,0.5104166666666666,1.944204982116596,2.4335781532417835,-0.0021070685484538,-0.0082869592868801,-0.0037269159977241,0.0095520812354752,-0.0012344380612879,-0.0534741463348171,-1.094598980682548,,,0.5104166666666666,2.4335781532417835,32,31,0.0070767704468267,-0.001428388122582,0.2560485505505905,-0.1322707096156108
arousal,physio_emg_lagged_interaction_experimental_ridge,2016,1.5877841361432412,1.9540013901575088,0.6297923888710206,0.6095024553512983,0.5759954557172707,2.514611055537069,1.6375706976008144,1.5877841361432412,1.9540013901575088,-0.0440718277369348,0.0003612967153806,0.5143849206349206,1.944204982116596,0.1276928505332191,-0.0078590209358679,-0.0097964080409127,-0.0045831057594688,0.0110024891735779,-0.0033858441630019,-0.0078590209358679,-0.0097964080409127,,,0.5143849206349206,0.1276928505332191,28,35,0.0100115823018513,0.0028397036446883,0.2177050222163326,-0.0758520455679021
arousal,physio_eeg_bandpower_ridge,2016,1.591519971093274,1.961104332506737,0.6287096642720235,0.6131120214259823,0.5870593806188645,2.514611055537069,1.7291985909839536,1.5937611945730503,1.96244355736588,0.1254663304717308,0.1198666772268586,0.5277777777777778,1.944204982116596,0.6054249476481015,-0.0115948558859009,-0.0168993503901409,-0.005665830358466,0.0146120552482619,0.0076780807385918,-0.0138360793656771,-0.0182385752492835,,,0.5277777777777778,0.6054249476481015,28,35,0.0160945059943476,0.007837403681314,0.6513269303656426,-0.6703902882165889
arousal,physio_emg_existing_22_ridge,2016,1.5933754388466748,1.9618606315947305,0.6262400641302154,0.6035306890614616,0.5741737568883871,2.514611055537069,1.6478040116877872,1.656811103220241,3.393353589992773,0.0221471273619853,-0.0378618091370496,0.4930555555555556,1.944204982116596,2.824193320347788,-0.0134503236393015,-0.0176556494781341,-0.008135430500274,0.0050307228837411,-0.0052075429918855,-0.0768859880128678,-1.449148607876177,,,0.4930555555555556,2.824193320347788,26,37,0.0174158915089046,0.0041486395867997,0.252239239832543,-0.0926867011684025
arousal,physio_eeg_directed_connectivity_experimental_ridge,2016,1.5987745636546624,1.9658826070834112,0.6256855709538078,0.6072686243580631,0.5807628809474886,2.514611055537069,1.7013643469371722,1.5991521493575234,1.9663756309576648,0.0651701548401878,0.0546548741408135,0.5188492063492064,1.944204982116596,0.4465001360179387,-0.0188494484472891,-0.0216776249668151,-0.0086899236766816,0.0087686581803426,0.0013815810672159,-0.0192270341501501,-0.0221706488410686,,,0.5188492063492064,0.4465001360179387,24,39,0.0248704978786549,0.022158671380434,0.3784901521228547,-0.1651186953684507
arousal,physio_eeg_cov_riemannian_ridge,2016,1.6123898103010117,1.999370085359769,0.6112333906265088,0.590832884780525,0.5705687885467957,2.514611055537069,1.7277977233463226,1.618098308545864,2.0030284901775666,0.0667696785930571,0.0509770480429977,0.5148809523809523,1.944204982116596,0.6284229856835406,-0.0324646950936384,-0.0551651032431725,-0.0231421040039806,-0.0076670813971954,-0.0088125113334769,-0.0381731933384907,-0.0588235080609704,,,0.5148809523809523,0.6284229856835406,24,39,0.0514837232267731,0.0324453776470703,0.7707694393563898,-0.470090807853553
arousal,physio_emg_expanded_812_ridge,2016,1.651224988462528,2.0469107383556744,0.5900233005627885,0.5810700539019578,0.5525670001006984,2.514611055537069,1.7437521769115174,33939.746712015585,485887.2715143047,0.014011982496978,-0.0027751284132775,0.503968253968254,1.944204982116596,484700.6028453848,-0.0712998732551548,-0.1027057562390783,-0.0443521940677009,-0.0174299122757626,-0.0268142997795742,-33938.16678690038,-485885.32730932254,,,0.503968253968254,484700.6028453848,19,44,0.0994810962970779,0.0480807159053497,1.7308521411960789,-0.1670153928242634
valence,physio_emg_lagged_interaction_experimental_ridge,2016,1.023301274593316,1.2591521569008588,0.8659950291855061,0.848919951305871,0.857827751896266,2.5179028270055928,2.1935994502559466,1.023301274593316,1.2591521569008588,0.0022037975299574,-0.0274925679901337,0.4816468253968254,1.257773694673858,0.0617382730553591,-0.0012358624069359,-0.0013784622270007,-0.0003121942809635,0.0075628965543967,-0.0002625486642188,-0.0012358624069359,-0.0013784622270007,,,0.4816468253968254,0.0617382730553591,29,34,0.0011830920550664,0.0019276400390959,0.0313847214348335,-0.0387327231313714
valence,physio_emg_existing_22_ridge,2016,1.021439124453684,1.2591848084226458,0.8659884473960406,0.849978663106911,0.8578378361098963,2.5179028270055928,2.1939112922497337,1.0890648632545357,3.279431250740726,0.0510498341774057,-0.0138869961993463,0.496031746031746,1.257773694673858,3.0927507599443165,0.0006262877326959,-0.0014111137487877,-0.0003187760704289,0.0086216083554367,-0.0002524644505885,-0.0669994510681557,-2.0216575560668684,,,0.496031746031746,3.0927507599443165,25,38,0.0009555994761363,0.0026509929338365,0.0465814959242385,-0.097167790477221
