target,k_calibration,model,locked_reference_model,subjects,rmse_wins_vs_locked,rmse_losses_vs_locked,rmse_ties_vs_locked,rmse_win_margin_vs_locked,mean_delta_rmse_model_minus_locked,median_delta_rmse_model_minus_locked,worst_regression_delta_rmse,best_gain_delta_rmse
arousal,0,stimulus_only,stimulus_only,63,0,0,63,0,0.0,0.0,0.0,0.0
arousal,1,affine_residual_ridge1,bias_shrink4,63,6,57,0,-51,0.4918945890765445,0.558879384224948,0.9720885847763707,-0.7220693732851822
arousal,1,affine_residual_ridge4,bias_shrink4,63,6,57,0,-51,0.4918945890765445,0.558879384224948,0.9720885847763707,-0.7220693732851822
arousal,1,bias_empirical_bayes,bias_shrink4,63,21,42,0,-21,0.005729631880451825,0.016252311782592344,0.04825661028109218,-0.10383342612758661
arousal,1,bias_huber,bias_shrink4,63,6,57,0,-51,0.4918945890765445,0.558879384224948,0.9720885847763707,-0.7220693732851822
arousal,1,bias_mean,bias_shrink4,63,6,57,0,-51,0.4918945890765445,0.558879384224948,0.9720885847763707,-0.7220693732851822
arousal,1,bias_median,bias_shrink4,63,6,57,0,-51,0.4918945890765445,0.558879384224948,0.9720885847763707,-0.7220693732851822
arousal,1,bias_shrink1,bias_shrink4,63,13,50,0,-37,0.06882226591381156,0.11186855899062209,0.25459349345315063,-0.6242589588791279
arousal,1,bias_shrink2,bias_shrink4,63,16,47,0,-31,0.011389795531496279,0.033955453737323005,0.09163644711031038,-0.31356623654030535
arousal,1,bias_shrink4,bias_shrink4,63,0,0,63,0,0.0,0.0,0.0,0.0
arousal,1,bias_shrink8,bias_shrink4,63,37,26,0,11,0.00981517500144007,-0.007667398483078625,0.23280887874024447,-0.03940927537978656
arousal,1,bias_trimmed_mean,bias_shrink4,63,6,57,0,-51,0.4918945890765445,0.558879384224948,0.9720885847763707,-0.7220693732851822
arousal,1,kernel_residual_shrink4,bias_shrink4,63,40,23,0,17,-0.0009273657800722953,-0.0034167267423752534,0.05710271927396482,-0.03618948866666516
arousal,1,stimulus_only,bias_shrink4,63,32,31,0,1,0.04145848969431837,-8.17288638337299e-05,0.5443404091668476,-0.06250389599387551
arousal,2,affine_residual_ridge1,bias_shrink4,63,6,57,0,-51,0.5056754250158344,0.5463847814717369,1.1891418968191028,-0.7062940837692147
arousal,2,affine_residual_ridge4,bias_shrink4,63,9,54,0,-45,0.2609178283976124,0.31454455623845146,0.7591397382918692,-0.7106823635312314
arousal,2,bias_empirical_bayes,bias_shrink4,63,20,43,0,-23,0.002928527828324975,0.018845409949052705,0.057351369053552315,-0.13122311091169836
arousal,2,bias_huber,bias_shrink4,63,7,56,0,-49,0.21016236789440032,0.24634738718759253,0.5844223033007698,-0.6043863934367912
arousal,2,bias_mean,bias_shrink4,63,7,56,0,-49,0.21016236789440032,0.24634738718759253,0.5844223033007698,-0.6043863934367912
arousal,2,bias_median,bias_shrink4,63,7,56,0,-49,0.21016236789440032,0.24634738718759253,0.5844223033007698,-0.6043863934367912
arousal,2,bias_shrink1,bias_shrink4,63,16,47,0,-31,0.04214582257115761,0.09509816976721108,0.23436133771279977,-0.5769665376872863
arousal,2,bias_shrink2,bias_shrink4,63,18,45,0,-27,0.005241854188413208,0.03621704042017071,0.10043196129381204,-0.3435757541429143
arousal,2,bias_shrink4,bias_shrink4,63,0,0,63,0,0.0,0.0,0.0,0.0
