target,k_calibration,model,n,mae,rmse,pearson,spearman,ccc,y_true_mean,y_true_std,y_pred_mean,y_pred_std,residual_mean,residual_std,stimulus_rmse_reference,lift_vs_stimulus_rmse,locked_reference_model,locked_reference_rmse,lift_vs_locked_reference_rmse,rmse_wins_vs_locked,rmse_losses_vs_locked,rmse_win_margin_vs_locked,mean_delta_rmse_model_minus_locked,median_delta_rmse_model_minus_locked,worst_regression_delta_rmse,best_gain_delta_rmse
arousal,2,bias_shrink1,4800,1.5642857142857145,1.9339343424264244,0.633073674396608,0.6330145268833468,0.6050717081123912,4.82625,2.4748355374650655,4.863571428571429,1.828695757802039,-0.037321428571428575,1.9335741909183919,2.4078951770526618,0.4739608346262374,bias_shrink4,2.0619662780881725,0.1280319356617481,5,3,2,-0.13618157495183192,-0.11159796462781402,0.1753760599433627,-0.5103268633374549
arousal,1,bias_shrink1,4960,1.7210973502304148,2.1153434795647716,0.5397004688880735,0.5367718711219378,0.4985151631937001,4.822983870967742,2.484085630386902,4.8149049539170505,1.6589488867472209,0.00807891705069124,2.1153280520137963,2.4157487114215117,0.30040523185674006,bias_shrink4,2.231847703988458,0.11650422442368624,4,4,0,-0.11059752178879156,-0.07547885501122309,0.2248532989479921,-0.4964073710735639
arousal,2,bias_empirical_bayes,4800,1.5763162609540158,1.9554413430521267,0.6252860813923241,0.6245894000262688,0.5999927529280994,4.82625,2.4748355374650655,4.840233700654056,1.8531587744482103,-0.013983700654056139,1.9553913424768767,2.4078951770526618,0.45245383400053507,bias_shrink4,2.0619662780881725,0.10652493503604576,5,3,2,-0.11856584357712288,-0.10725936937257785,0.24610603872553583,-0.47902511583871554
arousal,2,bias_shrink2,4800,1.6192857142857142,1.9663601059639433,0.6085809387472823,0.6066219614067141,0.555322038714825,4.82625,2.4748355374650655,4.8550892857142856,1.6029896841222064,-0.02883928571428574,1.9661486113531754,2.4078951770526618,0.4415350710887185,bias_shrink4,2.0619662780881725,0.09560617212422917,5,3,2,-0.09605646634460066,-0.08465666178177367,0.07562021105282568,-0.3233983361846695
arousal,8,affine_residual_ridge4,3840,1.3498951545398374,1.7325699244346575,0.7200045607620211,0.7183460841743058,0.7054964112261518,4.83828125,2.47269319351022,4.843529299082601,2.0195298816547034,-0.0052480490826011805,1.7325619761025408,2.407846618897486,0.6752766944628283,bias_shrink4,1.8150233627301429,0.08245343829548535,5,3,2,-0.11143594234753706,-0.032775205839399524,0.17660430902883317,-0.6328196452450494
arousal,1,bias_shrink2,4960,1.7890937019969282,2.1543322211633726,0.5049814037558538,0.505131791434965,0.4418016341292731,4.822983870967742,2.484085630386902,4.817434715821813,1.4641722368199157,0.005549155145929338,2.154325074360849,2.4157487114215117,0.26141649025813907,bias_shrink4,2.231847703988458,0.07751548282508525,5,3,2,-0.07134365329200612,-0.059164550150043294,0.07894991550662311,-0.24810533972357351
arousal,16,affine_residual_ridge4,2560,1.3299455315158037,1.7107325484756182,0.7277386577923355,0.7238002931415182,0.7052427886917954,4.85625,2.4867696792224243,4.810853645717693,1.9346279027432949,0.045396354282306935,1.7101301188598952,2.4400937926310813,0.7293612441554631,bias_shrink4,1.785586825808255,0.07485427733263683,5,3,2,-0.10670266009205208,-0.037208805743900286,0.10517109225986898,-0.6197868539906353
arousal,1,bias_empirical_bayes,4960,1.7474759692773685,2.1581329072918876,0.5234039570001565,0.5205267977402458,0.4899251397052888,4.822983870967742,2.484085630386902,4.795122316166798,1.7203571620706724,0.027861554800944134,2.157953053080676,2.4157487114215117,0.25761580412962415,bias_shrink4,2.231847703988458,0.07371479669657033,4,4,0,-0.07375877101714032,-0.06327325900616221,0.36077678793814805,-0.43701241180727113
arousal,4,bias_shrink1,4480,1.506549744897959,1.864869962794755,0.6690692539212614,0.6710339572804441,0.6475333646125675,4.8176339285714285,2.481629240523306,4.899081632653061,1.92399207698123,-0.08144770408163261,1.863090510317183,2.4022271235379105,0.5373571607431555,bias_shrink4,1.9368991091859824,0.07202914639122748,5,3,2,-0.08052570833449443,-0.08484221009748827,0.0832388311238037,-0.29777489293537984
arousal,16,affine_residual_ridge1,2560,1.3389697534209062,1.7204496298463132,0.7245333656532816,0.7209707369483928,0.7029736429573462,4.85625,2.4867696792224243,4.811839562234039,1.9440347710149914,0.04441043776596143,1.7198763449317371,2.4400937926310813,0.7196441627847681,bias_shrink4,1.785586825808255,0.06513719596194179,4,4,0,-0.0979321715157383,-0.02329805554223885,0.11814362012625423,-0.6188746555901097
arousal,4,bias_empirical_bayes,4480,1.510831716053104,1.8728896245311832,0.6661737043775134,0.666961740317782,0.6455778491458388,4.8176339285714285,2.481629240523306,4.883457625117017,1.9324032176259949,-0.06582369654558806,1.8717325628010084,2.4022271235379105,0.5293374990067272,bias_shrink4,1.9368991091859824,0.06400948465479916,5,3,2,-0.07364075623365407,-0.08389851496955592,0.10633529550360254,-0.2913555434588604
arousal,4,bias_shrink2,4480,1.5347895408163266,1.8742006448550943,0.6575572944677608,0.6579196542406173,0.6180597391377095,4.8176339285714285,2.481629240523306,4.887563775510205,1.741673269717392,-0.06992984693877549,1.8728955853657114,2.4022271235379105,0.5280264786828162,bias_shrink4,1.9368991091859824,0.0626984643308881,5,3,2,-0.06700639959755011,-0.06753382992333923,0.04248653670352365,-0.2273846640565984
