target,k_calibration,model,locked_reference_model,subjects,rmse_wins_vs_locked,rmse_losses_vs_locked,rmse_ties_vs_locked,rmse_win_margin_vs_locked,mean_delta_rmse_model_minus_locked,median_delta_rmse_model_minus_locked,worst_regression_delta_rmse,best_gain_delta_rmse
arousal,0,stimulus_only,stimulus_only,8,0,0,8,0,0.0,0.0,0.0,0.0
arousal,1,affine_residual_ridge1,bias_shrink4,8,4,4,0,0,0.13870838334938032,0.14889796319886905,0.8958641059504857,-0.6586408814914342
arousal,1,affine_residual_ridge4,bias_shrink4,8,4,4,0,0,0.13870838334938032,0.14889796319886905,0.8958641059504857,-0.6586408814914342
arousal,1,bias_empirical_bayes,bias_shrink4,8,4,4,0,0,-0.07375877101714032,-0.06327325900616221,0.36077678793814805,-0.43701241180727113
arousal,1,bias_huber,bias_shrink4,8,4,4,0,0,0.13870838334938032,0.14889796319886905,0.8958641059504857,-0.6586408814914342
arousal,1,bias_mean,bias_shrink4,8,4,4,0,0,0.13870838334938032,0.14889796319886905,0.8958641059504857,-0.6586408814914342
arousal,1,bias_median,bias_shrink4,8,4,4,0,0,0.13870838334938032,0.14889796319886905,0.8958641059504857,-0.6586408814914342
arousal,1,bias_shrink1,bias_shrink4,8,4,4,0,0,-0.11059752178879156,-0.07547885501122309,0.2248532989479921,-0.4964073710735639
arousal,1,bias_shrink2,bias_shrink4,8,5,3,0,2,-0.07134365329200612,-0.059164550150043294,0.07894991550662311,-0.24810533972357351
arousal,1,bias_shrink4,bias_shrink4,8,0,0,8,0,0.0,0.0,0.0,0.0
arousal,1,bias_shrink8,bias_shrink4,8,3,5,0,-2,0.06550134248303283,0.061086828299751206,0.18472725074000484,-0.03197165168354399
arousal,1,bias_trimmed_mean,bias_shrink4,8,4,4,0,0,0.13870838334938032,0.14889796319886905,0.8958641059504857,-0.6586408814914342
arousal,1,kernel_residual_shrink4,bias_shrink4,8,3,5,0,-2,0.005912443566151171,0.000284995960490253,0.03022112555058154,-0.0010126089326263354
arousal,1,stimulus_only,bias_shrink4,8,3,5,0,-2,0.165777538582075,0.15988455061973927,0.43324001751268915,-0.047416796777750125
arousal,2,affine_residual_ridge1,bias_shrink4,8,3,5,0,-2,0.14291282703752362,0.20204431685338253,0.6601227196815826,-0.5869780863642613
arousal,2,affine_residual_ridge4,bias_shrink4,8,4,4,0,0,-0.011767688557914213,0.029470458975429548,0.5149739936341149,-0.5849008783545213
arousal,2,bias_empirical_bayes,bias_shrink4,8,5,3,0,2,-0.11856584357712288,-0.10725936937257785,0.24610603872553583,-0.47902511583871554
arousal,2,bias_huber,bias_shrink4,8,4,4,0,0,-0.018425990407117315,0.011029455111538855,0.4363147815497088,-0.41113508409984423
