target,k_calibration,model,locked_reference_model,subjects,candidate_rmse_pooled,locked_reference_rmse_pooled,pooled_lift_vs_locked_reference_rmse,lift_vs_stimulus_rmse,mean_subject_improvement_locked_minus_model,median_subject_improvement_locked_minus_model,ci95_low_mean_subject_improvement,ci95_high_mean_subject_improvement,signflip_p_one_sided_mean_gt_zero,wins,losses,ties,win_margin,sign_test_p_one_sided_wins_gt_losses,passes_confirmatory_metric,pearson,spearman,ccc
arousal,2,bias_shrink1,bias_shrink4,8,1.9339343424264244,2.0619662780881725,0.1280319356617481,0.4739608346262374,0.13618157495183186,0.11159796462781402,-0.017131199377356077,0.2954177904044262,0.08894555272236389,5,3,0,2,0.36328125,False,0.633073674396608,0.6330145268833468,0.6050717081123912
arousal,1,bias_shrink1,bias_shrink4,8,2.115343479564772,2.231847703988458,0.1165042244236862,0.30040523185674,0.11059752178879151,0.07547885501122309,-0.06004937779105851,0.28733733419645635,0.1318934053297335,4,4,0,0,0.63671875,False,0.5397004688880735,0.5367718711219378,0.4985151631937001
arousal,2,bias_empirical_bayes,bias_shrink4,8,1.9554413430521267,2.0619662780881725,0.1065249350360457,0.452453834000535,0.11856584357712283,0.10725936937257785,-0.04611720061355107,0.28917888421455484,0.11814409279536023,5,3,0,2,0.36328125,False,0.6252860813923241,0.6245894000262688,0.5999927529280994
arousal,2,bias_shrink2,bias_shrink4,8,1.9663601059639435,2.0619662780881725,0.0956061721242291,0.4415350710887185,0.0960564663446006,0.08465666178177367,0.0102741892102938,0.18695864924750982,0.05159742012899355,5,3,0,2,0.36328125,False,0.6085809387472823,0.6066219614067141,0.555322038714825
arousal,8,affine_residual_ridge4,bias_shrink4,8,1.7325699244346575,1.8150233627301429,0.0824534382954853,0.6752766944628283,0.11143594234753718,0.032775205839399524,-0.06463250892366251,0.31530651747421257,0.192140392980351,5,3,0,2,0.36328125,False,0.7200045607620211,0.7183460841743058,0.7054964112261518
arousal,1,bias_shrink2,bias_shrink4,8,2.1543322211633726,2.231847703988458,0.0775154828250852,0.261416490258139,0.07134365329200601,0.059164550150043294,-0.005512709007102697,0.15073756685690073,0.0784460776961152,5,3,0,2,0.36328125,False,0.5049814037558538,0.505131791434965,0.4418016341292731
arousal,16,affine_residual_ridge4,bias_shrink4,8,1.7107325484756182,1.785586825808255,0.0748542773326368,0.7293612441554631,0.10670266009205208,0.0372088057439004,-0.04248119260900009,0.28830612667490485,0.1960401979901005,5,3,0,2,0.36328125,False,0.7277386577923355,0.7238002931415182,0.7052427886917954
arousal,1,bias_empirical_bayes,bias_shrink4,8,2.158132907291888,2.231847703988458,0.0737147966965703,0.2576158041296241,0.0737587710171402,0.06327325900616221,-0.12305599653483046,0.2677101688738148,0.2599370031498425,4,4,0,0,0.63671875,False,0.5234039570001565,0.5205267977402458,0.4899251397052888
arousal,4,bias_shrink1,bias_shrink4,8,1.864869962794755,1.9368991091859824,0.0720291463912274,0.5373571607431555,0.08052570833449446,0.08484221009748827,-0.009441246286541758,0.17301920869758108,0.07929603519824009,5,3,0,2,0.36328125,False,0.6690692539212614,0.6710339572804441,0.6475333646125675
arousal,16,affine_residual_ridge1,bias_shrink4,8,1.7204496298463132,1.785586825808255,0.0651371959619417,0.7196441627847681,0.09793217151573833,0.02329805554223907,-0.05314761608502358,0.2827033821949537,0.20328983550822458,4,4,0,0,0.63671875,False,0.7245333656532816,0.7209707369483928,0.7029736429573462
