model_group,task,label,precision,recall,f1-score,support,value
eeg_gaussian10_oracle,valence_high_low,low,0.973432518597237,0.788975021533161,0.8715509039010466,1161.0,
eeg_gaussian10_oracle,valence_high_low,high,0.772093023255814,0.9707602339181286,0.8601036269430051,855.0,
eeg_gaussian10_oracle,valence_high_low,accuracy,,,,,0.8660714285714286
eeg_gaussian10_oracle,valence_high_low,macro avg,0.8727627709265255,0.8798676277256448,0.8658272654220258,2016.0,
eeg_gaussian10_oracle,valence_high_low,weighted avg,0.888043000483687,0.8660714285714286,0.8666960319768773,2016.0,
eeg_gaussian10_oracle,arousal_high_low,low,0.844903988183161,0.8607975921745673,0.8527767424524786,1329.0,
eeg_gaussian10_oracle,arousal_high_low,high,0.7205438066465257,0.6943231441048034,0.7071905114899926,687.0,
eeg_gaussian10_oracle,arousal_high_low,accuracy,,,,,0.8040674603174603
eeg_gaussian10_oracle,arousal_high_low,macro avg,0.7827238974148434,0.7775603681396854,0.7799836269712356,2016.0,
eeg_gaussian10_oracle,arousal_high_low,weighted avg,0.8025252953678493,0.8040674603174603,0.803164767913179,2016.0,
eeg_gaussian10_oracle,joint_4class_valence_arousal,LV_LA,0.7594339622641509,0.48059701492537316,0.5886654478976234,670.0,
eeg_gaussian10_oracle,joint_4class_valence_arousal,LV_HA,0.7369439071566731,0.7759674134419552,0.7559523809523809,491.0,
eeg_gaussian10_oracle,joint_4class_valence_arousal,HV_LA,0.6505376344086021,0.9180576631259484,0.7614852108244179,659.0,
eeg_gaussian10_oracle,joint_4class_valence_arousal,HV_HA,0.5448275862068965,0.4030612244897959,0.4633431085043988,196.0,
eeg_gaussian10_oracle,joint_4class_valence_arousal,accuracy,,,,,0.6879960317460317
eeg_gaussian10_oracle,joint_4class_valence_arousal,macro avg,0.6729357725090807,0.6444208289957681,0.6423615370447052,2016.0,
eeg_gaussian10_oracle,joint_4class_valence_arousal,weighted avg,0.697495397372385,0.6879960317460317,0.6737165041364982,2016.0,
stimulus_only,valence_high_low,low,0.9714285714285714,0.7906976744186046,0.8717948717948718,1161.0,
stimulus_only,valence_high_low,high,0.773109243697479,0.968421052631579,0.8598130841121495,855.0,
stimulus_only,valence_high_low,accuracy,,,,,0.8660714285714286
stimulus_only,valence_high_low,macro avg,0.8722689075630252,0.8795593635250918,0.8658039779535107,2016.0,
stimulus_only,valence_high_low,weighted avg,0.8873199279711885,0.8660714285714286,0.8667133100544315,2016.0,
stimulus_only,arousal_high_low,low,0.8347763347763347,0.8705793829947329,0.8523020257826888,1329.0,
stimulus_only,arousal_high_low,high,0.726984126984127,0.6666666666666666,0.6955201214882308,687.0,
stimulus_only,arousal_high_low,accuracy,,,,,0.8010912698412699
stimulus_only,arousal_high_low,macro avg,0.7808802308802308,0.7686230248306998,0.7739110736354597,2016.0,
stimulus_only,arousal_high_low,weighted avg,0.7980435734900021,0.8010912698412699,0.798874858991869,2016.0,
stimulus_only,joint_4class_valence_arousal,LV_LA,0.7528344671201814,0.4955223880597015,0.5976597659765976,670.0,
stimulus_only,joint_4class_valence_arousal,LV_HA,0.748015873015873,0.7678207739307535,0.7577889447236181,491.0,
stimulus_only,joint_4class_valence_arousal,HV_LA,0.6370370370370371,0.91350531107739,0.7506234413965087,659.0,
stimulus_only,joint_4class_valence_arousal,HV_HA,0.5396825396825397,0.3469387755102041,0.422360248447205,196.0,
stimulus_only,joint_4class_valence_arousal,accuracy,,,,,0.6840277777777778
stimulus_only,joint_4class_valence_arousal,macro avg,0.6693924792139078,0.6309468121445123,0.6321081001359824,2016.0,
stimulus_only,joint_4class_valence_arousal,weighted avg,0.6930853530786213,0.6840277777777778,0.6696179918847066,2016.0,
