model_group,task,actual_class,actual_label,predicted_class,predicted_label,count
eeg_gaussian10_oracle,valence_high_low,0,low,0,low,916
eeg_gaussian10_oracle,valence_high_low,0,low,1,high,245
eeg_gaussian10_oracle,valence_high_low,1,high,0,low,25
eeg_gaussian10_oracle,valence_high_low,1,high,1,high,830
eeg_gaussian10_oracle,arousal_high_low,0,low,0,low,1144
eeg_gaussian10_oracle,arousal_high_low,0,low,1,high,185
eeg_gaussian10_oracle,arousal_high_low,1,high,0,low,210
eeg_gaussian10_oracle,arousal_high_low,1,high,1,high,477
eeg_gaussian10_oracle,joint_4class_valence_arousal,0,LV_LA,0,LV_LA,322
eeg_gaussian10_oracle,joint_4class_valence_arousal,0,LV_LA,1,LV_HA,134
eeg_gaussian10_oracle,joint_4class_valence_arousal,0,LV_LA,2,HV_LA,197
eeg_gaussian10_oracle,joint_4class_valence_arousal,0,LV_LA,3,HV_HA,17
eeg_gaussian10_oracle,joint_4class_valence_arousal,1,LV_HA,0,LV_LA,79
eeg_gaussian10_oracle,joint_4class_valence_arousal,1,LV_HA,1,LV_HA,381
eeg_gaussian10_oracle,joint_4class_valence_arousal,1,LV_HA,2,HV_LA,15
eeg_gaussian10_oracle,joint_4class_valence_arousal,1,LV_HA,3,HV_HA,16
eeg_gaussian10_oracle,joint_4class_valence_arousal,2,HV_LA,0,LV_LA,20
eeg_gaussian10_oracle,joint_4class_valence_arousal,2,HV_LA,1,LV_HA,1
eeg_gaussian10_oracle,joint_4class_valence_arousal,2,HV_LA,2,HV_LA,605
eeg_gaussian10_oracle,joint_4class_valence_arousal,2,HV_LA,3,HV_HA,33
eeg_gaussian10_oracle,joint_4class_valence_arousal,3,HV_HA,0,LV_LA,3
eeg_gaussian10_oracle,joint_4class_valence_arousal,3,HV_HA,1,LV_HA,1
eeg_gaussian10_oracle,joint_4class_valence_arousal,3,HV_HA,2,HV_LA,113
eeg_gaussian10_oracle,joint_4class_valence_arousal,3,HV_HA,3,HV_HA,79
stimulus_only,valence_high_low,0,low,0,low,918
stimulus_only,valence_high_low,0,low,1,high,243
stimulus_only,valence_high_low,1,high,0,low,27
stimulus_only,valence_high_low,1,high,1,high,828
stimulus_only,arousal_high_low,0,low,0,low,1157
stimulus_only,arousal_high_low,0,low,1,high,172
stimulus_only,arousal_high_low,1,high,0,low,229
stimulus_only,arousal_high_low,1,high,1,high,458
stimulus_only,joint_4class_valence_arousal,0,LV_LA,0,LV_LA,332
stimulus_only,joint_4class_valence_arousal,0,LV_LA,1,LV_HA,127
stimulus_only,joint_4class_valence_arousal,0,LV_LA,2,HV_LA,200
stimulus_only,joint_4class_valence_arousal,0,LV_LA,3,HV_HA,11
stimulus_only,joint_4class_valence_arousal,1,LV_HA,0,LV_LA,82
stimulus_only,joint_4class_valence_arousal,1,LV_HA,1,LV_HA,377
stimulus_only,joint_4class_valence_arousal,1,LV_HA,2,HV_LA,19
stimulus_only,joint_4class_valence_arousal,1,LV_HA,3,HV_HA,13
stimulus_only,joint_4class_valence_arousal,2,HV_LA,0,LV_LA,23
stimulus_only,joint_4class_valence_arousal,2,HV_LA,1,LV_HA,0
stimulus_only,joint_4class_valence_arousal,2,HV_LA,2,HV_LA,602
stimulus_only,joint_4class_valence_arousal,2,HV_LA,3,HV_HA,34
stimulus_only,joint_4class_valence_arousal,3,HV_HA,0,LV_LA,4
stimulus_only,joint_4class_valence_arousal,3,HV_HA,1,LV_HA,0
stimulus_only,joint_4class_valence_arousal,3,HV_HA,2,HV_LA,124
stimulus_only,joint_4class_valence_arousal,3,HV_HA,3,HV_HA,68
