scope,test_subject,task,eeg_accuracy,stimulus_accuracy,delta_accuracy_eeg_minus_stimulus,eeg_balanced_accuracy,stimulus_balanced_accuracy,delta_balanced_accuracy_eeg_minus_stimulus,eeg_macro_f1,stimulus_macro_f1,delta_macro_f1_eeg_minus_stimulus,eeg_weighted_f1,stimulus_weighted_f1,delta_weighted_f1_eeg_minus_stimulus,eeg_mcc,stimulus_mcc,delta_mcc_eeg_minus_stimulus,eeg_cohen_kappa,stimulus_cohen_kappa,delta_cohen_kappa_eeg_minus_stimulus,eeg_auroc,stimulus_auroc,delta_auroc_eeg_minus_stimulus,eeg_average_precision,stimulus_average_precision,delta_average_precision_eeg_minus_stimulus,eeg_accuracy_lift_vs_majority,stimulus_accuracy_lift_vs_majority,delta_accuracy_lift_vs_majority_eeg_minus_stimulus,eeg_dimension_hamming_accuracy,stimulus_dimension_hamming_accuracy,delta_dimension_hamming_accuracy_eeg_minus_stimulus,eeg_both_dimensions_correct_rate,stimulus_both_dimensions_correct_rate,delta_both_dimensions_correct_rate_eeg_minus_stimulus,eeg_neither_dimension_correct_rate,stimulus_neither_dimension_correct_rate,delta_neither_dimension_correct_rate_eeg_minus_stimulus
subject,1.0,valence_high_low,0.84375,0.84375,0.0,0.875,0.875,0.0,0.8423645320197044,0.8423645320197044,0.0,0.8460591133004927,0.8460591133004927,0.0,0.7276068751089989,0.7276068751089989,0.0,0.6923076923076923,0.6923076923076923,0.0,0.925,0.93125,-0.006249999999999978,0.8816231834614188,0.887305001643237,-0.005681818181818232,0.21875,0.21875,0.0,,,,,,,,,
subject,2.0,valence_high_low,0.875,0.875,0.0,0.8947368421052632,0.8947368421052632,0.0,0.8745098039215686,0.8745098039215686,0.0,0.8759803921568627,0.8759803921568627,0.0,0.7769911005144381,0.7769911005144381,0.0,0.752895752895753,0.752895752895753,0.0,0.8906882591093117,0.8987854251012146,-0.00809716599190291,0.7586653542535896,0.7715610056107793,-0.01289565135718973,0.28125,0.28125,0.0,,,,,,,,,
subject,3.0,valence_high_low,0.84375,0.84375,0.0,0.875,0.875,0.0,0.8423645320197044,0.8423645320197044,0.0,0.8460591133004927,0.8460591133004927,0.0,0.7276068751089989,0.7276068751089989,0.0,0.6923076923076923,0.6923076923076923,0.0,0.9875,0.9708333333333333,0.01666666666666672,0.9811507936507936,0.9396897084397086,0.04146108521108505,0.21875,0.21875,0.0,,,,,,,,,
subject,5.0,valence_high_low,0.96875,0.90625,0.0625,0.96875,0.90625,0.0625,0.9687194525904204,0.906158357771261,0.06256109481915939,0.9687194525904204,0.906158357771261,0.06256109481915939,0.9393364366277243,0.8140915784106943,0.1252448582170299,0.9375,0.8125,0.125,0.99609375,0.96875,0.02734375,0.9963235294117647,0.9686181363571069,0.0277053930546578,0.46875,0.40625,0.0625,,,,,,,,,
subject,6.0,valence_high_low,0.9375,0.9375,0.0,0.9411764705882353,0.9411764705882353,0.0,0.9375,0.9375,0.0,0.9375,0.9375,0.0,0.8823529411764706,0.8823529411764706,0.0,0.8754863813229572,0.8754863813229572,0.0,0.984313725490196,0.984313725490196,0.0,0.9838235294117647,0.9838235294117648,-1.1102230246251565e-16,0.40625,0.40625,0.0,,,,,,,,,
subject,7.0,valence_high_low,0.84375,0.84375,0.0,0.875,0.875,0.0,0.8423645320197044,0.8423645320197044,0.0,0.8460591133004927,0.8460591133004927,0.0,0.7276068751089989,0.7276068751089989,0.0,0.6923076923076923,0.6923076923076923,0.0,0.9958333333333333,0.9958333333333333,0.0,0.9935897435897435,0.9935897435897437,-2.220446049250313e-16,0.21875,0.21875,0.0,,,,,,,,,
subject,8.0,valence_high_low,0.96875,0.96875,0.0,0.96875,0.96875,0.0,0.9687194525904204,0.9687194525904204,0.0,0.9687194525904204,0.9687194525904204,0.0,0.9393364366277243,0.9393364366277243,0.0,0.9375,0.9375,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.46875,0.46875,0.0,,,,,,,,,
subject,9.0,valence_high_low,0.84375,0.84375,0.0,0.8583333333333334,0.8583333333333334,0.0,0.8398398398398399,0.8398398398398399,0.0,0.8460960960960962,0.8460960960960962,0.0,0.6952687917708212,0.6952687917708212,0.0,0.6825396825396826,0.6825396825396826,0.0,0.9666666666666667,0.9708333333333333,-0.004166666666666652,0.9767387525185512,0.9803101810899799,-0.0035714285714286698,0.21875,0.21875,0.0,,,,,,,,,
subject,10.0,valence_high_low,0.84375,0.84375,0.0,0.875,0.875,0.0,0.8423645320197044,0.8423645320197044,0.0,0.8460591133004927,0.8460591133004927,0.0,0.7276068751089989,0.7276068751089989,0.0,0.6923076923076923,0.6923076923076923,0.0,0.9666666666666667,0.9666666666666667,0.0,0.9462343212343212,0.9473026973026976,-0.0010683760683763976,0.21875,0.21875,0.0,,,,,,,,,
subject,11.0,valence_high_low,0.90625,0.90625,0.0,0.9166666666666667,0.9166666666666667,0.0,0.906158357771261,0.906158357771261,0.0,0.906524926686217,0.906524926686217,0.0,0.828416869579514,0.828416869579514,0.0,0.813953488372093,0.813953488372093,0.0,0.9642857142857143,0.9642857142857143,0.0,0.9566780558377197,0.9566780558377197,0.0,0.34375,0.34375,0.0,,,,,,,,,
