model_group,task,label,precision,recall,f1-score,support,value
eeg_gaussian10,valence_high_low,low,0.9712765957446808,0.7863910422049957,0.8691099476439791,1161.0,
eeg_gaussian10,valence_high_low,high,0.7695167286245354,0.968421052631579,0.8575867426204039,855.0,
eeg_gaussian10,valence_high_low,accuracy,,,,,0.8635912698412699
eeg_gaussian10,valence_high_low,macro avg,0.8703966621846081,0.8774060474182873,0.8633483451321915,2016.0,
eeg_gaussian10,valence_high_low,weighted avg,0.8857087949571191,0.8635912698412699,0.8642228740848736,2016.0,
eeg_gaussian10,arousal_high_low,low,0.8362573099415205,0.8607975921745673,0.8483500185391175,1329.0,
eeg_gaussian10,arousal_high_low,high,0.7145061728395061,0.6739446870451238,0.6936329588014981,687.0,
eeg_gaussian10,arousal_high_low,accuracy,,,,,0.7971230158730159
eeg_gaussian10,arousal_high_low,macro avg,0.7753817413905133,0.7673711396098455,0.7709914886703078,2016.0,
eeg_gaussian10,arousal_high_low,weighted avg,0.7947677111374114,0.7971230158730159,0.7956264966940062,2016.0,
eeg_gaussian10,joint_4class_valence_arousal,LV_LA,0.7534883720930232,0.4835820895522388,0.5890909090909091,670.0,
eeg_gaussian10,joint_4class_valence_arousal,LV_HA,0.7392156862745098,0.7678207739307535,0.7532467532467533,491.0,
eeg_gaussian10,joint_4class_valence_arousal,HV_LA,0.6396588486140725,0.9104704097116844,0.7514088916718847,659.0,
eeg_gaussian10,joint_4class_valence_arousal,HV_HA,0.5,0.3520408163265306,0.41317365269461076,196.0,
eeg_gaussian10,joint_4class_valence_arousal,accuracy,,,,,0.6795634920634921
eeg_gaussian10,joint_4class_valence_arousal,macro avg,0.6580907267454014,0.6284785223803018,0.6267300516760395,2016.0,
eeg_gaussian10,joint_4class_valence_arousal,weighted avg,0.6881583792161625,0.6795634920634921,0.6650275597594151,2016.0,
stimulus_only,valence_high_low,low,0.9714285714285714,0.7906976744186046,0.8717948717948718,1161.0,
stimulus_only,valence_high_low,high,0.773109243697479,0.968421052631579,0.8598130841121495,855.0,
stimulus_only,valence_high_low,accuracy,,,,,0.8660714285714286
stimulus_only,valence_high_low,macro avg,0.8722689075630252,0.8795593635250918,0.8658039779535107,2016.0,
stimulus_only,valence_high_low,weighted avg,0.8873199279711885,0.8660714285714286,0.8667133100544315,2016.0,
stimulus_only,arousal_high_low,low,0.8347763347763347,0.8705793829947329,0.8523020257826888,1329.0,
stimulus_only,arousal_high_low,high,0.726984126984127,0.6666666666666666,0.6955201214882308,687.0,
stimulus_only,arousal_high_low,accuracy,,,,,0.8010912698412699
stimulus_only,arousal_high_low,macro avg,0.7808802308802308,0.7686230248306998,0.7739110736354597,2016.0,
stimulus_only,arousal_high_low,weighted avg,0.7980435734900021,0.8010912698412699,0.798874858991869,2016.0,
stimulus_only,joint_4class_valence_arousal,LV_LA,0.7528344671201814,0.4955223880597015,0.5976597659765976,670.0,
stimulus_only,joint_4class_valence_arousal,LV_HA,0.748015873015873,0.7678207739307535,0.7577889447236181,491.0,
stimulus_only,joint_4class_valence_arousal,HV_LA,0.6370370370370371,0.91350531107739,0.7506234413965087,659.0,
stimulus_only,joint_4class_valence_arousal,HV_HA,0.5396825396825397,0.3469387755102041,0.422360248447205,196.0,
stimulus_only,joint_4class_valence_arousal,accuracy,,,,,0.6840277777777778
stimulus_only,joint_4class_valence_arousal,macro avg,0.6693924792139078,0.6309468121445123,0.6321081001359824,2016.0,
stimulus_only,joint_4class_valence_arousal,weighted avg,0.6930853530786213,0.6840277777777778,0.6696179918847066,2016.0,
