test_subject,valence_high_low_delta_accuracy,valence_high_low_delta_balanced_accuracy,valence_high_low_delta_macro_f1,valence_high_low_delta_mcc,arousal_high_low_delta_accuracy,arousal_high_low_delta_balanced_accuracy,arousal_high_low_delta_macro_f1,arousal_high_low_delta_mcc,joint_4class_valence_arousal_delta_accuracy,joint_4class_valence_arousal_delta_balanced_accuracy,joint_4class_valence_arousal_delta_macro_f1,joint_4class_valence_arousal_delta_mcc,failure_score
17,0.0,0.0,0.0,0.0,-0.15625,-0.09999999999999987,-0.15690608932160865,-0.22153320349987382,-0.15625,-0.14502164502164494,-0.14689237461469773,-0.18766186449663091,1.270515176954456
26,-0.0625,-0.050000000000000044,-0.061328363886762105,-0.08688359959181147,0.0,0.0,0.0,0.0,-0.0625,-0.03333333333333344,-0.05078671328671325,-0.06113070453931857,0.46846271463793887
25,-0.03125,-0.0277777777777779,-0.03115835777126097,-0.0506390918017362,-0.03125,-0.023809523809523725,-0.03221584616933448,-0.0666481542600903,-0.03125,-0.02083333333333337,-0.058101851851851904,-0.039891905058330845,0.4448258418332397
31,0.0,0.0,0.0,0.0,-0.03125,-0.033333333333333215,-0.03589743589743588,-0.0517989278332458,-0.03125,-0.0625,-0.07460317460317456,-0.042601622156300145,0.3632344938234896
64,0.0,0.0,0.0,0.0,-0.03125,-0.023809523809523947,-0.03060505386086787,-0.06322719126844212,-0.03125,-0.03571428571428581,-0.04123376623376618,-0.04836630255561292,0.30545612344249884
2,-0.03125,-0.02631578947368418,-0.03091254096946694,-0.04749556064455063,0.0,0.0,0.0,0.0,-0.03125,-0.04999999999999993,-0.04004329004329005,-0.04057080114352546,0.2978379822745172
63,-0.03125,-0.02631578947368418,-0.03091254096946694,-0.04749556064455063,0.0,0.0,0.0,0.0,-0.03125,-0.022727272727272707,-0.027300150829562497,-0.03492838729100434,0.2521797019355413
20,-0.03125,-0.023809523809523947,-0.030213464696223324,-0.04155706217412347,0.0,0.0,0.0,0.0,-0.03125,-0.02777777777777779,-0.028869047619047516,-0.03312881871934781,0.24785569479604386
47,0.0,0.0,0.0,0.0,-0.03125,-0.02941176470588225,-0.030229419703104,-0.07910129526136989,0.0,0.0,0.007246376811594235,-0.0023703772453046446,0.17236285691566078
22,0.0,0.0,0.0,0.0,-0.03125,-0.022727272727272707,-0.03173260847679449,-0.0614481334068826,0.0,0.0,0.008152173913043459,-0.0017961264803706412,0.14895414109132044
7,0.0,0.0,0.0,0.0,-0.0625,-0.0625,-0.022792022792022748,,0.0,0.0,0.014814814814814836,0.02860663484499726,0.14779202279202275
