test_subject,scope,model_group,task,n,subjects,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,mcc,cohen_kappa,auroc,average_precision,true_high_rate,pred_high_rate,majority_class_accuracy,accuracy_lift_vs_majority,valence_mae_score,valence_rmse_score,valence_pearson_score,valence_spearman_score,valence_true_score_std,valence_pred_score_std,valence_pred_over_true_std_ratio,valence_mae_deviation,valence_rmse_deviation,valence_pearson_deviation,valence_spearman_deviation,valence_sign_accuracy_deviation,valence_true_deviation_std,valence_pred_deviation_std,valence_pred_over_true_deviation_std_ratio,valence_mean_abs_true_deviation,valence_mean_abs_pred_deviation,arousal_mae_score,arousal_rmse_score,arousal_pearson_score,arousal_spearman_score,arousal_true_score_std,arousal_pred_score_std,arousal_pred_over_true_std_ratio,arousal_mae_deviation,arousal_rmse_deviation,arousal_pearson_deviation,arousal_spearman_deviation,arousal_sign_accuracy_deviation,arousal_true_deviation_std,arousal_pred_deviation_std,arousal_pred_over_true_deviation_std_ratio,arousal_mean_abs_true_deviation,arousal_mean_abs_pred_deviation,dimension_hamming_accuracy,both_dimensions_correct_rate,only_valence_correct_rate,only_arousal_correct_rate,neither_dimension_correct_rate,true_rate_LV_LA,pred_rate_LV_LA,true_rate_LV_HA,pred_rate_LV_HA,true_rate_HV_LA,pred_rate_HV_LA,true_rate_HV_HA,pred_rate_HV_HA
1,subject,eeg_gaussian10,valence_high_low,32,1,0.84375,0.875,0.8529411764705883,0.875,0.8423645320197044,0.8460591133004927,0.7276068751089989,0.6923076923076923,0.9291666666666667,0.8873050016432369,0.375,0.53125,0.625,0.21875,0.9699793523975906,1.1812723111939831,0.8958296656351934,0.8920850077812851,2.4746764308692963,2.187215104121489,0.8838388230627335,0.9699793523975907,1.1812723111939831,0.3011946984152384,0.32505272106383426,0.625,1.1175376128242858,0.06325433108585787,0.056601523170161934,0.994959677419355,0.052651036584646004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,subject,eeg_gaussian10,arousal_high_low,32,1,0.75,0.7166666666666667,0.7363636363636363,0.7166666666666667,0.722943722943723,0.7445887445887446,0.4526019054848144,0.4482758620689655,0.775,0.666132236593697,0.375,0.3125,0.625,0.125,,,,,,,,,,,,,,,,,,1.526553386022293,1.8611566954997714,0.648823429174865,0.6504636325108717,2.4348944407304396,1.6526621526267056,0.6787407802903552,1.526553386022293,1.8611566954997714,0.1756097614684855,0.18403446140898513,0.59375,1.8730758315387523,0.13404789795576558,0.0715656545766074,1.5544354838709677,0.11247884646078199,,,,,,,,,,,,,
1,subject,eeg_gaussian10,joint_4class_valence_arousal,32,1,0.625,0.6,0.5907738095238095,0.6,0.5815359477124182,0.6019199346405228,0.4794914216755192,0.4666666666666667,,,,,0.3125,0.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.796875,0.625,0.21875,0.125,0.03125,0.3125,0.21875,0.3125,0.25,0.3125,0.46875,0.0625,0.0625
2,subject,eeg_gaussian10,valence_high_low,32,1,0.84375,0.868421052631579,0.8611111111111112,0.868421052631579,0.8435972629521017,0.8445136852394917,0.7294955398698875,0.6946564885496183,0.8987854251012146,0.8039644995527349,0.40625,0.5625,0.59375,0.25,1.2671633638655102,1.5745553330421718,0.8567183026420536,0.8087214453138725,2.839282204624965,2.167684744784489,0.7634622374812688,1.2671633638655102,1.5745553330421718,0.12439930406647359,-0.0009165902995442305,0.4375,1.499820800408392,0.19628893802101555,0.13087492716959012,1.2086693548387097,0.19134973824282364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,subject,eeg_gaussian10,arousal_high_low,32,1,0.625,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.625,0.625,0.45454545454545453,0.34246575342465757,0.8681818181818182,0.9387521663063458,0.6875,0.3125,0.6875,-0.0625,,,,,,,,,,,,,,,,,,2.739687910515928,3.1332119461665555,0.7457664571737675,0.7950947280604875,2.3048861143232218,1.681861953024552,0.729694166914474,2.739687910515928,3.133211946166556,0.31770197931389715,0.28372434017595305,0.09375,1.5829340702617387,0.17661716244773762,0.11157581719017667,2.326108870967742,0.5035760309446614,,,,,,,,,,,,,
2,subject,eeg_gaussian10,joint_4class_valence_arousal,32,1,0.5,0.5241071428571429,0.5364583333333333,0.5241071428571429,0.44177489177489176,0.4994047619047619,0.3979398365704912,0.34860050890585237,,,,,0.4375,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.734375,0.5,0.34375,0.125,0.03125,0.15625,0.1875,0.4375,0.25,0.15625,0.5,0.25,0.0625
3,subject,eeg_gaussian10,valence_high_low,32,1,0.84375,0.875,0.8529411764705883,0.875,0.8423645320197044,0.8460591133004927,0.7276068751089989,0.6923076923076923,0.9708333333333333,0.9391555204055204,0.375,0.53125,0.625,0.21875,1.0465386398872487,1.1856105879596155,0.9000100563564433,0.8956678825859506,2.6485181588012567,2.198039808597982,0.8299130596076429,1.0465386398872487,1.1856105879596153,0.2756778578449133,0.24362970161885644,0.46875,1.1803897435466537,0.04310729674934707,0.03651954533236485,1.0554435483870968,0.03434144235359806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,subject,eeg_gaussian10,arousal_high_low,32,1,0.71875,0.8548387096774194,0.55,0.8548387096774194,0.5060034305317325,0.8099271012006862,0.26639771383306554,0.1325301204819277,0.967741935483871,0.5,0.03125,0.3125,0.96875,-0.25,,,,,,,,,,,,,,,,,,1.4121148826032686,1.612569274731476,0.634371713771883,0.6370734162115292,1.5194057226429023,1.641059117211308,1.0800664317334003,1.4121148826032686,1.612569274731476,-0.021981146001508536,-0.10923753665689148,0.8125,1.353914241378173,0.04732324640691918,0.03495291279210791,1.645665322580645,0.39256161856435184,,,,,,,,,,,,,
3,subject,eeg_gaussian10,joint_4class_valence_arousal,32,1,0.5625,0.7339181286549707,0.44791666666666663,0.5504385964912281,0.37535612535612534,0.6044337606837606,0.4290255070223551,0.3627311522048364,,,,,0.59375,-0.03125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78125,0.5625,0.28125,0.15625,0.0,0.59375,0.21875,0.03125,0.25,0.375,0.46875,0.0,0.0625
5,subject,eeg_gaussian10,valence_high_low,32,1,0.90625,0.90625,0.907843137254902,0.90625,0.906158357771261,0.906158357771261,0.8140915784106943,0.8125,0.96875,0.968618136357107,0.5,0.53125,0.5,0.40625,1.210356643606148,1.4816434725634,0.8687685077022944,0.8480350843406542,2.8870332414954976,2.1794808633189935,0.7549205987629213,1.210356643606148,1.4816434725634,0.3268937857749453,0.28398571061922123,0.6875,1.4829722032698982,0.05129029654373859,0.034586148297729935,1.2268145161290325,0.043475817989359906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,subject,eeg_gaussian10,arousal_high_low,32,1,0.75,0.7777777777777778,0.8181818181818181,0.7777777777777778,0.746031746031746,0.7420634920634921,0.5945883900105632,0.5223880597014925,0.8690476190476191,0.9197387549511732,0.5625,0.3125,0.5625,0.1875,,,,,,,,,,,,,,,,,,1.5174295222801983,1.8938427579561918,0.6917304972272152,0.7313911457293475,2.0832291640623697,1.653048913956099,0.7935031548482177,1.5174295222801986,1.8938427579561918,0.006781162305216313,-0.031524926686217,0.3125,1.5102454224184472,0.17601683966709192,0.11654850069673375,1.4047379032258065,0.2504164249528917,,,,,,,,,,,,,
5,subject,eeg_gaussian10,joint_4class_valence_arousal,32,1,0.65625,0.5644522144522144,0.7023809523809523,0.5644522144522144,0.5756410256410256,0.6819826007326008,0.5383958858220685,0.5138121546961326,,,,,0.40625,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.828125,0.65625,0.25,0.09375,0.0,0.09375,0.21875,0.40625,0.25,0.34375,0.46875,0.15625,0.0625
6,subject,eeg_gaussian10,valence_high_low,32,1,0.9375,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9375,0.9375,0.8823529411764706,0.8754863813229572,0.9803921568627451,0.9790616246498599,0.46875,0.53125,0.53125,0.40625,1.0737493570477208,1.1897360786159055,0.9514864131662156,0.9491547610632243,3.0458732327528013,2.180684802696686,0.7159473280918881,1.073749357047721,1.1897360786159055,-0.39744266111489984,-0.3283527486888478,0.34375,1.1527374217875292,0.06540748071771754,0.05674100578450432,1.045866935483871,0.06749328567116539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,subject,eeg_gaussian10,arousal_high_low,32,1,0.375,0.6666666666666666,0.5454545454545454,0.6666666666666666,0.3333333333333333,0.4791666666666667,0.17407765595569785,0.05882352941176472,0.5,0.9546384916558708,0.9375,0.3125,0.9375,-0.5625,,,,,,,,,,,,,,,,,,3.381458464452637,3.778845112591574,0.3368998125244155,0.399707247600459,1.39159025488827,1.6798159487198274,1.207119655241831,3.381458464452637,3.7788451125915734,0.0818795137810304,0.02602639296187683,0.34375,1.790167901902087,0.14872856043862673,0.08308078827718715,3.337701612903226,0.12876850250728838,,,,,,,,,,,,,
