dataset,target,protocol,model,label_policy,binary_source,binary_n,accuracy,balanced_accuracy,macro_f1,auroc,n_low,n_high,true_high_rate,pred_high_rate
DEAP,arousal,leave_one_stimulus_out,subject_only,discard_midpoint,class_prior_probability,1263,0.5819477434679335,0.5517112845726432,0.5482391961759828,0.6177830171644371,526,737,0.5835312747426762,0.6896278701504355
DEAP,arousal,leave_one_stimulus_out,subject_only,discard_midpoint,score_threshold,1263,0.6049089469517023,0.5866257203440111,0.5871426933722016,0.6171033013295087,526,737,0.5835312747426762,0.6239113222486145
DEAP,arousal,leave_one_stimulus_out,subject_only,midpoint_as_high,class_prior_probability,1280,0.58125,0.5436707647930934,0.5374213505721552,0.619159161279261,526,754,0.5890625,0.71875
DEAP,arousal,leave_one_stimulus_out,subject_only,midpoint_as_high,score_threshold,1280,0.60390625,0.5847470020473823,0.5853182096144371,0.6131292170527781,526,754,0.5890625,0.62265625
DEAP,arousal,leave_one_stimulus_out,subject_only,midpoint_as_low,class_prior_probability,1280,0.62734375,0.6085231801814633,0.6090341691687942,0.6217905949908918,543,737,0.57578125,0.640625
DEAP,arousal,leave_one_stimulus_out,subject_only,midpoint_as_low,score_threshold,1280,0.603125,0.5865224355370311,0.5868564646441542,0.618514659250208,543,737,0.57578125,0.62265625
DEAP,arousal,leave_one_subject_out,stimulus_only,discard_midpoint,class_prior_probability,1263,0.6468725257323832,0.6190444252983269,0.6191070588171654,0.6653128240580712,526,737,0.5835312747426762,0.6864608076009501
DEAP,arousal,leave_one_subject_out,stimulus_only,discard_midpoint,score_threshold,1263,0.6769596199524941,0.6597925512430932,0.6616093427405162,0.665336040158695,526,737,0.5835312747426762,0.6294536817102138
DEAP,arousal,leave_one_subject_out,stimulus_only,midpoint_as_high,class_prior_probability,1280,0.6484375,0.6188086857419491,0.6193205400361117,0.6643074704238989,526,754,0.5890625,0.6875
DEAP,arousal,leave_one_subject_out,stimulus_only,midpoint_as_high,score_threshold,1280,0.678125,0.6598168450141704,0.6617049720439598,0.6644877510060413,526,754,0.5890625,0.63125
DEAP,arousal,leave_one_subject_out,stimulus_only,midpoint_as_low,class_prior_probability,1280,0.65390625,0.6303777446269406,0.6306792092272882,0.6635206688806095,543,737,0.57578125,0.675
DEAP,arousal,leave_one_subject_out,stimulus_only,midpoint_as_low,score_threshold,1280,0.67109375,0.6547561039603589,0.656364882745867,0.6606045613219688,543,737,0.57578125,0.63125
DEAP,arousal,leave_one_subject_stimulus_pair_out,subject_stimulus_additive_loo_cell,discard_midpoint,class_prior_probability,1263,0.6991290577988916,0.6785163363961388,0.6812656398595268,0.7381920332660926,526,737,0.5835312747426762,0.6532066508313539
DEAP,arousal,leave_one_subject_stimulus_pair_out,subject_stimulus_additive_loo_cell,discard_midpoint,score_threshold,1263,0.6999208234362628,0.6911691112360767,0.6912209517973198,0.7355557160619303,526,737,0.5835312747426762,0.5843230403800475
DEAP,arousal,leave_one_subject_stimulus_pair_out,subject_stimulus_additive_loo_cell,midpoint_as_high,class_prior_probability,1280,0.69375,0.6707799215338222,0.673604479611989,0.7376816673558512,526,754,0.5890625,0.659375
DEAP,arousal,leave_one_subject_stimulus_pair_out,subject_stimulus_additive_loo_cell,midpoint_as_high,score_threshold,1280,0.69921875,0.6900812901534024,0.6898036157266042,0.7328367842986959,526,754,0.5890625,0.58515625
DEAP,arousal,leave_one_subject_stimulus_pair_out,subject_stimulus_additive_loo_cell,midpoint_as_low,class_prior_probability,1280,0.684375,0.6665317310984005,0.6685128205128206,0.7363309019942977,543,737,0.57578125,0.64296875
DEAP,arousal,leave_one_subject_stimulus_pair_out,subject_stimulus_additive_loo_cell,midpoint_as_low,score_threshold,1280,0.6953125,0.6866946033269113,0.6872109897215727,0.7329775032422019,543,737,0.57578125,0.58515625
DEAP,valence,leave_one_stimulus_out,subject_only,discard_midpoint,class_prior_probability,1264,0.5055379746835443,0.4769489493151242,0.4583724984865282,0.5238728508718449,556,708,0.560126582278481,0.7349683544303798
DEAP,valence,leave_one_stimulus_out,subject_only,discard_midpoint,score_threshold,1264,0.567246835443038,0.5399493964150713,0.5269302479926926,0.523823314229972,556,708,0.560126582278481,0.7318037974683544
DEAP,valence,leave_one_stimulus_out,subject_only,midpoint_as_high,class_prior_probability,1280,0.5078125,0.47247505862713146,0.4471501908648151,0.5202810127588537,556,724,0.565625,0.765625
DEAP,valence,leave_one_stimulus_out,subject_only,midpoint_as_high,score_threshold,1280,0.5671875,0.5376902897571446,0.5258358987800866,0.522207510234906,556,724,0.565625,0.7296875
DEAP,valence,leave_one_stimulus_out,subject_only,midpoint_as_low,class_prior_probability,1280,0.503125,0.48133222709493895,0.4682051925247711,0.5231075421753388,572,708,0.553125,0.703125
DEAP,valence,leave_one_stimulus_out,subject_only,midpoint_as_low,score_threshold,1280,0.565625,0.5416913594879696,0.5278620312653415,0.5248977717198057,572,708,0.553125,0.7296875
