dataset,target,protocol,model,description,n,mae,rmse,pearson,spearman,ccc,y_true_mean,y_true_std,y_pred_mean,y_pred_std,residual_mean,residual_std,rmse_over_y_std
DEAP,arousal,leave_one_stimulus_out,subject_only,"For each held-out stimulus, predict each subject by train-stimulus mean of the same subject.",1280,1.602226762820513,1.9466171605903066,0.27506221341242837,0.21788576125357456,0.16875485798492598,5.1567109375,2.01971007608589,5.1567109375,0.6923700889216955,-3.087807787238717e-17,1.9466171605903066,0.9638101941649971
DEAP,arousal,leave_one_subject_out,stimulus_only,"For each held-out subject, predict each stimulus by train-subject mean of the same stimulus.",1280,1.5401023185483873,1.9038635597684934,0.3406526310613884,0.30444786803021,0.23855788329876182,5.1567109375,2.01971007608589,5.1567109375,0.8252732066515358,-1.6653345369377347e-17,1.9038635597684934,0.9426420070434838
DEAP,arousal,leave_one_subject_stimulus_pair_out,subject_stimulus_additive_loo_cell,Exact leave-one-cell-out additive subject+stimulus prior using OLS LOO hat formula.,1280,1.431683648676592,1.8106028174835982,0.4508965383378107,0.4346042448993411,0.37483401916494796,5.1567109375,2.01971007608589,5.156710937500011,1.0791805690247553,-1.1347867090449882e-14,1.8106028174835984,0.8964666953544
DEAP,valence,leave_one_stimulus_out,subject_only,"For each held-out stimulus, predict each subject by train-stimulus mean of the same subject.",1280,1.811641826923077,2.1323376563458734,0.10437465001683865,0.08214609208250236,0.04359799501529583,5.2543125,2.1299830169143954,5.2543125,0.4661619522297687,1.6653345369377347e-17,2.1323376563458734,1.0011054733355986
DEAP,valence,leave_one_subject_out,stimulus_only,"For each held-out subject, predict each stimulus by train-subject mean of the same stimulus.",1280,1.223531754032258,1.5637460592350514,0.6793998411213594,0.6628325766665921,0.6393990483036744,5.2543125,2.1299830169143954,5.2543125,1.4981179103066018,-2.7755575615628914e-17,1.5637460592350514,0.734158933107195
DEAP,valence,leave_one_subject_stimulus_pair_out,subject_stimulus_additive_loo_cell,Exact leave-one-cell-out additive subject+stimulus prior using OLS LOO hat formula.,1280,1.2017772952853611,1.5270609829109476,0.6982120318346646,0.7021969144942325,0.6668900417781104,5.2543125,2.1299830169143954,5.254312499999999,1.569588880683624,1.2514295155696686e-15,1.5270609829109476,0.7169357552542418
I-DARE,arousal,leave_one_stimulus_out,subject_only,"For each held-out stimulus, predict each subject by train-stimulus mean of the same subject.",2016,1.998015873015873,2.3849057907061195,0.32487297773560725,0.2901419955936568,0.22237040178523387,4.308035714285714,2.514611055537069,4.308035714285714,0.9954793352926241,6.78469626159818e-17,2.3849057907061195,0.948419353145572
I-DARE,arousal,leave_one_subject_out,stimulus_only,"For each held-out subject, predict each stimulus by train-subject mean of the same stimulus.",2016,1.5799251152073732,1.9442049821165959,0.6343754946304895,0.5984999661777204,0.5793812998802729,4.308035714285714,2.514611055537069,4.308035714285714,1.6319723102903876,-1.409807015397024e-17,1.9442049821165959,0.7731633000796541
I-DARE,arousal,leave_one_subject_stimulus_pair_out,subject_stimulus_additive_loo_cell,Exact leave-one-cell-out additive subject+stimulus prior using OLS LOO hat formula.,2016,1.3743434418512428,1.71568126205161,0.7316436958691519,0.7307498408344278,0.7049792223172399,4.308035714285714,2.514611055537069,4.308035714285632,1.9115976101077445,8.239440875610983e-14,1.71568126205161,0.6822849435395063
I-DARE,valence,leave_one_stimulus_out,subject_only,"For each held-out stimulus, predict each subject by train-stimulus mean of the same subject.",2016,2.180811571940604,2.569821773060357,-0.05952378348887043,-0.06323330015450697,-0.01780854908929248,4.911210317460317,2.5179028270055928,4.911210317460317,0.38548631302371716,-1.674145830783966e-17,2.569821773060357,1.0206199165022933
I-DARE,valence,leave_one_subject_out,stimulus_only,"For each held-out subject, predict each stimulus by train-subject mean of the same stimulus.",2016,1.02206541218638,1.257773694673858,0.8663072234664694,0.8413570547514742,0.8580903005604845,4.911210317460317,2.5179028270055928,4.911210317460317,2.192729356794927,-1.409807015397024e-17,1.257773694673858,0.4995322620012153
I-DARE,valence,leave_one_subject_stimulus_pair_out,subject_stimulus_additive_loo_cell,Exact leave-one-cell-out additive subject+stimulus prior using OLS LOO hat formula.,2016,0.9825841757098374,1.236652783819697,0.8711713527793293,0.8654295246795595,0.8645786144430232,4.911210317460317,2.5179028270055928,4.911210317460687,2.2255648215116994,-3.689262299535549e-13,1.2366527838196972,0.49114396733486765
