target,model,test_subject,n,mae,rmse,pearson,spearman,ccc,accuracy,balanced_accuracy,macro_f1,auroc
valence,global_mean,1,32,2.098853326612903,2.5151860163545052,,,0.0,0.625,0.5,0.38461538461538464,0.5
valence,global_mean,2,32,2.53125,2.8654123489020518,,,0.0,0.59375,0.5,0.37254901960784315,0.5
valence,global_mean,3,32,2.2866053427419355,2.6557285097443195,,,0.0,0.625,0.5,0.38461538461538464,0.5
valence,global_mean,5,32,2.599483366935484,2.892985517400524,,,0.0,0.5,0.5,0.3333333333333333,0.5
valence,global_mean,6,32,2.817949848790323,3.0475242944607404,,,0.0,0.53125,0.5,0.3469387755102041,0.5
valence,global_mean,7,32,1.5786605342741935,1.894553740231731,,,0.0,0.625,0.5,0.38461538461538464,0.5
valence,global_mean,8,32,2.386781754032258,2.7145001084409515,,,0.0,0.5,0.5,0.3333333333333333,0.5
valence,global_mean,9,32,2.373991935483871,2.608973797644393,,,0.0,0.375,0.5,0.2727272727272727,0.5
valence,global_mean,10,32,2.011025705645161,2.4208942200244925,,,0.0,0.625,0.5,0.38461538461538464,0.5
valence,global_mean,11,32,2.760899697580645,3.13845572301545,,,0.0,0.5625,0.5,0.36,0.5
valence,global_mean,12,32,1.4526209677419355,1.9056056573793025,,,0.0,0.5625,0.5,0.36,0.5
valence,global_mean,13,32,1.4527154737903225,1.8815664614548215,,,0.0,0.65625,0.5,0.39622641509433965,0.5
valence,global_mean,14,32,1.7501260080645162,2.2572703006358528,,,0.0,0.59375,0.5,0.37254901960784315,0.5
valence,global_mean,15,32,1.3911605342741935,1.7576501001695533,,,0.0,0.6875,0.5,0.4074074074074074,0.5
valence,global_mean,16,32,1.671748991935484,2.036685525367226,,,0.0,0.59375,0.5,0.37254901960784315,0.5
valence,global_mean,17,32,2.173639112903226,2.635115352586297,,,0.0,0.5625,0.5,0.36,0.5
valence,global_mean,18,32,2.4301915322580645,2.890719696750188,,,0.0,0.59375,0.5,0.37254901960784315,0.5
valence,global_mean,19,32,1.633883568548387,2.014166131154324,,,0.0,0.5625,0.5,0.36,0.5
valence,global_mean,20,32,2.03125,2.4007625240463173,,,0.0,0.65625,0.5,0.39622641509433965,0.5
valence,global_mean,21,32,2.5,2.855141655789786,,,0.0,0.59375,0.5,0.37254901960784315,0.5
valence,global_mean,22,32,1.4065650201612903,1.9542147064160484,,,0.0,0.65625,0.5,0.39622641509433965,0.5
valence,global_mean,23,32,2.0855594758064515,2.531119773262013,,,0.0,0.5625,0.5,0.36,0.5
valence,global_mean,24,32,1.5875441028225805,2.1722675224917034,,,0.0,0.6875,0.5,0.4074074074074074,0.5
valence,global_mean,25,32,2.417212701612903,2.7859531257495287,,,0.0,0.5625,0.5,0.36,0.5
valence,global_mean,26,32,2.44269783266129,2.8278342974123993,,,0.0,0.625,0.5,0.38461538461538464,0.5
valence,global_mean,27,32,2.361139112903226,2.538470587073249,,,0.0,0.4375,0.5,0.30434782608695654,0.5
valence,global_mean,28,32,1.360194052419355,1.5847822622914383,,,0.0,0.625,0.5,0.38461538461538464,0.5
valence,global_mean,29,32,1.967584425403226,2.308997740345929,,,0.0,0.5,0.5,0.3333333333333333,0.5
valence,global_mean,30,32,2.360383064516129,2.6734783227757277,,,0.0,0.46875,0.5,0.3191489361702128,0.5
valence,global_mean,31,32,3.299773185483871,3.5561178615981675,,,0.0,0.5,0.5,0.3333333333333333,0.5
valence,global_mean,32,32,1.7029044858870968,2.1329773925168927,,,0.0,0.625,0.5,0.38461538461538464,0.5
valence,global_mean,33,32,1.6154233870967742,1.9527768290085252,,,0.0,0.59375,0.5,0.37254901960784315,0.5
