dataset,repetition,role,axis,entity_id,fold_index_0based,fold_index_1based,seed,partition_uses_labels,manifest_sha256
DEAP,0,primary,subject,s01,0,1,534078107,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,subject,s02,2,3,534078107,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,subject,s03,3,4,534078107,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,subject,s04,2,3,534078107,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,subject,s05,1,2,534078107,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,subject,s06,3,4,534078107,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,subject,s07,0,1,534078107,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,subject,s08,3,4,534078107,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,subject,s09,1,2,534078107,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,subject,s10,3,4,534078107,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,subject,s11,3,4,534078107,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,subject,s12,0,1,534078107,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,subject,s13,0,1,534078107,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,subject,s14,3,4,534078107,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,subject,s15,1,2,534078107,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,subject,s16,2,3,534078107,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,subject,s17,1,2,534078107,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,subject,s18,0,1,534078107,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,subject,s19,2,3,534078107,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,subject,s20,1,2,534078107,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,subject,s21,0,1,534078107,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,subject,s22,1,2,534078107,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,subject,s23,2,3,534078107,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,subject,s24,2,3,534078107,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,subject,s25,1,2,534078107,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,subject,s26,0,1,534078107,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,subject,s27,3,4,534078107,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,subject,s28,1,2,534078107,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,subject,s29,2,3,534078107,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,subject,s30,3,4,534078107,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
