repetition,role,axis,entity_id,fold_index_0based,fold_index_1based,seed,manifest_sha256,partition_uses_labels
0,primary,subject,1,2,3,2599598032,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
0,primary,subject,10,0,1,2599598032,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
0,primary,subject,11,0,1,2599598032,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
0,primary,subject,12,2,3,2599598032,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
0,primary,subject,13,0,1,2599598032,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
0,primary,subject,14,3,4,2599598032,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
0,primary,subject,15,3,4,2599598032,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
0,primary,subject,16,3,4,2599598032,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
0,primary,subject,17,3,4,2599598032,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
0,primary,subject,18,2,3,2599598032,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
0,primary,subject,19,0,1,2599598032,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
0,primary,subject,2,3,4,2599598032,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
0,primary,subject,20,1,2,2599598032,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
0,primary,subject,21,2,3,2599598032,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
0,primary,subject,22,1,2,2599598032,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
0,primary,subject,23,1,2,2599598032,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
0,primary,subject,24,1,2,2599598032,72cbefb8a437959abd7a4892070ac468a27dff4c04e05ef8b56344ecbebb3a4b,False
