scheme,axis,entity_id,fold_index_0based,fold_index_1based
idare_5x5,stimulus,1441,0,1
idare_5x5,stimulus,1750,1,2
idare_5x5,stimulus,2314,2,3
idare_5x5,stimulus,2491,4,5
idare_5x5,stimulus,3053,1,2
idare_5x5,stimulus,3063,3,4
idare_5x5,stimulus,3080,3,4
idare_5x5,stimulus,3170,4,5
idare_5x5,stimulus,4220,1,2
idare_5x5,stimulus,5760,1,2
idare_5x5,stimulus,8080,0,1
idare_5x5,stimulus,8370,2,3
idare_5x5,stimulus,8492,4,5
idare_5x5,stimulus,9220,0,1
idare_5x5,stimulus,9331,1,2
idare_5x5,stimulus,9360,3,4
idare_5x5,stimulus,Angry_face_1,2,3
idare_5x5,stimulus,Beach_1,2,3
idare_5x5,stimulus,Depressed_pose_4,2,3
idare_5x5,stimulus,Dog_18,0,1
idare_5x5,stimulus,Dog_26,1,2
idare_5x5,stimulus,Dog_6,3,4
idare_5x5,stimulus,Dummy_1,0,1
idare_5x5,stimulus,Flowers_6,4,5
idare_5x5,stimulus,Garbage_dump_6,4,5
idare_5x5,stimulus,Lake_12,4,5
idare_5x5,stimulus,Lake_3,3,4
idare_5x5,stimulus,Miserable_pose_3,2,3
idare_5x5,stimulus,Pinecone_1,0,1
idare_5x5,stimulus,Snow_1,3,4
idare_5x5,stimulus,Tumor_1,0,1
idare_5x5,stimulus,Yarn_1,1,2
