scheme,axis,entity_id,fold_index_0based,fold_index_1based
idare_5x5,subject,1,1,2
idare_5x5,subject,10,2,3
idare_5x5,subject,11,2,3
idare_5x5,subject,12,3,4
idare_5x5,subject,13,1,2
idare_5x5,subject,14,3,4
idare_5x5,subject,15,4,5
idare_5x5,subject,16,0,1
idare_5x5,subject,17,2,3
idare_5x5,subject,18,1,2
idare_5x5,subject,19,2,3
idare_5x5,subject,2,1,2
idare_5x5,subject,20,3,4
idare_5x5,subject,21,3,4
idare_5x5,subject,22,2,3
idare_5x5,subject,23,3,4
idare_5x5,subject,24,4,5
idare_5x5,subject,25,4,5
idare_5x5,subject,26,3,4
idare_5x5,subject,27,2,3
idare_5x5,subject,28,2,3
idare_5x5,subject,29,2,3
idare_5x5,subject,3,4,5
idare_5x5,subject,30,4,5
idare_5x5,subject,31,4,5
idare_5x5,subject,32,0,1
idare_5x5,subject,33,4,5
idare_5x5,subject,34,4,5
idare_5x5,subject,35,4,5
idare_5x5,subject,36,1,2
idare_5x5,subject,37,0,1
idare_5x5,subject,38,2,3
idare_5x5,subject,39,0,1
idare_5x5,subject,40,0,1
idare_5x5,subject,41,2,3
idare_5x5,subject,42,3,4
idare_5x5,subject,43,3,4
idare_5x5,subject,44,1,2
idare_5x5,subject,45,1,2
idare_5x5,subject,46,1,2
idare_5x5,subject,47,0,1
idare_5x5,subject,48,0,1
idare_5x5,subject,49,3,4
idare_5x5,subject,5,2,3
idare_5x5,subject,50,0,1
idare_5x5,subject,52,3,4
idare_5x5,subject,53,2,3
idare_5x5,subject,54,2,3
idare_5x5,subject,55,1,2
idare_5x5,subject,56,4,5
idare_5x5,subject,57,1,2
idare_5x5,subject,58,0,1
idare_5x5,subject,59,3,4
idare_5x5,subject,6,1,2
idare_5x5,subject,60,4,5
idare_5x5,subject,61,3,4
idare_5x5,subject,62,0,1
idare_5x5,subject,63,0,1
idare_5x5,subject,64,0,1
idare_5x5,subject,65,0,1
idare_5x5,subject,7,1,2
idare_5x5,subject,8,1,2
idare_5x5,subject,9,4,5
